row,technology,predicted,derived,override,decision_source,candidates,label,jira_title,ips_title,text_used
49,,Connectivity,Needs-Triage,,fallback,,,,#NAME?,#NAME?
50,,Connectivity,Connectivity,,cue,Connectivity,,,How to install BT FW on Ubuntu?,How to install BT FW on Ubuntu?
51,,Connectivity,Connectivity,,cue,"Connectivity, Performance",,,"When using the iper3 tool to run RX and TX while connecting to a 2.4G WiFi and Bluetooth device, the Bluetooth speaker experiences stuttering issues.","When using the iper3 tool to run RX and TX while connecting to a 2.4G WiFi and Bluetooth device, the Bluetooth speaker experiences stuttering issues."
52,,Connectivity,Needs-Triage,,fallback,,,,LOQ-Tower-26ADRIntelAX201APNearby Sharing,LOQ-Tower-26ADRIntelAX201APNearby Sharing
53,,Killer,Killer,Killer,override,Killer,,"GameFast status keep disable when enable ""Auto-enable when a game is detected"" in Intel Killer Performance Suite app then play a game","GameFast status keep disable when enable ""Auto-enable when a game is detected"" in Intel Killer Performance Suite app then play a game","GameFast status keep disable when enable ""Auto-enable when a game is detected"" in Intel Killer Performance Suite app then play a game"
54,,Killer,Killer,Killer,override,"Connectivity, OEM Tools, Killer",,,Game(Dota2) type cant show wifi icon when manually set game priority mapping as wifi in Intel Killer Performance Suite app,Game(Dota2) type cant show wifi icon when manually set game priority mapping as wifi in Intel Killer Performance Suite app
55,,Killer,Killer,Killer,override,Killer,,,"Killer APP UI show abnormal """" on Chinese OS.","Killer APP UI show abnormal """" on Chinese OS."
56,,YB/Lost,YB/Lost,,cue,"YB/Lost, Connectivity",,,WLAN Device shows YB.,WLAN Device shows YB.
57,,YB/Lost,YB/Lost,,cue,"YB/Lost, Connectivity",,,Intel BE201 BT device lost  and USB YB(code 43) in device manager,Intel BE201 BT device lost  and USB YB(code 43) in device manager
58,,Connectivity,Connectivity,,cue,Connectivity,,,The BT devices will disconnected (log show BT reset error) after  a while,The BT devices will disconnected (log show BT reset error) after  a while
59,,Power Consumption,Power Consumption,,cue,"Power Consumption, Connectivity, Performance",,,WiFi throughput is slow when runnning on battery power with WiFi Sensing Enabled,WiFi throughput is slow when runnning on battery power with WiFi Sensing Enabled
60,,Connectivity,Connectivity,,cue,Connectivity,,,BT LE audio no sound,BT LE audio no sound
61,,Connectivity,OEM Tools,OEM Tools,override,"Connectivity, OEM Tools",,The wifi disconnect and cant research the wifi,The wifi disconnect and cant research the wifi,The wifi disconnect and cant research the wifi
62,,Connectivity,OEM Tools,OEM Tools,override,"Connectivity, OEM Tools",,,The wifi disconnect and cant research the wifi,The wifi disconnect and cant research the wifi
63,,OEM Tools,OEM Tools,OEM Tools,override,OEM Tools,,,ANT req on the PTL platform,ANT req on the PTL platform
64,,Connectivity,Connectivity,,cue,Connectivity,,,Intel BE201 WIFI and BT device lost,Intel BE201 WIFI and BT device lost
65,,BSOD,BSOD,,cue,"BSOD, Connectivity",,The BSOD(0x7E) occur  point to netwtw.sys when disable/enable WiFi stress test under igh load conditions on the CPU and SSD,The BSOD(0x7E) occur  point to netwtw.sys when disable/enable WiFi stress test under igh load conditions on the CPU and SSD,The BSOD(0x7E) occur  point to netwtw.sys when disable/enable WiFi stress test under igh load conditions on the CPU and SSD
66,,BSOD,BSOD,,cue,"BSOD, Connectivity, OEM Tools",,"0x133 DPC_WATCHDOG_VIOLATION BSoD during idle, ibtpci.sys on Panther Lake AX211 Bluetooth","0x133 DPC_WATCHDOG_VIOLATION BSoD during idle, ibtpci.sys on Panther Lake AX211 Bluetooth","0x133 DPC_WATCHDOG_VIOLATION BSoD during idle, ibtpci.sys on Panther Lake AX211 Bluetooth"
67,,Connectivity,OEM Tools,OEM Tools,override,"Connectivity, OEM Tools",,"Intel Bluetooth application service device cant enum in device manager, 100% fail rate","Intel Bluetooth application service device cant enum in device manager, 100% fail rate","Intel Bluetooth application service device cant enum in device manager, 100% fail rate"
68,,Connectivity,Needs-Triage,,fallback,,,,The EUT can not send >20MB file from PC1 to PC2 by nearby sharing.,The EUT can not send >20MB file from PC1 to PC2 by nearby sharing.
69,,Connectivity,Needs-Triage,,fallback,,,Funlogy Portable Mini speaker does not output sound during playing streaming.,Funlogy Portable Mini speaker does not output sound during playing streaming.,Funlogy Portable Mini speaker does not output sound during playing streaming.
70,,Connectivity,Connectivity,,cue,Connectivity,,,Bluetooth software device,Bluetooth software device
71,,Connectivity,Connectivity,,cue,Connectivity,,,Please help to check the log of WiFi Sensing function.,Please help to check the log of WiFi Sensing function.
72,,Connectivity,Connectivity,,cue,Connectivity,,,"After connect to Samsung TV via miracast, device will disconnect and can not scan Samaung TV.","After connect to Samsung TV via miracast, device will disconnect and can not scan Samaung TV."
73,,Connectivity,Connectivity,,cue,Connectivity,,,audio delay 20s when swithing BT earbuds,audio delay 20s when swithing BT earbuds
74,,Connectivity,Connectivity,,cue,Connectivity,,,Intel AX211 intermittently disconnection on WPA2-Enterprise,Intel AX211 intermittently disconnection on WPA2-Enterprise
75,,YB/Lost,YB/Lost,,cue,"YB/Lost, Connectivity",,,BT driver will show YB sometimes,BT driver will show YB sometimes
76,,Connectivity,OEM Tools,OEM Tools,override,"Connectivity, OEM Tools",,,WLAN/WWAN cant be disabled when connect LAN with Control WLAN/WWAN Radio enabled,WLAN/WWAN cant be disabled when connect LAN with Control WLAN/WWAN Radio enabled
77,,YB/Lost,YB/Lost,,cue,"YB/Lost, Connectivity",,,Intel WIFI7 BE201 YB(Code 10) when open lid after close lid about 1 hour,Intel WIFI7 BE201 YB(Code 10) when open lid after close lid about 1 hour
78,,Connectivity,Connectivity,,cue,Connectivity,,,he music cannot play after turning on BT and connecting to samsung  buds2 pro BT headset.(the music progress bar does not move),he music cannot play after turning on BT and connecting to samsung  buds2 pro BT headset.(the music progress bar does not move)
79,,Connectivity,Connectivity,,cue,Connectivity,,,"The BT page show  after unit pair and connect to Phone(F/R:1/5units,2/10cycles)","The BT page show  after unit pair and connect to Phone(F/R:1/5units,2/10cycles)"
80,,HLK,HLK,,cue,"HLK, Connectivity",,,WHQL  Bluetooth - HciExtensionsV2 fail.,WHQL  Bluetooth - HciExtensionsV2 fail.
81,,ICPS,ICPS,ICPS,override,ICPS,,,ICPS impacts the Fast Startup time.,ICPS impacts the Fast Startup time.
82,,Connectivity,ICPS,ICPS,override,ICPS,,ICPS impacts the Fast Startup time.,The P2P iperf t-put drop (100MB/s --> 3.8MB/s) after manually adding interference,ICPS impacts the Fast Startup time.
83,,Connectivity,Connectivity,,cue,Connectivity,,The P2P iperf t-put drop (100MB/s --> 3.8MB/s) after manually adding interference,"After BLE pairing, there is no classical Bluetooth MAC in Windows registry",The P2P iperf t-put drop (100MB/s --> 3.8MB/s) after manually adding interference
84,,System Hang,System Hang,,cue,"System Hang, RF",,,Camera video randomly freezes during multi-tasking in Teams Conference Call,Camera video randomly freezes during multi-tasking in Teams Conference Call
85,,Connectivity,Connectivity,,cue,Connectivity,,,Stress_FB/S4_System event log occur BTHUSB error(Event ID:17) . (F/R: 6/7units),Stress_FB/S4_System event log occur BTHUSB error(Event ID:17) . (F/R: 6/7units)
86,,Connectivity,Needs-Triage,,fallback,,,,Slate not able to enable Wi-Fi sensing.,Slate not able to enable Wi-Fi sensing.
87,,Connectivity,Connectivity,,cue,Connectivity,,,Dual BT does not work,Dual BT does not work
88,,System Hang,System Hang,System Hang,override,System Hang,,,"System hangs ~90s after wrong Wi-Fi password entered on CSR interface (Spider Peak 2 Scorpius, Win11 25H2)","System hangs ~90s after wrong Wi-Fi password entered on CSR interface (Spider Peak 2 Scorpius, Win11 25H2)"
89,,HLK,System Hang,System Hang,override,System Hang,,"System hangs ~90s after wrong Wi-Fi password entered on CSR interface (Spider Peak 2 Scorpius, Win11 25H2)","WHQL test , Bluetooth - HciExtensionsV2 (Development and Integration) test item fail.","System hangs ~90s after wrong Wi-Fi password entered on CSR interface (Spider Peak 2 Scorpius, Win11 25H2)"
90,,Connectivity,Connectivity,,cue,Connectivity,,,The 2.4G network auto disconnect after plug USB disk through the USB3.0 port under about -70dBm RSSl.,The 2.4G network auto disconnect after plug USB disk through the USB3.0 port under about -70dBm RSSl.
91,,YB/Lost,YB/Lost,,cue,"YB/Lost, Connectivity",,,The 2.4G network auto disconnect after connect USB wireless keyboard and mouse under about -70dBm RSSl.,The 2.4G network auto disconnect after connect USB wireless keyboard and mouse under about -70dBm RSSl.
92,,Performance,Needs-Triage,,fallback,,,,The PC high-frequency scanning 100ms broadcast takes a relatively long time (some time exceeded 20 seconds),The PC high-frequency scanning 100ms broadcast takes a relatively long time (some time exceeded 20 seconds)
93,,YB/Lost,YB/Lost,,cue,"YB/Lost, Connectivity",,,AX210 BT device Lost or BT&WLAN YB during auto coldboot/S4 test,AX210 BT device Lost or BT&WLAN YB during auto coldboot/S4 test
94,,YB/Lost,YB/Lost,,cue,"YB/Lost, Connectivity",,,Multiple devices show Yellow Bang after boot when pairing with another DUT via BT,Multiple devices show Yellow Bang after boot when pairing with another DUT via BT
95,,Connectivity,Connectivity,,cue,Connectivity,,,+intel AX210 wifiDriver ver: 23.170.0.16Ghz,+intel AX210 wifiDriver ver: 23.170.0.16Ghz
96,,Performance,Needs-Triage,,fallback,,,,The PC high-frequency scanning 250ms broadcast takes a relatively long time.,The PC high-frequency scanning 250ms broadcast takes a relatively long time.
97,,RF,RF,,cue,RF,,,TAS test failed,TAS test failed
98,,YB/Lost,YB/Lost,YB/Lost,override,"Connectivity, YB/Lost",,,"Wi-Fi error 5002 and AP disconnect during Modern Standby on RUSH (TWL) with AX211, multiple drivers","Wi-Fi error 5002 and AP disconnect during Modern Standby on RUSH (TWL) with AX211, multiple drivers"
99,,Connectivity,YB/Lost,YB/Lost,override,"Connectivity, YB/Lost",,"Wi-Fi error 5002 and AP disconnect during Modern Standby on RUSH (TWL) with AX211, multiple drivers",Please help to check the log of ibtWikoCfaFeatureExt driver.,"Wi-Fi error 5002 and AP disconnect during Modern Standby on RUSH (TWL) with AX211, multiple drivers"
100,,System Hang,System Hang,,cue,"System Hang, Power Consumption",,,Gets stuck when turning the hotspot on or off,Gets stuck when turning the hotspot on or off
101,,Connectivity,Needs-Triage,,fallback,,,,File transfer via Quick Share failed,File transfer via Quick Share failed
102,,YB/Lost,OEM Tools,OEM Tools,override,"Connectivity, YB/Lost, OEM Tools",,,SIO2454268: Cant play music via media player after resume unit from S4 during music playback with BT LE headset connect.(AX211),SIO2454268: Cant play music via media player after resume unit from S4 during music playback with BT LE headset connect.(AX211)
103,,Connectivity,Connectivity,,cue,Connectivity,,,The Bluetooth driver in the MS scenario is highly active.,The Bluetooth driver in the MS scenario is highly active.
104,,YB/Lost,YB/Lost,,cue,"YB/Lost, BSOD",,,"5002 error(Assert_0x20104007) occurred from event log during FastBoot Test (FR:1/30units, 1/9000 cycles)","5002 error(Assert_0x20104007) occurred from event log during FastBoot Test (FR:1/30units, 1/9000 cycles)"
105,,Connectivity,YB/Lost,,cue,"YB/Lost, BSOD",,"5002 error(Assert_0x20104007) occurred from event log during FastBoot Test (FR:1/30units, 1/9000 cycles)",Intel AX211 Wifi frequently disconnecting,"5002 error(Assert_0x20104007) occurred from event log during FastBoot Test (FR:1/30units, 1/9000 cycles)"
106,,Connectivity,Connectivity,,cue,Connectivity,,,The Bluetooth drive,The Bluetooth drive
107,,Connectivity,Connectivity,,cue,Connectivity,,,Intel Wi-Fi fails to start authentication as P2P Group Client during pairing on Lunar Lake,Intel Wi-Fi fails to start authentication as P2P Group Client during pairing on Lunar Lake
108,,Connectivity,Connectivity,,cue,Connectivity,,Intel Wi-Fi fails to start authentication as P2P Group Client during pairing on Lunar Lake,Issue: Missing UDP_COALESCED_INFO Control Message When URO Is Enabled,Intel Wi-Fi fails to start authentication as P2P Group Client during pairing on Lunar Lake
109,,Connectivity,Connectivity,,cue,Connectivity,,,P2P pairing failure - No beacon detected from Intel WiFi.,P2P pairing failure - No beacon detected from Intel WiFi.
110,,YB/Lost,YB/Lost,,cue,YB/Lost,,,Enabling the s-mono function causes noise during playback,Enabling the s-mono function causes noise during playback
111,,Connectivity,Needs-Triage,,fallback,,,,MS365 sites fails w/IPV6,MS365 sites fails w/IPV6
112,,Connectivity,Connectivity,,cue,"Connectivity, Performance",,,The sound output device  will slower then 20s to show after  connected   by BT,The sound output device  will slower then 20s to show after  connected   by BT
113,,Connectivity,Connectivity,,cue,Connectivity,,,Sometimes there are continuous ping timeouts when connected with a specific WiFi4 AP at home (AP from Chinese ISP).,Sometimes there are continuous ping timeouts when connected with a specific WiFi4 AP at home (AP from Chinese ISP).
114,,YB/Lost,YB/Lost,,cue,YB/Lost,,,"Wi-Fi device YB fails to recover after S4 resume, error code 10, reboot restores on AX211/Win11","Wi-Fi device YB fails to recover after S4 resume, error code 10, reboot restores on AX211/Win11"
115,,Connectivity,Connectivity,,cue,Connectivity,,,The Bluetooth driver in the MS scenario is highly active.,The Bluetooth driver in the MS scenario is highly active.
116,,BSOD,Connectivity,,cue,Connectivity,,Sometimes there are continuous ping timeouts when connected with a specific WiFi4 AP at home (AP from Chinese ISP).,BSOD 0x133 when test Stress_MultiMedia_00700,Sometimes there are continuous ping timeouts when connected with a specific WiFi4 AP at home (AP from Chinese ISP).
117,,YB/Lost,YB/Lost,,cue,YB/Lost,,"Wi-Fi device YB fails to recover after S4 resume, error code 10, reboot restores on AX211/Win11",AX211 Bluetooth shows YB after idle system 8~12 hrs.,"Wi-Fi device YB fails to recover after S4 resume, error code 10, reboot restores on AX211/Win11"
118,,BSOD,BSOD,,cue,"BSOD, Connectivity",,,0x9F BSOD during Bluetooth device wake from idle while streaming video on Windows 11 25H2,0x9F BSOD during Bluetooth device wake from idle while streaming video on Windows 11 25H2
119,,ICPS,ICPS,ICPS,override,"Connectivity, ICPS",,,ICPS Bluetooth LE over-ear headphone icon is different from OS icon,ICPS Bluetooth LE over-ear headphone icon is different from OS icon
120,,Connectivity,Needs-Triage,,fallback,,,,The sound is terrible after starting a PAS session,The sound is terrible after starting a PAS session
121,,Connectivity,BSOD,,cue,"BSOD, Connectivity",,0x9F BSOD during Bluetooth device wake from idle while streaming video on Windows 11 25H2,no a2dp profile when bluetooth headset connecting with a2dp offload off,0x9F BSOD during Bluetooth device wake from idle while streaming video on Windows 11 25H2
122,,Connectivity,Connectivity,,cue,Connectivity,,,EVO BT audio test fail,EVO BT audio test fail
123,,Connectivity,Needs-Triage,,fallback,,,,#NAME?,#NAME?
124,,YB/Lost,YB/Lost,,cue,YB/Lost,,,Enabling the s-mono function causes noise during playback,Enabling the s-mono function causes noise during playback
125,,Connectivity,Connectivity,,cue,Connectivity,,,The BT6.0 device does not display 16bit 32k Hz when connected.,The BT6.0 device does not display 16bit 32k Hz when connected.
126,,Connectivity,Connectivity,,cue,Connectivity,,,bluetooth headset can not adjust volume with a2dp offload off,bluetooth headset can not adjust volume with a2dp offload off
127,,YB/Lost,OEM Tools,OEM Tools,override,"Connectivity, YB/Lost, OEM Tools",,,Bluetooth Yellow Bang (error 43) after reboot; fatal BT controller exception and PLDR failure on Panther Lake (AX211) - CNVI_AUX_A2A_EXCEPTION_IRQ,Bluetooth Yellow Bang (error 43) after reboot; fatal BT controller exception and PLDR failure on Panther Lake (AX211) - CNVI_AUX_A2A_EXCEPTION_IRQ
128,,BSOD,BSOD,,cue,BSOD,,,"The unit show BSOD(bugcheck:0x44,with dump) after restart unit.(F/R:1/2units;2/208cycles)","The unit show BSOD(bugcheck:0x44,with dump) after restart unit.(F/R:1/2units;2/208cycles)"
129,,YB/Lost,YB/Lost,,cue,"YB/Lost, BSOD",,,"Event log show 5002 error (Assert 0x20104009) during Warm Boot stress test. (F/R:2/25u,174/7500c)","Event log show 5002 error (Assert 0x20104009) during Warm Boot stress test. (F/R:2/25u,174/7500c)"
130,,Connectivity,OEM Tools,OEM Tools,override,"Connectivity, YB/Lost, OEM Tools",,Bluetooth Yellow Bang (error 43) after reboot; fatal BT controller exception and PLDR failure on Panther Lake (AX211) - CNVI_AUX_A2A_EXCEPTION_IRQ,There is no sound output after starting a PAS session during a Teams call.,Bluetooth Yellow Bang (error 43) after reboot; fatal BT controller exception and PLDR failure on Panther Lake (AX211) - CNVI_AUX_A2A_EXCEPTION_IRQ
131,,Connectivity,Connectivity,,cue,Connectivity,,,Sometimes one of the earbuds (Device #1 or Device #2) disconnects randomly during a PAS session.,Sometimes one of the earbuds (Device #1 or Device #2) disconnects randomly during a PAS session.
132,,YB/Lost,YB/Lost,,cue,"YB/Lost, BSOD",,"Event log show 5002 error (Assert 0x20104009) during Warm Boot stress test. (F/R:2/25u,174/7500c)",Music playback will stop automatically during  PAS session.,"Event log show 5002 error (Assert 0x20104009) during Warm Boot stress test. (F/R:2/25u,174/7500c)"
133,,YB/Lost,YB/Lost,,cue,"YB/Lost, BSOD, Connectivity",,,BT driver v23.140.0.5 show YB in the factory (WiFi Assert 0x2010121e),BT driver v23.140.0.5 show YB in the factory (WiFi Assert 0x2010121e)
134,,Connectivity,Connectivity,,cue,"Connectivity, Performance",,,"There is a lag(about 20s) in the sound switching when connecting the one BT headset and then connecting other one,(FR: 2/2 units,6/6 trials)","There is a lag(about 20s) in the sound switching when connecting the one BT headset and then connecting other one,(FR: 2/2 units,6/6 trials)"
135,,Connectivity,Connectivity,,cue,Connectivity,,,"The SW Drips is 0 and HW drips no value(Intel(R) Dual Bluetooth(R) PCI Enumerator(\_SB.PC00.BTPC)) after entering MS more than 10mins.(FR:1/2units,2/10cycles)","The SW Drips is 0 and HW drips no value(Intel(R) Dual Bluetooth(R) PCI Enumerator(\_SB.PC00.BTPC)) after entering MS more than 10mins.(FR:1/2units,2/10cycles)"
136,,BSOD,BSOD,,cue,BSOD,,,Black screen and BSOD 0x9F after resume from S4/MS with Intel Wi-Fi driver 23.150/23.170,Black screen and BSOD 0x9F after resume from S4/MS with Intel Wi-Fi driver 23.150/23.170
137,,System Hang,Needs-Triage,,fallback,,,,"System show error and cannot recover PC after download OS/driver finished from Cloud. (F/R:2/2u,4/4c)","System show error and cannot recover PC after download OS/driver finished from Cloud. (F/R:2/2u,4/4c)"
138,,OEM Tools,OEM Tools,OEM Tools,override,"Connectivity, OEM Tools",,,Bolan PTL BE211 SNR ANT A fail in WBT GNNR,Bolan PTL BE211 SNR ANT A fail in WBT GNNR
139,,YB/Lost,BSOD,,cue,BSOD,,Black screen and BSOD 0x9F after resume from S4/MS with Intel Wi-Fi driver 23.150/23.170,"Assert happened , GO Beacon miss occurred",Black screen and BSOD 0x9F after resume from S4/MS with Intel Wi-Fi driver 23.150/23.170
140,,Connectivity,Needs-Triage,,fallback,,,,HP ABBA dock and monitor fail to wake when Quick Connect enabled and unit approaches within 3 meters,HP ABBA dock and monitor fail to wake when Quick Connect enabled and unit approaches within 3 meters
141,,Killer,Needs-Triage,,fallback,,,,The Wi-Fi Credential Prompter of IdeaPad build is dark mode by default,The Wi-Fi Credential Prompter of IdeaPad build is dark mode by default
142,,OEM Tools,YB/Lost,YB/Lost,override,YB/Lost,,"Assert happened , GO Beacon miss occurred",6G Tx power question on DRTU,"Assert happened , GO Beacon miss occurred"
143,,Connectivity,Needs-Triage,,fallback,,,,The TIS is abnormal when the OTA test is in Channel 149-165,The TIS is abnormal when the OTA test is in Channel 149-165
144,,BSOD,Needs-Triage,,fallback,,,HP ABBA dock and monitor fail to wake when Quick Connect enabled and unit approaches within 3 meters,0x9F BSOD during WinPVT11.16.0 S4 hibernation stress test on Wildcat Lake Wi-Fi,HP ABBA dock and monitor fail to wake when Quick Connect enabled and unit approaches within 3 meters
