issue_key,ips_case_number,jira_title,created_date,bug_project,bug_category_custom,technology,technology_key,ips_title,predicted_category,confidence,reasoning,raw_response
BT-429355,995941,Funlogy Portable Mini speaker does not output sound during playing streaming.,2026-01-15,BT,,Bluetooth,bt,Funlogy Portable Mini speaker does not output sound during playing streaming.,Connectivity,0.8,"Title contains 'does not output sound' which implies connectivity issue, specifically with Bluetooth","{
  ""category"": ""Connectivity"",
  ""confidence"": 0.8,
  ""reasoning"": ""Title contains 'does not output sound' which implies connectivity issue, specifically with Bluetooth""
}"
995940,995940,,2026-01-15,BT,,Bluetooth,bt,Bluetooth software device,Connectivity,1.0,Rule-based match via cues (score 1),rule
995925,995925,,2026-01-15,WIFI,,WiFi,wifi,Please help to check the log of WiFi Sensing function.,Connectivity,1.0,Rule-based match via cues (score 1),rule
995917,995917,,2026-01-15,WIFI,,WiFi,wifi,"After connect to Samsung TV via miracast, device will disconnect and can not scan Samaung TV.",Connectivity,1.0,Rule-based match via cues (score 2),rule
995913,995913,,2026-01-15,BT,,Bluetooth,bt,audio delay 20s when swithing BT earbuds,Connectivity,1.0,Rule-based match via cues (score 1),rule
995883,995883,,2026-01-15,WIFI,,WiFi,wifi,Intel AX211 intermittently disconnection on WPA2-Enterprise,Connectivity,1.0,Rule-based match via cues (score 1),rule
995870,995870,,2026-01-15,BT,,Bluetooth,bt,BT driver will show YB sometimes,YB/Lost,1.0,Rule-based match via cues (score 1),rule
995851,995851,,2026-01-14,WIFI,,WiFi,wifi,WLAN/WWAN cant be disabled when connect LAN with Control WLAN/WWAN Radio enabled,Connectivity,1.0,Rule-based match via cues (score 1),rule
995848,995848,,2026-01-14,BT,,Bluetooth,bt,"Windows Update Bad Submission data Rejection.((FR2/2 units,2/2times))",Needs-Triage,0.0,No matching cues found in title,"{
  ""category"": ""Needs-Triage"",
  ""confidence"": 0,
  ""reasoning"": ""No matching cues found in title""
}"
995846,995846,,2026-01-14,WIFI,,WiFi,wifi,Intel WIFI7 BE201 YB(Code 10) when open lid after close lid about 1 hour,YB/Lost,1.0,Rule-based match via cues (score 1),rule
995836,995836,,2026-01-14,BT,,Bluetooth,bt,he music cannot play after turning on BT and connecting to samsung  buds2 pro BT headset.(the music progress bar does not move),Connectivity,1.0,Rule-based match via cues (score 1),rule
995834,995834,,2026-01-14,BT,,Bluetooth,bt,"The BT page show  after unit pair and connect to Phone(F/R:1/5units,2/10cycles)",Connectivity,1.0,Rule-based match via cues (score 2),rule
995827,995827,,2026-01-14,BT,,Bluetooth,bt,WHQL  Bluetooth - HciExtensionsV2 fail.,HLK,1.0,Rule-based match via cues (score 1),rule
CIE-10238,995806,ICPS impacts the Fast Startup time.,2026-01-14,CIE,,ICPS/Killer,software,ICPS impacts the Fast Startup time.,ICPS,1.0,Technology is ICPS/Killer; auto-mapped to ICPS/Killer based on title cue.,auto
WIFI-824339,995785,The P2P iperf t-put drop (100MB/s --> 3.8MB/s) after manually adding interference,2026-01-14,WIFI,,WiFi,wifi,The P2P iperf t-put drop (100MB/s --> 3.8MB/s) after manually adding interference,Connectivity,1.0,Rule-based match via cues (score 1),rule
995781,995781,,2026-01-14,BT,,Bluetooth,bt,"After BLE pairing, there is no classical Bluetooth MAC in Windows registry",Connectivity,1.0,Rule-based match via cues (score 3),rule
995760,995760,,2026-01-14,WIFI,,WiFi,wifi,Camera video randomly freezes during multi-tasking in Teams Conference Call,System Hang,1.0,Rule-based match via cues (score 1),rule
995740,995740,,2026-01-14,BT,,Bluetooth,bt,Stress_FB/S4_System event log occur BTHUSB error(Event ID:17) . (F/R: 6/7units),Connectivity,1.0,Rule-based match via cues (score 1),rule
995717,995717,,2026-01-14,WIFI,,WiFi,wifi,Slate not able to enable Wi-Fi sensing.,Connectivity,0.8,Title contains 'Wi-Fi sensing' which is a connectivity related term.,"{
  ""category"": ""Connectivity"",
  ""confidence"": 0.8,
  ""reasoning"": ""Title contains 'Wi-Fi sensing' which is a connectivity related term.""
}"
995670,995670,,2026-01-13,BT,,Bluetooth,bt,Dual BT does not work,Connectivity,1.0,Rule-based match via cues (score 1),rule
WIFI-820830,995653,"System hangs ~90s after wrong Wi-Fi password entered on CSR interface (Spider Peak 2 Scorpius, Win11 25H2)",2026-01-13,WIFI,,WiFi,wifi,"System hangs ~90s after wrong Wi-Fi password entered on CSR interface (Spider Peak 2 Scorpius, Win11 25H2)",System Hang,1.0,Hard override matched phrase 'system hang',rule
995596,995596,,2026-01-13,BT,,Bluetooth,bt,"WHQL test , Bluetooth - HciExtensionsV2 (Development and Integration) test item fail.",HLK,1.0,Rule-based match via cues (score 1),rule
995507,995507,,2026-01-12,WIFI,,WiFi,wifi,The 2.4G network auto disconnect after plug USB disk through the USB3.0 port under about -70dBm RSSl.,Connectivity,1.0,Rule-based match via cues (score 1),rule
995502,995502,,2026-01-12,WIFI,,WiFi,wifi,The 2.4G network auto disconnect after connect USB wireless keyboard and mouse under about -70dBm RSSl.,YB/Lost,1.0,Rule-based match via cues (score 1),rule
995465,995465,,2026-01-12,BT,,Bluetooth,bt,The PC high-frequency scanning 100ms broadcast takes a relatively long time (some time exceeded 20 seconds),Performance,0.8,"Title contains 'long time', 'exceeded' which are indicative of performance issues","{
  ""category"": ""Performance"",
  ""confidence"": 0.8,
  ""reasoning"": ""Title contains 'long time', 'exceeded' which are indicative of performance issues""
}"
995440,995440,,2026-01-12,BT,,Bluetooth,bt,AX210 BT device Lost or BT&WLAN YB during auto coldboot/S4 test,YB/Lost,1.0,Rule-based match via cues (score 1),rule
995435,995435,,2026-01-12,BT,,Bluetooth,bt,Multiple devices show Yellow Bang after boot when pairing with another DUT via BT,YB/Lost,1.0,Rule-based match via cues (score 1),rule
995384,995384,,2026-01-12,WIFI,,WiFi,wifi,+intel AX210 wifiDriver ver: 23.170.0.16Ghz,Connectivity,1.0,Rule-based match via cues (score 1),rule
995383,995383,,2026-01-12,BT,,Bluetooth,bt,The PC high-frequency scanning 250ms broadcast takes a relatively long time.,Performance,0.8,Title contains 'long time' which is a performance-related cue.,"{
  ""category"": ""Performance"",
  ""confidence"": 0.8,
  ""reasoning"": ""Title contains 'long time' which is a performance-related cue.""
}"
995368,995368,,2026-01-12,WIFI,,WiFi,wifi,TAS test failed,RF,1.0,Rule-based match via cues (score 1),rule
WIFI-822835,995324,"Wi-Fi error 5002 and AP disconnect during Modern Standby on RUSH (TWL) with AX211, multiple drivers",2026-01-09,WIFI,,WiFi,wifi,"Wi-Fi error 5002 and AP disconnect during Modern Standby on RUSH (TWL) with AX211, multiple drivers",YB/Lost,1.0,Hard override matched phrase '5002',rule
995262,995262,,2026-01-09,BT,,Bluetooth,bt,Please help to check the log of ibtWikoCfaFeatureExt driver.,Connectivity,1.0,Rule-based match via cues (score 1),rule
995216,995216,,2026-01-09,WIFI,,WiFi,wifi,Gets stuck when turning the hotspot on or off,System Hang,1.0,Rule-based match via cues (score 1),rule
995195,995195,,2026-01-09,BT,,Bluetooth,bt,File transfer via Quick Share failed,Connectivity,0.8,"Title contains 'transfer' and 'Quick Share', which are related to connectivity, specifically Bluetooth.","{
  ""category"": ""Connectivity"",
  ""confidence"": 0.8,
  ""reasoning"": ""Title contains 'transfer' and 'Quick Share', which are related to connectivity, specifically Bluetooth.""
}"
995155,995155,,2026-01-08,BT,,Bluetooth,bt,SIO2454268: Cant play music via media player after resume unit from S4 during music playback with BT LE headset connect.(AX211),YB/Lost,1.0,Rule-based match via cues (score 1),rule
994909,994909,,2026-01-08,BT,,Bluetooth,bt,The Bluetooth driver in the MS scenario is highly active.,Connectivity,1.0,Rule-based match via cues (score 1),rule
WIFI-818038,994835,"5002 error(Assert_0x20104007) occurred from event log during FastBoot Test (FR:1/30units, 1/9000 cycles)",2026-01-08,WIFI,,WiFi,wifi,"5002 error(Assert_0x20104007) occurred from event log during FastBoot Test (FR:1/30units, 1/9000 cycles)",YB/Lost,1.0,Hard override matched phrase '5002',rule
994808,994808,,2026-01-08,WIFI,,WiFi,wifi,Intel AX211 Wifi frequently disconnecting,Connectivity,1.0,Rule-based match via cues (score 2),rule
994757,994757,,2026-01-07,BT,,Bluetooth,bt,The Bluetooth drive,Connectivity,1.0,Rule-based match via cues (score 1),rule
WIFI-821675,994743,Intel Wi-Fi fails to start authentication as P2P Group Client during pairing on Lunar Lake,2026-01-07,WIFI,,WiFi,wifi,Intel Wi-Fi fails to start authentication as P2P Group Client during pairing on Lunar Lake,Connectivity,1.0,Rule-based match via cues (score 2),rule
994739,994739,,2026-01-07,WIFI,,WiFi,wifi,Issue: Missing UDP_COALESCED_INFO Control Message When URO Is Enabled,Connectivity,0.8,"Title contains 'missing' and 'control message', which are indicative of connectivity issues.","{
  ""category"": ""Connectivity"",
  ""confidence"": 0.8,
  ""reasoning"": ""Title contains 'missing' and 'control message', which are indicative of connectivity issues.""
}"
994727,994727,,2026-01-07,WIFI,,WiFi,wifi,P2P pairing failure - No beacon detected from Intel WiFi.,Connectivity,1.0,Rule-based match via cues (score 3),rule
994719,994719,,2026-01-07,BT,,Bluetooth,bt,Inquiry on CNVIO3 Trace Length Specification and Validation App,Needs-Triage,0.0,No matching cues found in title,"{
  ""category"": ""Needs-Triage"",
  ""confidence"": 0,
  ""reasoning"": ""No matching cues found in title""
}"
994688,994688,,2026-01-07,BT,,Bluetooth,bt,Enabling the s-mono function causes noise during playback,YB/Lost,1.0,Rule-based match via cues (score 1),rule
994642,994642,,2026-01-07,WIFI,,WiFi,wifi,MS365 sites fails w/IPV6,Connectivity,0.8,"Title contains 'IPV6' and 'fails', which are indicative of connectivity issues.","{
  ""category"": ""Connectivity"",
  ""confidence"": 0.8,
  ""reasoning"": ""Title contains 'IPV6' and 'fails', which are indicative of connectivity issues.""
}"
994632,994632,,2026-01-07,BT,,Bluetooth,bt,The sound output device  will slower then 20s to show after  connected   by BT,Connectivity,1.0,Rule-based match via cues (score 1),rule
994589,994589,,2026-01-07,WOT,,Tools,tools,How to confirm whether the 5.15-5.35 GHz,Needs-Triage,0.0,No matching cues found in title,"{
  ""category"": ""Needs-Triage"",
  ""confidence"": 0,
  ""reasoning"": ""No matching cues found in title""
}"
WIFI-818173,994580,Sometimes there are continuous ping timeouts when connected with a specific WiFi4 AP at home (AP from Chinese ISP).,2026-01-07,WIFI,,WiFi,wifi,Sometimes there are continuous ping timeouts when connected with a specific WiFi4 AP at home (AP from Chinese ISP).,Connectivity,1.0,Rule-based match via cues (score 1),rule
WIFI-817651,994519,"Wi-Fi device YB fails to recover after S4 resume, error code 10, reboot restores on AX211/Win11",2026-01-06,WIFI,,WiFi,wifi,"Wi-Fi device YB fails to recover after S4 resume, error code 10, reboot restores on AX211/Win11",YB/Lost,1.0,Rule-based match via cues (score 1),rule
994500,994500,,2026-01-06,WIFI,,WiFi,wifi,The Bluetooth driver in the MS scenario is highly active.,Connectivity,1.0,Rule-based match via cues (score 1),rule
994460,994460,,2026-01-06,BT,,Bluetooth,bt,BSOD 0x133 when test Stress_MultiMedia_00700,BSOD,1.0,Rule-based match via cues (score 2),rule
994447,994447,,2026-01-06,BT,,Bluetooth,bt,AX211 Bluetooth shows YB after idle system 8~12 hrs.,YB/Lost,1.0,Rule-based match via cues (score 1),rule
BT-426294,994413,0x9F BSOD during Bluetooth device wake from idle while streaming video on Windows 11 25H2,2026-01-06,BT,,Bluetooth,bt,0x9F BSOD during Bluetooth device wake from idle while streaming video on Windows 11 25H2,BSOD,1.0,Rule-based match via cues (score 2),rule
994368,994368,,2026-01-05,BT,,Bluetooth,bt,ICPS Bluetooth LE over-ear headphone icon is different from OS icon,ICPS,1.0,Hard override matched phrase 'icps',rule
994310,994310,,2026-01-05,BT,,Bluetooth,bt,The sound is terrible after starting a PAS session,Connectivity,0.8,Title contains 'connect' and 'session',"{
  ""category"": ""Connectivity"",
  ""confidence"": 0.8,
  ""reasoning"": ""Title contains 'connect' and 'session'""
}"
994305,994305,,2026-01-05,BT,,Bluetooth,bt,no a2dp profile when bluetooth headset connecting with a2dp offload off,Connectivity,1.0,Rule-based match via cues (score 1),rule
994301,994301,,2026-01-05,BT,,Bluetooth,bt,EVO BT audio test fail,Connectivity,1.0,Rule-based match via cues (score 1),rule
994274,994274,,2026-01-05,WIFI,,WiFi,wifi,-Wireless connecivity solutions,Connectivity,0.8,Title contains 'connectivity' and 'solutions',"{
  ""category"": ""Connectivity"",
  ""confidence"": 0.8,
  ""reasoning"": ""Title contains 'connectivity' and 'solutions'""
}"
994269,994269,,2026-01-05,BT,,Bluetooth,bt,Enabling the s-mono function causes noise during playback,YB/Lost,1.0,Rule-based match via cues (score 1),rule
994251,994251,,2026-01-05,BT,,Bluetooth,bt,The BT6.0 device does not display 16bit 32k Hz when connected.,Connectivity,1.0,Rule-based match via cues (score 1),rule
994194,994194,,2026-01-04,BT,,Bluetooth,bt,bluetooth headset can not adjust volume with a2dp offload off,Connectivity,1.0,Rule-based match via cues (score 1),rule
BT-425899,994188,Bluetooth Yellow Bang (error 43) after reboot; fatal BT controller exception and PLDR failure on Panther Lake (AX211) - CNVI_AUX_A2A_EXCEPTION_IRQ,2026-01-04,BT,,Bluetooth,bt,Bluetooth Yellow Bang (error 43) after reboot; fatal BT controller exception and PLDR failure on Panther Lake (AX211) - CNVI_AUX_A2A_EXCEPTION_IRQ,YB/Lost,1.0,Rule-based match via cues (score 3),rule
994003,994003,,2026-01-01,BT,,Bluetooth,bt,"The unit show BSOD(bugcheck:0x44,with dump) after restart unit.(F/R:1/2units;2/208cycles)",BSOD,1.0,Rule-based match via cues (score 3),rule
WIFI-816135,993989,"Event log show 5002 error (Assert 0x20104009) during Warm Boot stress test. (F/R:2/25u,174/7500c)",2025-12-31,WIFI,,WiFi,wifi,"Event log show 5002 error (Assert 0x20104009) during Warm Boot stress test. (F/R:2/25u,174/7500c)",YB/Lost,1.0,Hard override matched phrase '5002',rule
993973,993973,,2025-12-31,BT,,Bluetooth,bt,There is no sound output after starting a PAS session during a Teams call.,Connectivity,0.8,"Title contains 'no sound output' and 'Teams call', which implies a connectivity issue with Bluetooth","{
  ""category"": ""Connectivity"",
  ""confidence"": 0.8,
  ""reasoning"": ""Title contains 'no sound output' and 'Teams call', which implies a connectivity issue with Bluetooth""
}"
