row_id,technology,ips_title,predicted_category,human_category,label_notes,risk_score,risk_reason
1537,wifi,[Lenovo/Consumer][LCFC][PTL484][BE211][1216][C911][EVT][Schematic][575882review],Connectivity,,,3,few_words<=3
3501,wifi,PC didnt receive packets from android several times so android device finally decided to disconnect from PC.,Connectivity,,,1,no_digits
2609,wifi,"Miracast connection fails on the INTEL module, but passes on the MTK module",Connectivity,,,3,generic:fail;no_digits
726,bt,BTS4,Connectivity,,,6,very_short<=18c;few_words<=3
1364,bt,The BT earphone (Airpods4) sound lag 5s and then no sound output,Connectivity,,,0,
449,wifi,WiFi throughput degrades after upgrading Windows OS,Connectivity,,,1,no_digits
627,wifi,"Downstream flow shed zero (F/R1/1u,1/40C)",Connectivity,,,1,few_words<=5
1310,bt,"Bluetooth devices all lost and do not show in the device manager when MIKE II s4 stress test, Bluetooth Device (Personal Area Network) (ID: BTH\MS_BTHPAN\6&257119B4&0&2) missing",Connectivity,,,0,
1054,wifi,Wireless LAN suddenly turned on during Airplane mode,Connectivity,,,1,no_digits
333,bt,Bluetooth headphone only have audio no MIC function,Connectivity,,,1,no_digits
2698,wifi,Miracast use CH165 which is not supported by the TV,Connectivity,,,0,
1172,wifi,P2P pairing failure as it didnt attempt to connect to the Group Owner (GO).,Connectivity,,,2,generic:failure
1199,wifi,[Honor][Luxshare][RPL-HX][AX201 1216][Nvwa][EVT][Schematic][#1],Connectivity,,,3,few_words<=3
3797,tools,WRT prevents removal of BT device on device error,Connectivity,,,3,generic:error;no_digits
1050,wifi,[Lenovo_LOQ][Compal][LOQ][RPL][AX203],Connectivity,,,3,few_words<=3
2109,wifi,Auth failed when doing connect and ping stress test,Connectivity,,,3,generic:fail;no_digits
3689,bt,TX timeout during ROM flow,Connectivity,,,4,short<=28c;few_words<=5;no_digits
1728,bt,Remove Duplicate Entires in the ibtpciinf,Connectivity,,,1,no_digits
3169,bt,Device Information Service - MDUT FW version doesnt match.,Connectivity,,,1,no_digits
568,wifi,SUT can search for 5.0GHz Wi-Fi with channel 165 on Indonesia image (PTL+WhP2),Connectivity,,,0,
3243,bt,Advertising Duty Cycle complaint test is not meeting the SPEC requirement,Connectivity,,,1,no_digits
1437,wifi,The wifi will disconnect when enter to MS,Connectivity,,,1,no_digits
791,bt,"SystemEvent log show error ID_5 after connect the BT MS&KB&Hedset devices, FR: 1/1Unit, 3/3Cycles",Connectivity,,,2,generic:error
2599,wifi,CITU tool WiFi connection Failure when using G-layout driver,Connectivity,,,3,generic:failure;no_digits
2148,wifi,Cannot wake from S3 by EMA server.,Connectivity,,,0,
3810,tools,WRT does not make logs on the korean machine names.,Connectivity,,,1,no_digits
1507,bt,The Bluetooth related device lost when using the MIKE II tool to run hibernate resume (manual resume) Fail Rate: 1unit 2/2 trials.,Connectivity,,,2,generic:fail
3994,wifi,Z93 WiFi 5Ghz band 160M-BW DFS fail issue,Connectivity,,,2,generic:issue
1536,bt,Bluetooth headset is 3 meters away and the sound is lag,Connectivity,,,0,
729,wifi,Wireless WiFi is lost on 23.160,Connectivity,,,0,
1782,bt,[HP][SnowWhite/LNL/FmP][PCIe] Bluetooth LE Mouse can not be used during connected state. - [Connection timeout],Connectivity,,,1,no_digits
4079,wifi,AX201/AX211 disconnect from OWE SSID and cannot connect back automatically,Connectivity,,,0,
3329,bt,A2DP Offload feature is enabled in JfP on TGL and HrP on ADL when feature is not supported.,Connectivity,,,0,
329,wifi,BE211 transmission speed low(2515~2873Mbps Expect:>2.88Gbps) with WIFI 7 after PM operations,Connectivity,,,0,
595,wifi,"when an AP is connected, DUT wakes up intermittently without human detection",Connectivity,,,3,generic:intermittent;no_digits
278,wifi,Obtain wrt log consultation,Connectivity,,,4,short<=28c;few_words<=5;no_digits
1447,bt,There are advs but no connection complete evt,Connectivity,,,1,no_digits
17,bt,Bluetooth Mic Test Does Not Reflect Input or Volume Assessment,Connectivity,,,1,no_digits
3390,bt,HW Error occures if using Quick Share app while BLE advertising by SmartThings,Connectivity,,,3,generic:error;no_digits
1258,bt,"Bluetooths microphone can not be recognized in Sound -> Recording device, and can not be recognized in Sound Recorder APP. (FR:1/3 units, 100% failed with that failed unit.)",Connectivity,,,2,generic:fail
1407,bt,Pista ARL BE201 Wireless Headset pause button is no function via Bluetooth.,Connectivity,,,0,
11,bt,"When using the iper3 tool to run RX and TX while connecting to a 2.4G WiFi and Bluetooth device, the Bluetooth speaker experiences stuttering issues.",Connectivity,,,2,generic:issue
1547,wifi,How to close the access of channels 100~140 in WLAN 5G band in Indonesia,Connectivity,,,0,
3247,bt,"HDUT does not support mute/unmute button, it can only support boom arm for mute/unmute",Connectivity,,,1,no_digits
119,bt,The sound is terrible after starting a PAS session,Connectivity,,,1,no_digits
735,bt,"After pairing the Bluetooth headset, the sound output takes about 15 seconds to switch to the headset.",Connectivity,,,0,
2740,wifi,WiFi Rx throughput of 11ax(5GHz) becomes much lower with BT mouse connected,Connectivity,,,0,
4041,wifi,Intermittent unexplained low downlink throughput,Connectivity,,,4,few_words<=5;generic:intermittent;no_digits
548,bt,Bluetooth headset fails to connect automatically after Windows is resume from shutdown,Connectivity,,,3,generic:fail;no_digits
1286,wifi,Canot Miracast to project the screen to this device wirelessly,Connectivity,,,1,no_digits
2253,wifi,Cannot connect to WPA2 Enterprise via UEFI,Connectivity,,,0,
1602,bt,Noise is heard from BT headphone when other people speak during teams call.(BE201),Connectivity,,,0,
686,wifi,Due to WiFi 5055 event happens then BE200 BT device lost during S4 stress test,Connectivity,,,0,
2644,wifi,auth_req sends inappropriate data rates,Connectivity,,,2,few_words<=5;no_digits
451,wifi,"PC connected 2.4G/5G AP(802.11AX/AC,20M/40M) do UDP downstream can not meet spec.(F/R:1/1U,6/6C))",Connectivity,,,0,
3431,bt,BT device lost during S4.,Connectivity,,,3,short<=28c;few_words<=5
1587,wifi,PX AX210 Wifi 6G _DSM support_OEM,Connectivity,,,0,
3900,wifi,"After DUT S4 for a period of time and wakes up, the performance is abnormal when the WIFi65G frequency band 80MHZ/160MHz bandwidth",Connectivity,,,0,
892,bt,BLE launch failure on PTL Platforms with BE211 Module,Connectivity,,,2,generic:failure
3654,wifi,Indra: Error seen with Wifi OTP commit,Connectivity,,,3,generic:error;no_digits
98,bt,Please help to check the log of ibtWikoCfaFeatureExt driver.,Connectivity,,,1,no_digits
1812,bt,: BIS#1 sending empty packets while broadcast streaming with 24_1 config,Connectivity,,,0,
2126,wifi,Wake on approach functionality fails to wake the test unit from MS in HB,Connectivity,,,3,generic:fail;no_digits
2723,wifi,System does not sync screen via miracast from PC to PAD.,Connectivity,,,1,no_digits
3485,bt,"Swift Pair connected with Use LE audio when available disabled, after connection host will reconnect LE portion",Connectivity,,,1,no_digits
1049,wifi,"Blackscreen during MS stress test and Dump point to ""WifiCx.sys"" (F/R: 2/2u; 2/10 c)",Connectivity,,,0,
2747,wifi,we can not scan the 6E AP channels while applied country code as US.,Connectivity,,,0,
2174,wifi,Cannot detect User SPD when lean back sitting,Connectivity,,,1,no_digits
459,wifi,WiFi Sensing is no sensitivity,Connectivity,,,2,few_words<=5;no_digits
821,wifi,WiFi 6 Ghz can not be detected or connected when the channel is at 101/149/213.,Connectivity,,,0,
114,wifi,The Bluetooth driver in the MS scenario is highly active.,Connectivity,,,1,no_digits
3361,bt,BT mouse cannot work after idle or paired successfully.,Connectivity,,,1,no_digits
3145,bt,The sound has caton murmur when DUT play music with a bluetooth speaker,Connectivity,,,1,no_digits
1354,wifi,P178G002/P179G002 update KC Wifi 7,Connectivity,,,1,few_words<=5
1424,bt,Bluetooth is switched on automatically after resuming from Hibernation.,Connectivity,,,1,no_digits
409,bt,BT headset can not adjust audio volume,Connectivity,,,1,no_digits
2169,wifi,Miracast channel does not align with BSS channel,Connectivity,,,1,no_digits
3205,bt,Device Information Service only includes PnPID and Manufacture name,Connectivity,,,1,no_digits
1237,wifi,Debugging the antenna performance parameters of the WIFI Sensor waking up the PC under MS,Connectivity,,,3,generic:bug;no_digits
1725,bt,Intel LNL RVP + GaP discrete offload fail to work (music no sound),Connectivity,,,3,generic:fail;no_digits
32,bt,Bluetooth headset has No Output Sound After PC Bluetooth Toggle (OFF/ON) 100% fail rate.,Connectivity,,,2,generic:fail
3339,bt,Strange name of msi package appears when removing BT driver,Connectivity,,,1,no_digits
3264,bt,Cannot find DUT Tile in TILE Mobile App (TMA) on the phone when DUT enter to S4/D2,Connectivity,,,0,
3779,software,Request SSID: 0x0C10 for AX211 on Tributo_RPL,Killer,,,0,
2215,software,Coverity - CID 4012501 Copy without assign,Killer,,,0,
1449,software,Intel Connect service is disconnected when input wrong password to connect AP,Killer,,,1,no_digits
2282,software,Dark/Light mode change lead to BT device name invisible,Killer,,,3,generic:hang;no_digits
3770,software,Request for adding SSID in Killer WLAN/AX211 driver and KCC,Killer,,,0,
3733,software,":The images in the ""Type"" column of Network Health are generically labeled as ""image""",Killer,,,1,no_digits
3712,software,Alternate Data Stream Detected,Killer,,,2,few_words<=5;no_digits
3000,software,Snap layout feature support,Killer,,,4,short<=28c;few_words<=5;no_digits
1921,software,"""Reset to default"" keeps acm enabled",Killer,,,1,no_digits
2336,software,4119822 - Resource leak,Killer,,,3,short<=28c;few_words<=5
2308,software,Coverity - CID 410776 Data race condition,Killer,,,0,
3725,software,":Event ID 7023 The Intel Connectivity Service service terminated"" happensduring Restart test",Killer,,,0,
2951,software,Killer 1675x WLAN card WIFI/BT driver release request,Killer,,,0,
1887,software,Build configuration for Lenovo and Dell,Killer,,,1,no_digits
4150,software,"The ""key"" icon not appear after input AP password and connected",Killer,,,1,no_digits
3023,software,KCC no Wi-Fi Score on Windows 11_XPS 13 7390.,Killer,,,0,
1868,software,"- ""Connected Network Change"" Event isnt triggered upon actual Wi-Fi link-loss",Killer,,,3,generic:hang;no_digits
1713,software,Intel Killer Intelligence Center wont respond,Killer,,,1,no_digits
3786,software,"Intel Connectivity and Performance Suite, doesnt work with Narrator, multiple fields/items are not labeled.",Killer,,,3,generic:doesnt work;no_digits
1676,software,Bandwidth limitation is not taking effect after prioritization on/off/on cycle in settings,Killer,,,1,no_digits
2317,software,Coverity - CID 3808441 Infinite recursion without exit,Killer,,,0,
3013,software,Tencent meeting is recognized as gaming app.,Killer,,,1,no_digits
3089,software,Toasts not working,Killer,,,9,very_short<=18c;few_words<=3;generic:not working;no_digits
1925,software,Coverity - CID 4017203 Structurally dead code,Killer,,,0,
3734,software,Accessibility issue of Killer Intelligence Center.,Killer,,,3,generic:issue;no_digits
1883,software,Sidebar icons cut off when resizing app window,Killer,,,1,no_digits
4160,software,"The Killer app will hang after apply extend current network or create hotspot function in Killer Control Center app.(F/R:2/2 units,2/8 times)",Killer,,,2,generic:hang
2907,software,High traffic notification does not trigger naturally without a reset,Killer,,,1,no_digits
2369,software,Audio quality indicator is not shown when user is in Teams call,Killer,,,1,no_digits
3058,software,Credentials are not asked for when connecting to a new network,Killer,,,1,no_digits
1214,software,"The button ""Reset"" all settings to default does not works.",Killer,,,1,no_digits
2255,software,UI Crash when Toast Notifications are on,Killer,,,3,generic:crash;no_digits
1932,software,Coverity - CID 4018736 Untrusted loop bound,Killer,,,0,
3021,software,The Join column can be modified in Smart AP Selection.,Killer,,,1,no_digits
2953,software,The Unit still need to enter password during switching saved network on the Network Health page,Killer,,,1,no_digits
3790,software,":""Advanced Connection Manager"" tab is missing even WIFI and WWAN both are connected",Killer,,,1,no_digits
2024,software,#NAME?,Killer,,,7,very_short<=18c;few_words<=3;no_digits
1496,software,Killer control center the QQ Player has belong to the game category.,Killer,,,1,no_digits
1743,software,Slow response and freezes,Killer,,,4,short<=28c;few_words<=5;no_digits
3757,software,":Error ID 1000(IDBWM.exe) was found during S4 stress test(F/R:1/13 units,1/1950 total trials) -- IDBWM+0xb4019",Killer,,,2,generic:error
2020,software,Applications Page traffic graph Y axis text is cut off at the top of the panel sometimes,Killer,,,1,no_digits
2358,software,"- Bluetooth tab is presenting ""Connect"" button instead of ""Add a device"" when a device is already connected",Killer,,,1,no_digits
1366,software,"KILLER shows ""Service not running""",Killer,,,2,few_words<=5;no_digits
1542,bt,BT automatically disconnects when transferring 100M data file via BT with AX211 / Killer1675i card. FR: 8/10 cycle,Killer,,,0,
1984,software,Coverity - CID 4017029 Resource leak,Killer,,,0,
4010,wifi,Killer FmP2 marketing name incorrect in driver,Killer,,,0,
3800,tools,WRT can not function for Killer Module,Killer,,,1,no_digits
3076,software,Connection Timeout,Killer,,,7,very_short<=18c;few_words<=3;no_digits
1884,software,No indication in the cli when connecting or disconnecting to AP,Killer,,,1,no_digits
1672,software,Coverity - CID 3912007: Dereference before null check,Killer,,,0,
4102,software,About Intel Killer software,Killer,,,4,short<=28c;few_words<=5;no_digits
1695,software,AP selection (same SSID) take 3~4 mins to complete AP switch sometimes,Killer,,,0,
2354,software,- Killer 4.0 ISO/Over Clocking pop-up window doesnt have close X click on top right corner.,Killer,,,0,
2945,software,: Passcode incorrect will be shown when connect Wifi with correct passcode,Killer,,,1,no_digits
2301,software,Settings --> Change lowercase letters to uppercase for reset buttons strings,Killer,,,3,generic:hang;no_digits
4181,software,6GHz band in WiFi Analyzer only can show up to channel 90 (it should be up to 233 or higher).,Killer,,,0,
2061,software,Coverity - CID 4022861 Dereference before null check,Killer,,,0,
1706,software,Change VR Network Status Polling Time,Killer,,,3,generic:hang;no_digits
1958,software,Coverity - CID 4020596 Dereference after null check,Killer,,,0,
1972,software,Application Page - AppDomain name column text is centered,Killer,,,1,no_digits
2222,software,Coverity - CID 4119176 Identical code for different branches,Killer,,,0,
3745,software,Please use uppercase in filename (IDBWM.exe),Killer,,,1,no_digits
1859,software,"Toggling on ""Only show authorized networks"" causes app to crash - rarely",Killer,,,3,generic:crash;no_digits
1995,software,Hotspot takes ~6 seconds to connect,Killer,,,0,
2970,software,BSOD happens when starting a video meeting with DynaConnect App,Killer,,,1,no_digits
3774,software,Blank interface on Manual Routing page with Corporate machine,Killer,,,1,no_digits
3079,software,Disable unusable arrows for recommendations,Killer,,,2,few_words<=5;no_digits
1982,software,Coverity - CID 3876602 Resource leak,Killer,,,0,
2340,software,4119820 - Resource leak,Killer,,,3,short<=28c;few_words<=5
936,bt,Intel Wireless Dual Bluetooth Device show Yellow Bang and BT-related Device lost after CB/S4/WB/S0i3. (F/R: 2/2u;1/30c),YB/Lost,,,0,
1756,bt,BT YB with high fail rate when Samsung launch Samsung DRTU test case in 404 4Xe3 - CNVI_AUX_A2A_EXCEPTION_IRQ,YB/Lost,,,2,generic:fail
1509,wifi,WLAN device shows YB after resuming from S4/MS - FW assert 0x13ce,YB/Lost,,,0,
90,wifi,The 2.4G network auto disconnect after connect USB wireless keyboard and mouse under about -70dBm RSSl.,YB/Lost,,,0,
896,wifi,Simultaneous YB on WLAN and BT,YB/Lost,,,1,no_digits
123,bt,Enabling the s-mono function causes noise during playback,YB/Lost,,,1,no_digits
1840,bt,Device disappear due to exception_BC_EXC_LP_RUN_ERROR,YB/Lost,,,4,few_words<=5;generic:error;no_digits
3337,bt,BT driver show YB a after removing BT paired devices at BT setting UI,YB/Lost,,,1,no_digits
922,bt,BT device lost and unknow USB device show yellow bang(code 43) after resuming from MS,YB/Lost,,,0,
3594,wifi,[Dell][RPLS][CSLP][Widowmaker MLK][WW18]observed Driver log errors pointing Wi-Fi Driver during S4 and S5 cycling [fw assert0x315],YB/Lost,,,2,generic:error
746,wifi,USB headset is not recognized in Windows 11 23H2 & 24H2 during Teams meeting with/without YB in device manager,YB/Lost,,,0,
1145,bt,ENG build found BT YB after WB,YB/Lost,,,1,no_digits
4061,wifi,There is Event ID 5002 - assert 0x28bf - in log after running WiFi Connection Reliability test.,YB/Lost,,,0,
1400,wifi,WLAN YB appeared upon startup after shutting down and leaving it for 1 hour in the chamber(0 degrees Celsius).(F/R: 1/24 units),YB/Lost,,,0,
628,wifi,Install v23.160 WLAN device YB,YB/Lost,,,1,few_words<=5
2117,wifi,Theres no corresponding assert log folder generated but system event log show 5002/5005 during stress Cold Boot Test,YB/Lost,,,0,
3435,bt,BT enumerators and RFCOMM Protocol TDI disappears after hybridshutdown,YB/Lost,,,1,no_digits
126,bt,Bluetooth Yellow Bang (error 43) after reboot; fatal BT controller exception and PLDR failure on Panther Lake (AX211) - CNVI_AUX_A2A_EXCEPTION_IRQ,YB/Lost,,,2,generic:failure
56,bt,Intel BE201 BT device lost and USB YB(code 43) in device manager,YB/Lost,,,0,
419,bt,The BT driver shows as YB in DM when the system is idle.,YB/Lost,,,1,no_digits
3656,wifi,Reset/Recovery instances due to different asserts 0x3030 during Disconnected Standby/Hibernate test,YB/Lost,,,0,
1452,bt,UUT report error message during run Winpvt S4/Reboot test when use bluetooth connect Wireless USB+Bluetooth Keyboard/Mouse.,YB/Lost,,,2,generic:error
3934,wifi,WLAN card AX201 test CITU tool would have 0x31B Assert,YB/Lost,,,0,
2601,wifi,Connectivity failure. 0x8FE assert seen in corporate environment. Customer suspects roaming from 40MHz to 80MHz network,YB/Lost,,,2,generic:failure
1368,wifi,The system is connected to a Wireless Display TV and the video playback is stuck or Screen freezes,YB/Lost,,,1,no_digits
281,bt,Event log show WHEA warning BT will be YB after booting OS,YB/Lost,,,1,no_digits
1042,wifi,5010 Error,YB/Lost,,,8,very_short<=18c;few_words<=3;generic:error
326,wifi,Merino16W PV report WLAN YB code 10,YB/Lost,,,0,
2243,wifi,"The WIFI assert _0x3706 and 0x22d2 happening cause to network disconnected during wechat video callevent log show wifi ""5002"". Fail rate: 1/109 units",YB/Lost,,,2,generic:fail
3815,wifi,WLAN Device show YB in device manager.,YB/Lost,,,1,no_digits
346,bt,"Play music with BT Headset/Speaker no sound, and device show yellow bang.",YB/Lost,,,1,no_digits
971,wifi,"Frequent assert 0x4446 when host is sharing the 5G hotspot, 3/3Units, 3/3cycles in noisy environment",YB/Lost,,,0,
3577,wifi,"FATAL_ERROR: uCode ASSERT(UMAC, rtStatus = 0x20101058, log is valid. data1 = 0xb, data2 = 0x0)",YB/Lost,,,2,generic:error
3677,bt,BT lost w/o any PLDR during coldboot testing. (FR: 1/41 unit),YB/Lost,,,0,
3659,wifi,"9462(TA-J88400-007) WLAN YB(100%) on ICL/TGL platform, while no issue with 9462(TA-J88400-006)",YB/Lost,,,2,generic:issue
754,wifi,WLAN YB issueon MP build,YB/Lost,,,6,short<=28c;few_words<=5;generic:issue;no_digits
2517,wifi,Reset/Recovery seen during disconnected standby due to ASSERT_21000DAD,YB/Lost,,,0,
586,wifi,"After install Wi-Fi driver 24.0.0.1 on PTLEVA3, YB occurs",YB/Lost,,,0,
2185,wifi,5010 Netwaw16 WiFi errors observed during GT(eDP) random mountain test -- 0x2ca5,YB/Lost,,,2,generic:error
3508,wifi,WiFi YB,YB/Lost,,,7,very_short<=18c;few_words<=3;no_digits
1773,bt,"BT audio playback failed ""Format Not Supported""",YB/Lost,,,3,generic:fail;no_digits
3351,bt,Intel 9560 Wireless Bluetooth will show Yellow Bang during S3 stress test,YB/Lost,,,0,
934,wifi,"WIFI show YB(Assert_0x20104009/20100505) when run CB.(F/R 1/1 UUTs, 5/200Cycles)",YB/Lost,,,0,
2519,wifi,Reset/Recovery seen during disconnected standby due to Assert_0000DEAD -- 0x132E,YB/Lost,,,0,
2515,wifi,Reset/Recovery seen during disconnected standby due to ASSERT_00002B87 on Multiple routers,YB/Lost,,,0,
3488,bt,BT Device missing - NO_SUCH_DEVICE,YB/Lost,,,2,few_words<=5;no_digits
753,wifi,DRTU 2.4GHz testing 100% on 4/11 DUT not work with 23.165 assert 0x2010121E,YB/Lost,,,0,
2827,wifi,AX211 WLAN device show YB,YB/Lost,,,3,short<=28c;few_words<=5
531,wifi,Event ID: 5010 appeared in Event Viewer after install driver.,YB/Lost,,,0,
709,bt,BT shows YB with code 31 due to WiFi Assert 0x2010121e,YB/Lost,,,0,
365,bt,Win11(25H2)_Hybrid Stress_S4_Device_YB_Intel(R) Dual Bluetooth(R) PCI Enumerator.,YB/Lost,,,0,
165,tools,"DRTU show pop-up ""Visual C++ Runtime library assertion failed""",YB/Lost,,,3,generic:fail;no_digits
2146,wifi,WLAN show YB on DeviceManager and event log show error by run S4 stress,YB/Lost,,,2,generic:error
516,wifi,"Stress-MS,System show Bluetooth related device lost and Intel(R) Dual Bluetooth(R) PCI Enumerator yellow bang in device manager.(F/R: 1/20u,1/2500c)",YB/Lost,,,0,
2110,wifi,Recoverable assert 0x20003207 occurred during Miracast Test,YB/Lost,,,0,
3696,bt,Bluetooth Keyboard pairing failure,YB/Lost,,,4,few_words<=5;generic:failure;no_digits
1206,bt,The BSOD (0x1e)cured whenBios flashing process,BSOD,,,0,
4077,wifi,CITU test Command XVT_CMD_STEP_MARGIN_TEST_CONFIG_V6 failed with status 31_ Umac Error 0x20100502,BSOD,,,2,generic:fail
3844,wifi,"During PVT testing , one unit meet BSOD 9F 0x9F_4_vwifimp_Netwtw10_IMAGE_vwifibus.sys",BSOD,,,0,
2245,wifi,BE201 BSOD 0x9F during S4 test,BSOD,,,0,
322,wifi,"0x28af/0x32d occurred when doing ""MS<-->Resume"" stress test",BSOD,,,0,
4052,wifi,Warmboot showed BSOD 0x9f point to WiFi when doing miracast,BSOD,,,0,
583,wifi,"Batterylife_Battery Leackage_Unit show blue screen(Stop code: DRICER_POWER_START. (F/R: 1/3units,1/3cycles)",BSOD,,,0,
511,bt,"The units show BSOD(stop code:DRIVER_POWER_STATE_FALURE, bug check ID:0x9f) after restart.(F/R:1/2units, 1/6cycles).",BSOD,,,2,generic:bug
2777,wifi,WD NMI (0x34) - interrupts were not called for 200 ms,BSOD,,,0,
2506,wifi,WB with SYSTEM_THREAD_EXCEPTION_NOT_HANDLED,BSOD,,,4,few_words<=3;no_digits
320,wifi,"0x28af/0x10028af and AP disconnect when ""MS<--->Resume"" stress test",BSOD,,,0,
4068,wifi,"System crashed in CS/AH. The BugCheckCode is ""7E""",BSOD,,,2,generic:crash
1838,bt,ABS - 0x139_a_GUARD_ICALL_CHECK_FAILURE_ibtpci!WlanInterfaceDereference While Device Not in Use,BSOD,,,2,generic:failure
3903,wifi,BSoD point to vwifibus.sys druing S4 stress test,BSOD,,,0,
926,wifi,BSOD point to 0x9F_3_IMAGE_Netwtw14.sys (from MSFT never crash),BSOD,,,2,generic:crash
1056,wifi,"BSOD(0x9F_4_PCI_Netwtw14_IMAGE_pci.sys) come from MSFT ""Never Crash""",BSOD,,,2,generic:crash
3363,bt,System found the BSOD 0x7F when run the HLK : System - PNP (disable and enable) with IO Before and After (Reliability) test failed due to unexpected reboot.(FR: 2/3),BSOD,,,2,generic:fail
3394,bt,Device not started (BTHUSB) error with 0xC00000B5 (STATUS_IO_TIMEOUT),BSOD,,,2,generic:error
1419,bt,"Stress_FB_BSOD(0X9F) occurred that point to Intel Bluetooth driver (F/R: 1/42units, 1/12400cycles)",BSOD,,,0,
930,wifi,0x9F WLAN BSOD,BSOD,,,6,very_short<=18c;few_words<=3
3936,wifi,System WHQL- System - PNP (disable and enable) with IO Before and After (Reliability) fail due to BSOD,BSOD,,,3,generic:fail;no_digits
1438,wifi,Blue screen error,BSOD,,,9,very_short<=18c;few_words<=3;generic:error;no_digits
3649,wifi,BSOD 0x7e occurred during running MS.,BSOD,,,0,
2649,wifi,BSOD (0xD1),BSOD,,,6,very_short<=18c;few_words<=3
2731,wifi,Never Crash issue: blocked IRP point to Netwtw10,BSOD,,,2,generic:crash
2745,wifi,BSOD occurred when running restart Test+AP/LAN+ACDC,BSOD,,,1,no_digits
1428,wifi,S4 loop test BSOD 0x9Fdump file related to wifi,BSOD,,,0,
2748,wifi,Netwtw10!dclReadFwMemApi+0x87 when run MS stress(DPPM: 100),BSOD,,,0,
