"ips_title","predicted_category","technology","human_category","source_folder","source_file","title_key"
"Restricted mode long reconnection time after resume from sleep","Power Consumption","wifi","Connectivity","CFE_input","weekly_labels_20260523_143606.csv","restricted mode long reconnection time after resume from sleep"
"Restricted mode long reconnection time after resume from sleep","Power Consumption","wifi","Connectivity","CFE_input","weekly_labels_20260523_143606.csv","restricted mode long reconnection time after resume from sleep"
"TyP2 6GHz output power 2-5dBm drop on conductive test (3/19 and 4/16)","Power Consumption","wifi","Performance","CFE_input","weekly_labels_20260523_143606.csv","typ2 6ghz output power 2-5dbm drop on conductive test (3/19 and 4/16)"
"Restricted mode long reconnection time after resume from sleep","Power Consumption","wifi","Connectivity","CFE_input","weekly_labels_20260523_143640.csv","restricted mode long reconnection time after resume from sleep"
"TyP2 6GHz output power 2-5dBm drop on conductive test (3/19 and 4/16)","Power Consumption","wifi","Power Consumption","CFE_input","weekly_labels_20260523_143640.csv","typ2 6ghz output power 2-5dbm drop on conductive test (3/19 and 4/16)"
"Restricted mode long reconnection time after resume from sleep","Power Consumption","wifi","Connectivity","CFE_input","weekly_labels_20260523_143640.csv","restricted mode long reconnection time after resume from sleep"
"Restricted mode long reconnection time after resume from sleep","Power Consumption","wifi","Connectivity","CFE_input","weekly_labels_20260523_143640.csv","restricted mode long reconnection time after resume from sleep"
"Restricted mode long reconnection time after resume from sleep","Power Consumption","wifi","Connectivity","CFE_input","weekly_labels_20260523_143640.csv","restricted mode long reconnection time after resume from sleep"
"TyP2 6GHz output power 2-5dBm drop on conductive test (3/19 and 4/16)","Power Consumption","wifi","Performance","CFE_input","weekly_labels_20260523_143640.csv","typ2 6ghz output power 2-5dbm drop on conductive test (3/19 and 4/16)"
"Restricted mode long reconnection time after resume from sleep","Power Consumption","wifi","Connectivity","CFE_input","weekly_labels_20260523_145957.csv","restricted mode long reconnection time after resume from sleep"
"TyP2 6GHz output power 2-5dBm drop on conductive test (3/19 and 4/16)","Power Consumption","wifi","Power Consumption","CFE_input","weekly_labels_20260523_145957.csv","typ2 6ghz output power 2-5dbm drop on conductive test (3/19 and 4/16)"
"Restricted mode long reconnection time after resume from sleep","Power Consumption","wifi","Connectivity","CFE_input","weekly_labels_20260523_145957.csv","restricted mode long reconnection time after resume from sleep"
"Restricted mode long reconnection time after resume from sleep","Power Consumption","wifi","Connectivity","CFE_input","weekly_labels_20260523_145957.csv","restricted mode long reconnection time after resume from sleep"
"Restricted mode long reconnection time after resume from sleep","Power Consumption","wifi","Connectivity","CFE_input","weekly_labels_20260523_145957.csv","restricted mode long reconnection time after resume from sleep"
"TyP2 6GHz output power 2-5dBm drop on conductive test (3/19 and 4/16)","Power Consumption","wifi","Performance","CFE_input","weekly_labels_20260523_145957.csv","typ2 6ghz output power 2-5dbm drop on conductive test (3/19 and 4/16)"
"Restricted mode long reconnection time after resume from sleep","Power Consumption","wifi","Connectivity","CFE_input","weekly_labels_20260523_150056.csv","restricted mode long reconnection time after resume from sleep"
"TyP2 6GHz output power 2-5dBm drop on conductive test (3/19 and 4/16)","Power Consumption","wifi","Power Consumption","CFE_input","weekly_labels_20260523_150056.csv","typ2 6ghz output power 2-5dbm drop on conductive test (3/19 and 4/16)"
"Restricted mode long reconnection time after resume from sleep","Power Consumption","wifi","Connectivity","CFE_input","weekly_labels_20260523_150056.csv","restricted mode long reconnection time after resume from sleep"
"Restricted mode long reconnection time after resume from sleep","Power Consumption","wifi","Connectivity","CFE_input","weekly_labels_20260523_150056.csv","restricted mode long reconnection time after resume from sleep"
"Restricted mode long reconnection time after resume from sleep","Power Consumption","wifi","Connectivity","CFE_input","weekly_labels_20260523_150056.csv","restricted mode long reconnection time after resume from sleep"
"TyP2 6GHz output power 2-5dBm drop on conductive test (3/19 and 4/16)","Power Consumption","wifi","Performance","CFE_input","weekly_labels_20260523_150056.csv","typ2 6ghz output power 2-5dbm drop on conductive test (3/19 and 4/16)"
"Restricted mode long reconnection time after resume from sleep","Power Consumption","wifi","Connectivity","CFE_input","weekly_labels_20260525_100744.csv","restricted mode long reconnection time after resume from sleep"
"TyP2 6GHz output power 2-5dBm drop on conductive test (3/19 and 4/16)","Power Consumption","wifi","Power Consumption","CFE_input","weekly_labels_20260525_100744.csv","typ2 6ghz output power 2-5dbm drop on conductive test (3/19 and 4/16)"
"Restricted mode long reconnection time after resume from sleep","Power Consumption","wifi","Connectivity","CFE_input","weekly_labels_20260525_100744.csv","restricted mode long reconnection time after resume from sleep"
"Restricted mode long reconnection time after resume from sleep","Power Consumption","wifi","Connectivity","CFE_input","weekly_labels_20260525_100744.csv","restricted mode long reconnection time after resume from sleep"
"Restricted mode long reconnection time after resume from sleep","Power Consumption","wifi","Connectivity","CFE_input","weekly_labels_20260525_100744.csv","restricted mode long reconnection time after resume from sleep"
"TyP2 6GHz output power 2-5dBm drop on conductive test (3/19 and 4/16)","Power Consumption","wifi","Performance","CFE_input","weekly_labels_20260525_100744.csv","typ2 6ghz output power 2-5dbm drop on conductive test (3/19 and 4/16)"
"Restricted mode long reconnection time after resume from sleep","Power Consumption","wifi","Connectivity","CFE_input","wifi_tools_piece_01_of_07_Timdaway.csv","restricted mode long reconnection time after resume from sleep"
"When using the iper3 tool to run RX and TX while connecting to a 2.4G WiFi and Bluetooth device, the Bluetooth speaker experiences stuttering issues.","Connectivity","bt","Performance","CFE_reviewed_issue","bt_software_piece_02_of_07_Juan.csv","when using the iper3 tool to run rx and tx while connecting to a 2.4g wifi and bluetooth device, the bluetooth speaker experiences stuttering issues."
"When using the iper3 tool to run RX and TX while connecting to a 2.4G WiFi and Bluetooth device, the Bluetooth speaker experiences stuttering issues.","Connectivity","bt","Connectivity","CFE_reviewed_issue","bt_software_piece_04_of_07_Wesley.csv","when using the iper3 tool to run rx and tx while connecting to a 2.4g wifi and bluetooth device, the bluetooth speaker experiences stuttering issues."
"2.4G DRTU Target power difference at the same SKU","Power Consumption","wifi","OEM Tools","CFE_reviewed_issue","wifi_tools_piece_02_of_07_Frankyang (2).csv","2.4g drtu target power difference at the same sku"
"TyP2 6GHz output power 2-5dBm drop on conductive test (3/19 and 4/16)","Power Consumption","wifi","RF","CFE_reviewed_issue","wifi_tools_piece_03_of_07_FrankLee.csv","typ2 6ghz output power 2-5dbm drop on conductive test (3/19 and 4/16)"
