"ips_title","predicted_category","technology","human_category","source_folder","source_file"
"[WIKO][Longcheer][MarseilleJ][Win11][Intel-PTL][AX211][BT]BR bluetooth mouse will be deleted automatically after upgrade to 24.40.0.3 bluetooth driver.","Performance","BT","Connectivity","CFE_input","weekly_labels_20260425_154714.csv"
"[Microsoft][PTL/WHP/OOB 26581][PAS] Bluetooth crash and LE earbuds disconnect when enabling Audio Sharing (PAS) on Panther Lake","Connectivity","BT","Connectivity","CFE_input","weekly_labels_20260425_154714.csv"
"[ICPS5, NM] Network not selected as authorized, only after delay - Sometimes","Killer","Software","ICPS","CFE_input","weekly_labels_20260425_154714.csv"
"[HP/Cashmere/RVP][PTL/OOB 26581/WHP] Three BT headsets BT PAS enable successful with issue symptom (3rd classic sometime show disconnected state)","Connectivity","BT","Connectivity","CFE_input","weekly_labels_20260425_154714.csv"
"[Honor][LUX][NvwaC][ARL-HX][AX211][WiFi]Is it possible to create a 5GHz SoftAP on the 2.4GHz and DFS channels in Belarus","Not WiFi Issue","WiFi","P2P","CFE_input","weekly_labels_20260425_154714.csv"
"ICS crashes 2 minutes after restart","ICPS","Software","ICPS","CFE_input","weekly_labels_20260425_154714.csv"
"[Windows] iHS Onboarding with IOS device fails on the last step","ICPS","Software","ICPS","CFE_input","weekly_labels_20260425_154714.csv"
"[Samsung][ADL][AX211] PC didnt start connect after PD request/response.","Performance","WiFi","P2P","CFE_input","weekly_labels_20260425_154714.csv"
"[PSIRT] [Connectivity Performance Suite] [ICPS][CWE-426 on Get-ScheduledTask.ps1 may impact CIA","ICPS","Software","ICPS","CFE_input","weekly_labels_20260425_154714.csv"
"[MADIGI][BV55B-ML03][MTL-H][DVT]Microphone of BT headphone can not be detected after connection.(FR: 9/9 cycles; 3/3 units)","Connectivity","BT","Connectivity","CFE_input","weekly_labels_20260425_154714.csv"
"[LG][HQ][14U40V][WCL]The units volume is no sound when turn up the volume by the Bluetooth speaker. (FR:1/2 units,3/20 cycles)","Connectivity","BT","Connectivity","CFE_input","weekly_labels_20260425_154714.csv"
"[Honor][Huaqin][LvzhouD][WCL][Intel AX211][WiFi][25H2]Bluetooth device disconnection With a high probability","YB/Lost","BT","Connectivity","CFE_input","weekly_labels_20260425_154714.csv"
"[Windows] Smart Connect Incorrect Network List Addressing","Killer","Software","Killer","CFE_input","weekly_labels_20260425_154714.csv"
"[Dell][Luxshare][Roma][WCL][Win11] [DVT] SUT occur BSOD(0x133) during Warm Boot stress(FR:636 DPPM).(Fail rate:2 out of 14units2 out of 3143 cycles)","BSOD","BT","BSOD","CFE_input","weekly_labels_20260425_154714.csv"
"[HP][IEC][Bobcats][MTL][Intel Wi-Fi 7 BE200] Randomly unable to connect to EAP-TLS network with 11r enabled/Wi-Fi signals keep fluctuating on the laptop resulting in slow connection and packet drops","Sensing","WiFi","Roaming","CFE_input","weekly_labels_20260425_154714.csv"
"[Honor][Huaqin][LvzhouD][WCL][Intel AX211][WiFi][25H2]HLK USB Inter Device idle Test-Compat item fail","HLK","BT","HLK","CFE_input","weekly_labels_20260425_154714.csv"
"[Lenovo][Wistron][PTL-H][BE211][Curie3] BT headphone cant hear ""Lenovo Vantage"" notification sound","Connectivity","BT","Connectivity","CFE_input","weekly_labels_20260425_154714.csv"
"[Lenovo Thinkbook/Consumer][Wistron][WCL][AX211][IdeaPad Slim 5 13IWC11]The AX211 network card uses Bluetooth to record audio with current and noise.(10/10 unit,50/50 cycle)","Connectivity","BT","Connectivity","CFE_input","weekly_labels_20260425_154714.csv"
"[Lenovo][Huaqin][PTL-H][BE213][S511_14_16]The Wi-Fi/BT icon disappears for about	one second after clicking the Wi-Fi icon at the bottom right corner of the	switch.(FR:1/3uuts,2/30cycles)","Sensing","WiFi","Performance","CFE_input","weekly_labels_20260425_154714.csv"
"[Dell][ICPS5.0] ICPS driver files are left in C:\Windows\System32\DriverStore\FileRepository after using installer to uninstall ICPS","ICPS","Software","ICPS","CFE_input","weekly_labels_20260425_154714.csv"
"[PSIRT] [Connectivity Performance Suite] Potential Use After Free may impact availability","ICPS","Software","ICPS","CFE_input","weekly_labels_20260425_154714.csv"
"[Honor][LUX][NvwaC][ARL-HX][AX211][BT] The BSOD 0x133 releated to BthHFEnum","BSOD","BT","BSOD","CFE_input","weekly_labels_20260425_154714.csv"
"[NEC][LCFC][WCL][Yukimura-WCL VP][25H2][SIT][BE211]The BT driver shows Dual BT in the Device Manager details, and the language used for the Device Manager name is different. FR: 1/1unit","Not WiFi Issue","BT","Connectivity","CFE_input","weekly_labels_20260425_154714.csv"
"[Dell][Roma][PTL][25H2]Conection status show ""Connected"" after disconnect the BT headset  (F/R:100%","Connectivity","BT","Connectivity","CFE_input","weekly_labels_20260425_154714.csv"
"[PSIRT] [Killer]CWE-427 on cmd.exe may impact CIA","Killer","Software","Killer","CFE_input","weekly_labels_20260425_154714.csv"
"LNL Ultra 7 258V with BE201 WLAN device miss","YB/Lost","WiFi","YB/Lost","CFE_input","weekly_labels_20260425_154714.csv"
"[lenovo/DT BU][In-house][ARL][BE200][P3 tiny  Gen2  ]  ANT Tool ParaguayVietnamTunisiaIndonesia6G","BIOS","WiFi","OEM Tools","CFE_input","weekly_labels_20260425_154714.csv"
"[LG][HQ][14U40V][WCL]The units mobile hotspot does not have a Security type option on the Edit Network Info screen.(FR: 2/2 units, 4/4 times)","Connectivity","WiFi","Connectivity","CFE_input","weekly_labels_20260425_154714.csv"
"[Windows] Disable feature in Smart Connect Configurations Doesnt work","Killer","Software","Killer","CFE_input","weekly_labels_20260425_154714.csv"
"[Samsung][MTL][AX211] Can not find 6Ghz Mobile Hotspot.","Connectivity","WiFi","Connectivity","CFE_input","weekly_labels_20260425_162335.csv"
"[DELL][Compal]NVL WS incorrect display and typo in WRT BIOS Tool","BIOS","Tools","BIOS","CFE_input","weekly_labels_20260425_162335.csv"
"[HP/Cashmere/RVP][PTL/OOB 26581/WHP] Three BT headsets BT PAS enable successful with issue symptom (3rd classic sometime show disconnected state)","Connectivity","BT","Connectivity","CFE_input","weekly_labels_20260425_162335.csv"
"All available networks are displayed under ""My Networks""","Killer","Software","Killer","CFE_input","weekly_labels_20260425_162335.csv"
"[ICPS5, NM] Network not selected as authorized, only after delay - Sometimes","Killer","Software","ICPS","CFE_input","weekly_labels_20260425_162335.csv"
"[Dell-Roma PTL][WhP2] Athena BT audiooffload test","Connectivity","BT","Connectivity","CFE_input","weekly_labels_20260425_162335.csv"
"[MADIGI][BV55B-ML03][MTL-H][DVT]BT headphone take about 25 seconds to output audio after connection. (FR: 9/9 cycles; 3/3 units)","Connectivity","BT","Connectivity","CFE_input","weekly_labels_20260425_162335.csv"
"[Microsoft][PTL/WHP/OOB 26581][PAS] Bluetooth crash and LE earbuds disconnect when enabling Audio Sharing (PAS) on Panther Lake","Connectivity","BT","Connectivity","CFE_input","weekly_labels_20260425_162335.csv"
"[Honor][LUX][NvwaC][ARL-HX][AX211][WiFi]Is it possible to create a 5GHz SoftAP on the 2.4GHz and DFS channels in Belarus","Not WiFi Issue","WiFi","P2P","CFE_input","weekly_labels_20260425_162335.csv"
"ICS crashes 2 minutes after restart","ICPS","Software","ICPS","CFE_input","weekly_labels_20260425_162335.csv"
"[Windows] iHS Onboarding with IOS device fails on the last step","ICPS","Software","ICPS","CFE_input","weekly_labels_20260425_162335.csv"
"[Samsung][ADL][AX211] PC didnt start connect after PD request/response.","Performance","WiFi","P2P","CFE_input","weekly_labels_20260425_162335.csv"
"[PSIRT] [Connectivity Performance Suite] [ICPS][CWE-426 on Get-ScheduledTask.ps1 may impact CIA","ICPS","Software","ICPS","CFE_input","weekly_labels_20260425_162335.csv"
"[MADIGI][BV55B-ML03][MTL-H][DVT]Microphone of BT headphone can not be detected after connection.(FR: 9/9 cycles; 3/3 units)","Connectivity","BT","Connectivity","CFE_input","weekly_labels_20260425_162335.csv"
"[LG][HQ][14U40V][WCL]The units volume is no sound when turn up the volume by the Bluetooth speaker. (FR:1/2 units,3/20 cycles)","Connectivity","BT","Connectivity","CFE_input","weekly_labels_20260425_162335.csv"
"[Honor][Huaqin][LvzhouD][WCL][Intel AX211][WiFi][25H2]Bluetooth device disconnection With a high probability","YB/Lost","BT","Connectivity","CFE_input","weekly_labels_20260425_162335.csv"
"[WIKO][Longcheer][MarseilleJ][Win11][Intel-PTL][AX211][BT]BR bluetooth mouse will be deleted automatically after upgrade to 24.40.0.3 bluetooth driver.","Performance","BT","Connectivity","CFE_input","weekly_labels_20260425_162335.csv"
"[Windows] Smart Connect Incorrect Network List Addressing","Killer","Software","Killer","CFE_input","weekly_labels_20260425_162335.csv"
"[Dell][Luxshare][Roma][WCL][Win11] [DVT] SUT occur BSOD(0x133) during Warm Boot stress(FR:636 DPPM).(Fail rate:2 out of 14units2 out of 3143 cycles)","BSOD","BT","BSOD","CFE_input","weekly_labels_20260425_162335.csv"
"[HP][IEC][Bobcats][MTL][Intel Wi-Fi 7 BE200] Randomly unable to connect to EAP-TLS network with 11r enabled/Wi-Fi signals keep fluctuating on the laptop resulting in slow connection and packet drops","Sensing","WiFi","Roaming","CFE_input","weekly_labels_20260425_162335.csv"
"[Honor][Huaqin][LvzhouD][WCL][Intel AX211][WiFi][25H2]HLK USB Inter Device idle Test-Compat item fail","HLK","BT","HLK","CFE_input","weekly_labels_20260425_162335.csv"
"[Lenovo][Wistron][PTL-H][BE211][Curie3] BT headphone cant hear ""Lenovo Vantage"" notification sound","Connectivity","BT","Connectivity","CFE_input","weekly_labels_20260425_162335.csv"
"[Lenovo Thinkbook/Consumer][Wistron][WCL][AX211][IdeaPad Slim 5 13IWC11]The AX211 network card uses Bluetooth to record audio with current and noise.(10/10 unit,50/50 cycle)","Connectivity","BT","Connectivity","CFE_input","weekly_labels_20260425_162335.csv"
"[Lenovo][Huaqin][PTL-H][BE213][S511_14_16]The Wi-Fi/BT icon disappears for about	one second after clicking the Wi-Fi icon at the bottom right corner of the	switch.(FR:1/3uuts,2/30cycles)","Sensing","WiFi","Performance","CFE_input","weekly_labels_20260425_162335.csv"
"[Dell][ICPS5.0] ICPS driver files are left in C:\Windows\System32\DriverStore\FileRepository after using installer to uninstall ICPS","ICPS","Software","ICPS","CFE_input","weekly_labels_20260425_162335.csv"
"[Honor][LUX][NvwaC][ARL-HX][AX211][BT] The BSOD 0x133 releated to BthHFEnum","BSOD","BT","BSOD","CFE_input","weekly_labels_20260425_162335.csv"
"[NEC][LCFC][WCL][Yukimura-WCL VP][25H2][SIT][BE211]The BT driver shows Dual BT in the Device Manager details, and the language used for the Device Manager name is different. FR: 1/1unit","Not WiFi Issue","BT","Connectivity","CFE_input","weekly_labels_20260425_162335.csv"
"[Dell][Roma][PTL][25H2]Conection status show ""Connected"" after disconnect the BT headset  (F/R:100%","Connectivity","BT","Connectivity","CFE_input","weekly_labels_20260425_162335.csv"
"[PSIRT] [Killer]CWE-427 on cmd.exe may impact CIA","Killer","Software","Killer","CFE_input","weekly_labels_20260425_162335.csv"
"LNL Ultra 7 258V with BE201 WLAN device miss","YB/Lost","WiFi","YB/Lost","CFE_input","weekly_labels_20260425_162335.csv"
"[PSIRT] [Connectivity Performance Suite] Potential Use After Free may impact availability","ICPS","Software","ICPS","CFE_input","weekly_labels_20260425_162335.csv"
"[LG][HQ][14U40V][WCL]The units mobile hotspot does not have a Security type option on the Edit Network Info screen.(FR: 2/2 units, 4/4 times)","Connectivity","WiFi","Connectivity","CFE_input","weekly_labels_20260425_162335.csv"
"[Windows] Disable feature in Smart Connect Configurations Doesnt work","Killer","Software","Killer","CFE_input","weekly_labels_20260425_162335.csv"
"[Samsung][MTL][AX211] Can not find 6Ghz Mobile Hotspot.","Connectivity","WiFi","Connectivity","CFE_input","weekly_labels_20260425_165309.csv"
"[DELL][Compal]NVL WS incorrect display and typo in WRT BIOS Tool","BIOS","Tools","BIOS","CFE_input","weekly_labels_20260425_165309.csv"
"[HP/Cashmere/RVP][PTL/OOB 26581/WHP] Three BT headsets BT PAS enable successful with issue symptom (3rd classic sometime show disconnected state)","Connectivity","BT","Connectivity","CFE_input","weekly_labels_20260425_165309.csv"
"All available networks are displayed under ""My Networks""","Killer","Software","Killer","CFE_input","weekly_labels_20260425_165309.csv"
"[ICPS5, NM] Network not selected as authorized, only after delay - Sometimes","Killer","Software","ICPS","CFE_input","weekly_labels_20260425_165309.csv"
"[Dell-Roma PTL][WhP2] Athena BT audiooffload test","Connectivity","BT","Connectivity","CFE_input","weekly_labels_20260425_165309.csv"
"[MADIGI][BV55B-ML03][MTL-H][DVT]BT headphone take about 25 seconds to output audio after connection. (FR: 9/9 cycles; 3/3 units)","Connectivity","BT","Connectivity","CFE_input","weekly_labels_20260425_165309.csv"
"[Microsoft][PTL/WHP/OOB 26581][PAS] Bluetooth crash and LE earbuds disconnect when enabling Audio Sharing (PAS) on Panther Lake","Connectivity","BT","Connectivity","CFE_input","weekly_labels_20260425_165309.csv"
"[Honor][LUX][NvwaC][ARL-HX][AX211][WiFi]Is it possible to create a 5GHz SoftAP on the 2.4GHz and DFS channels in Belarus","Not WiFi Issue","WiFi","P2P","CFE_input","weekly_labels_20260425_165309.csv"
"ICS crashes 2 minutes after restart","ICPS","Software","ICPS","CFE_input","weekly_labels_20260425_165309.csv"
"[Windows] iHS Onboarding with IOS device fails on the last step","ICPS","Software","ICPS","CFE_input","weekly_labels_20260425_165309.csv"
"[Samsung][ADL][AX211] PC didnt start connect after PD request/response.","Performance","WiFi","P2P","CFE_input","weekly_labels_20260425_165309.csv"
"[PSIRT] [Connectivity Performance Suite] [ICPS][CWE-426 on Get-ScheduledTask.ps1 may impact CIA","ICPS","Software","ICPS","CFE_input","weekly_labels_20260425_165309.csv"
"[MADIGI][BV55B-ML03][MTL-H][DVT]Microphone of BT headphone can not be detected after connection.(FR: 9/9 cycles; 3/3 units)","Connectivity","BT","Connectivity","CFE_input","weekly_labels_20260425_165309.csv"
"[LG][HQ][14U40V][WCL]The units volume is no sound when turn up the volume by the Bluetooth speaker. (FR:1/2 units,3/20 cycles)","Connectivity","BT","Connectivity","CFE_input","weekly_labels_20260425_165309.csv"
"[Honor][Huaqin][LvzhouD][WCL][Intel AX211][WiFi][25H2]Bluetooth device disconnection With a high probability","YB/Lost","BT","Connectivity","CFE_input","weekly_labels_20260425_165309.csv"
"[WIKO][Longcheer][MarseilleJ][Win11][Intel-PTL][AX211][BT]BR bluetooth mouse will be deleted automatically after upgrade to 24.40.0.3 bluetooth driver.","Performance","BT","Connectivity","CFE_input","weekly_labels_20260425_165309.csv"
"[Windows] Smart Connect Incorrect Network List Addressing","Killer","Software","Killer","CFE_input","weekly_labels_20260425_165309.csv"
"[Dell][Luxshare][Roma][WCL][Win11] [DVT] SUT occur BSOD(0x133) during Warm Boot stress(FR:636 DPPM).(Fail rate:2 out of 14units2 out of 3143 cycles)","BSOD","BT","BSOD","CFE_input","weekly_labels_20260425_165309.csv"
"[HP][IEC][Bobcats][MTL][Intel Wi-Fi 7 BE200] Randomly unable to connect to EAP-TLS network with 11r enabled/Wi-Fi signals keep fluctuating on the laptop resulting in slow connection and packet drops","Sensing","WiFi","Roaming","CFE_input","weekly_labels_20260425_165309.csv"
"[Honor][Huaqin][LvzhouD][WCL][Intel AX211][WiFi][25H2]HLK USB Inter Device idle Test-Compat item fail","HLK","BT","HLK","CFE_input","weekly_labels_20260425_165309.csv"
"[Lenovo][Wistron][PTL-H][BE211][Curie3] BT headphone cant hear ""Lenovo Vantage"" notification sound","Connectivity","BT","Connectivity","CFE_input","weekly_labels_20260425_165309.csv"
"[Lenovo Thinkbook/Consumer][Wistron][WCL][AX211][IdeaPad Slim 5 13IWC11]The AX211 network card uses Bluetooth to record audio with current and noise.(10/10 unit,50/50 cycle)","Connectivity","BT","Connectivity","CFE_input","weekly_labels_20260425_165309.csv"
"[Lenovo][Huaqin][PTL-H][BE213][S511_14_16]The Wi-Fi/BT icon disappears for about	one second after clicking the Wi-Fi icon at the bottom right corner of the	switch.(FR:1/3uuts,2/30cycles)","Sensing","WiFi","Performance","CFE_input","weekly_labels_20260425_165309.csv"
"[Dell][ICPS5.0] ICPS driver files are left in C:\Windows\System32\DriverStore\FileRepository after using installer to uninstall ICPS","ICPS","Software","ICPS","CFE_input","weekly_labels_20260425_165309.csv"
"[Honor][LUX][NvwaC][ARL-HX][AX211][BT] The BSOD 0x133 releated to BthHFEnum","BSOD","BT","BSOD","CFE_input","weekly_labels_20260425_165309.csv"
"[NEC][LCFC][WCL][Yukimura-WCL VP][25H2][SIT][BE211]The BT driver shows Dual BT in the Device Manager details, and the language used for the Device Manager name is different. FR: 1/1unit","Not WiFi Issue","BT","Connectivity","CFE_input","weekly_labels_20260425_165309.csv"
"[Dell][Roma][PTL][25H2]Conection status show ""Connected"" after disconnect the BT headset  (F/R:100%","Connectivity","BT","Connectivity","CFE_input","weekly_labels_20260425_165309.csv"
"[PSIRT] [Killer]CWE-427 on cmd.exe may impact CIA","Killer","Software","Killer","CFE_input","weekly_labels_20260425_165309.csv"
"LNL Ultra 7 258V with BE201 WLAN device miss","YB/Lost","WiFi","YB/Lost","CFE_input","weekly_labels_20260425_165309.csv"
"[PSIRT] [Connectivity Performance Suite] Potential Use After Free may impact availability","ICPS","Software","ICPS","CFE_input","weekly_labels_20260425_165309.csv"
"[LG][HQ][14U40V][WCL]The units mobile hotspot does not have a Security type option on the Edit Network Info screen.(FR: 2/2 units, 4/4 times)","Connectivity","WiFi","Connectivity","CFE_input","weekly_labels_20260425_165309.csv"
"[Windows] Disable feature in Smart Connect Configurations Doesnt work","Killer","Software","Killer","CFE_input","weekly_labels_20260425_165309.csv"
"[Haier][Wingtech][G1][ADL-P][Ax210][21H2]With the PC connection to the WiFi for a long-time suspension test, the WLAN driver has a loss problem [3 / 3]","Connectivity","wifi","Connectivity","CFE_input","weekly_labels_20260501_170001.csv"
"[xiaomi][huaqin][N56SR/N57SR][PTL-H][AX211] BSOD 0xE6 during FCT test leaves AX211 Bluetooth in unrecoverable yellow bang state on Panther Lake","Connectivity","BT","BSOD","CFE_input","weekly_labels_20260501_170001.csv"
"[HP][Quanta]-[Trekker][LNL/ARL/RPL/PTL][Win11 25H2] ""Declarative Driver Check"" show fail after running Declarative Driver Check test with MSFTAuditHub_PS_1.00_A3","Connectivity","BT","HLK","CFE_input","weekly_labels_20260501_170001.csv"
"[xiaomi][huaqin][N56SR/N57SR][PTL-H][AX211] BSOD 0xE6","BSOD","BT","BSOD","CFE_input","weekly_labels_20260501_170001.csv"
"[DELL][Field] Wi-Fi issue : Connection failure with 802.11r on","Performance","WiFi","Connectivity","CFE_input","weekly_labels_20260501_170001.csv"
"[ICPS5, CMD] ICPS didnt switch to better network when auto switch enabled - Sometimes","ICPS","Software","ICPS","CFE_input","weekly_labels_20260501_170001.csv"
"[VAIO][Quanta][WCL][TRC][BE211] System BSOD 0xD1 when doing idle.(FAILURE_BUCKET_ID: AV_Netwaw18!unknown_function)","BSOD","WiFi","BSOD","CFE_input","weekly_labels_20260501_170001.csv"
"3LS - SIP129540 - EB 640 G11(Rex 14) & 630G11/ W11 22H2 / GC / SF / Intel wireless AX211 suffering from heavy packet loss intermittently/PC APJ/","P2P","WiFi","Connectivity","CFE_input","weekly_labels_20260501_170001.csv"
"NetworkService fails to start after inf install with new root location","ICPS","Software","ICPS","CFE_input","weekly_labels_20260501_170001.csv"
"System cant found 6Ghz mobile hotspot.","Power Consumption","wifi","Connectivity","CFE_input","weekly_labels_20260501_170001.csv"
"[Lenovo][ICPS5.0][BDBA] Vulnerabilities on .Net 4.6/6.1 with C23","ICPS","Software","ICPS","CFE_input","weekly_labels_20260501_170001.csv"
"[Samsung][GB6-16 PTL][GfP2] PC snatches the connection of Buds4 from Phone","Connectivity","BT","Connectivity","CFE_input","weekly_labels_20260501_170001.csv"
"[ASUS_CCBU][BE211][B9406CAA] Teams call will drop when wifi connecting.","Performance","WiFi","Connectivity","CFE_input","weekly_labels_20260501_170001.csv"
"Mobile hotspot cannot be opened when selecting 5GHz band","Connectivity","wifi","Connectivity","CFE_input","weekly_labels_20260501_170001.csv"
"[DELL][Field]Intel(R) Wi-Fi 7 BE200 is unable to connect WIFI-6E 6GHz networks in Windows 10/11 in Macao","P2P","WiFi","Connectivity","CFE_input","weekly_labels_20260501_170001.csv"
"[HP][Wistron][ 26C1_Chiharu_PTL][H12XE][WHP2[Win11 25H2 Build 26200.7462] Intel Dual Bluetooth PCI Enumerator Shows Yellow Bang (Code 10) with Event Error 5002  Netwaw18.sys","YB/Lost","WiFi","YB/Lost","CFE_input","weekly_labels_20260501_170001.csv"
