assignment,row_id,technology,ips_title,predicted_category,human_category,label_notes,risk_score,risk_reason
piece_04_of_07,785,tools,UEFI Wi-Fi no function.,UEFI,UEFI,,4,short<=28c;few_words<=5;no_digits
piece_04_of_07,322,wifi,"0x28af/0x32d occurred when doing ""MS<-->Resume"" stress test",BSOD,BSOD,,0,
piece_04_of_07,1067,wifi,WIFI 7 blocked SW Drips 0,Connectivity,Power Consumption,,2,short<=28c
piece_04_of_07,2079,tools,Use SKILL instead of XML for applying DRC,OEM Tools,Need-Triage,,1,no_digits
piece_04_of_07,1266,wifi,"BSOD:0x9F(0x9F_3_Netwaw16_IMAGE_pci.sys) happened resume from MS, FR: 1/10Units, 1/93cycles",BSOD,BSOD,,0,
piece_04_of_07,2560,wifi,MEI BSOD DRIVER_POWER_STATE_FAILURE (9f) cause by WiMan,BSOD,BSOD,,2,generic:failure
piece_04_of_07,96,wifi,TAS test failed,RF,UEFI,,9,very_short<=18c;few_words<=3;generic:fail;no_digits
piece_04_of_07,2169,wifi,Miracast channel does not align with BSS channel,Connectivity,P2P,,1,no_digits
piece_04_of_07,2841,wifi,unable to create GO on 5G bandwidth low frequency channels,Performance,P2P,,2,generic:unable
piece_04_of_07,3815,wifi,WLAN Device show YB in device manager.,YB/Lost,YB/Lost,,1,no_digits
piece_04_of_07,2385,tools,TAS function no trigger issue,RF,BIOS,,4,few_words<=5;generic:issue;no_digits
piece_04_of_07,613,wifi,"SUT cant search for 5.0GHz Wi-Fi after setting ""Wi-Fi Channel"" to 165 and then idling for about 2 minutes.",OEM Tools,Connectivity,,2,generic:cant
piece_04_of_07,316,wifi,P2P Pairing Failure,Connectivity,P2P,,7,short<=28c;few_words<=3;generic:failure
piece_04_of_07,1437,wifi,The wifi will disconnect when enter to MS,Connectivity,P2P,,1,no_digits
piece_04_of_07,2698,wifi,Miracast use CH165 which is not supported by the TV,Connectivity,P2P,,0,
piece_04_of_07,2458,tools,"Opening and ending tag mismatch on ""LPI"" in PowerTable output",Power Consumption,Connectivity,,1,no_digits
piece_04_of_07,2490,tools,Different version of tool on same device at the same time will cause connection failed,OEM Tools,OEM Tools,,3,generic:fail;no_digits
piece_04_of_07,3571,wifi,UEFI-Release-221522232 function Scan error.,UEFI,UEFI,,3,few_words<=5;generic:error
piece_04_of_07,1253,wifi,BSOD(Point to intelppm.sys) during installing BE200 driver.(F/R: 100%),BSOD,BSOD,,0,
