source_file,technology,ips_title,predicted_category_model,predicted_category_existing,human_category,confidence
weekly_labels_20260425_154714.csv,BT,[Honor][Huaqin][LvzhouD][WCL][Intel AX211][WiFi][25H2]Bluetooth device disconnection With a high probability,YB/Lost,YB/Lost,Connectivity,0.1932
weekly_labels_20260425_162335.csv,BT,[Honor][Huaqin][LvzhouD][WCL][Intel AX211][WiFi][25H2]Bluetooth device disconnection With a high probability,YB/Lost,YB/Lost,Connectivity,0.1932
weekly_labels_20260425_165309.csv,BT,[Honor][Huaqin][LvzhouD][WCL][Intel AX211][WiFi][25H2]Bluetooth device disconnection With a high probability,YB/Lost,YB/Lost,Connectivity,0.1932
bt_software_piece_04_of_07_Wesley.csv,bt,"call active, R power off, L no sound for 5~10 sec",Connectivity,Power Consumption,Connectivity,0.1942
bt_software_piece_04_of_07_Wesley.csv,bt,A2DP Offload feature is enabled in JfP on TGL and HrP on ADL when feature is not supported.,Connectivity,Connectivity,Connectivity,0.1942
bt_software_piece_01_of_07_Bingyue (2).csv,bt,"HLK-Bluetooth - HciExtension1 (Bring Up) fails with Reserved flags (0xffffffffffffff80) are set by the radio, they should be zeroed out.",BSOD,BSOD,HLK,0.1956
bt_software_piece_05_of_07_Leo.csv,bt,BT automatically disconnects when transferring 100M data file via BT with AX211 / Killer1675i card. FR: 8/10 cycle,Connectivity,Killer,Connectivity,0.1975
bt_software_piece_01_of_07_Bingyue (2).csv,bt,System exception on BT fw,Connectivity,Connectivity,YB/Lost,0.1982
wifi_tools_piece_04_of_07_KJ (2).csv,tools,WRT does not make logs on the korean machine names.,OEM Tools,Connectivity,OEM Tools,0.1992
wifi_tools_piece_01_of_07_Timdaway.csv,wifi,AX201 wifi driver 802.11g throughputissue,Performance,Connectivity,Performance,0.2009
wifi_tools_piece_06_of_07_Zhiqiang (2).csv,wifi,PC didnt receive packets from android several times so android device finally decided to disconnect from PC.,P2P,Connectivity,P2P,0.2022
bt_software_piece_02_of_07_Juan.csv,bt,"When using the iper3 tool to run RX and TX while connecting to a 2.4G WiFi and Bluetooth device, the Bluetooth speaker experiences stuttering issues.",Performance,Connectivity,Performance,0.2023
bt_software_piece_04_of_07_Wesley.csv,bt,"When using the iper3 tool to run RX and TX while connecting to a 2.4G WiFi and Bluetooth device, the Bluetooth speaker experiences stuttering issues.",Performance,Connectivity,Connectivity,0.2023
wifi_tools_piece_01_of_07_Timdaway.csv,wifi,System does not sync screen via miracast from PC to PAD.,P2P,Connectivity,Connectivity,0.2026
bt_software_piece_02_of_07_Juan.csv,bt,"Bluetooth devices all lost and do not show in the device manager when MIKE II s4 stress test, Bluetooth Device (Personal Area Network) (ID: BTH\MS_BTHPAN\6&257119B4&0&2) missing",YB/Lost,Connectivity,YB/Lost,0.2031
bt_software_piece_01_of_07_Bingyue (2).csv,bt,BT mouse cannot work after idle or paired successfully.,Connectivity,Connectivity,Connectivity,0.2043
wifi_tools_piece_06_of_07_Zhiqiang (2).csv,wifi,The 2.4G network auto disconnect after connect USB wireless keyboard and mouse under about -70dBm RSSl.,YB/Lost,YB/Lost,Connectivity,0.2050
weekly_labels_20260425_151911.csv,BT,[WIKO][Longcheer][MarseilleJ][Win11][Intel-PTL][AX211][BT]BR bluetooth mouse will be deleted automatically after upgrade to 24.40.0.3 bluetooth driver.,Connectivity,Performance,Connectivity,0.2059
weekly_labels_20260425_154714.csv,BT,[WIKO][Longcheer][MarseilleJ][Win11][Intel-PTL][AX211][BT]BR bluetooth mouse will be deleted automatically after upgrade to 24.40.0.3 bluetooth driver.,Connectivity,Performance,Connectivity,0.2059
weekly_labels_20260425_162335.csv,BT,[WIKO][Longcheer][MarseilleJ][Win11][Intel-PTL][AX211][BT]BR bluetooth mouse will be deleted automatically after upgrade to 24.40.0.3 bluetooth driver.,Connectivity,Performance,Connectivity,0.2059
weekly_labels_20260425_165309.csv,BT,[WIKO][Longcheer][MarseilleJ][Win11][Intel-PTL][AX211][BT]BR bluetooth mouse will be deleted automatically after upgrade to 24.40.0.3 bluetooth driver.,Connectivity,Performance,Connectivity,0.2059
wifi_tools_piece_04_of_07_KJ (2).csv,wifi,"SUT cant search for 5.0GHz Wi-Fi after setting ""Wi-Fi Channel"" to 165 and then idling for about 2 minutes.",OEM Tools,OEM Tools,Connectivity,0.2069
wifi_tools_piece_02_of_07_Frankyang (2).csv,wifi,Wi-Fi sensing WOA&WAL distance exceeds Intel KPI,RF,RF,Sensing,0.2085
wifi_tools_piece_06_of_07_Zhiqiang (2).csv,wifi,BSOD-0x7E issue when enable SAR table,RF,RF,BSOD,0.2102
bt_software_piece_01_of_07_Bingyue (2).csv,bt,PC connect TV failed by ble,Connectivity,Connectivity,Connectivity,0.2114
bt_software_piece_03_of_07_Steven.csv,bt,Bluetooth Mic Test Does Not Reflect Input or Volume Assessment,Connectivity,Connectivity,Connectivity,0.2114
bt_software_piece_01_of_07_Bingyue (2).csv,bt,"After resume from MS for long time, BT mouse will lost function and can not scan & pair. (Scan List Empty)",Connectivity,Connectivity,Connectivity,0.2115
bt_software_piece_01_of_07_Bingyue (2).csv,bt,BT Device Disappear CS+Wifi AP connected,Connectivity,Connectivity,Connectivity,0.2159
bt_software_piece_05_of_07_Leo.csv,bt,"Error message ""your speaker arent working"" pops ups when do video call by Teams with BT headset connected.",Connectivity,Connectivity,Connectivity,0.2172
bt_software_piece_06_of_07_Matt.csv,bt,Strange name of msi package appears when removing BT driver,Connectivity,Connectivity,Connectivity,0.2175
bt_software_piece_07_of_07_Yuwei (2).csv,bt,TX timeout during ROM flow,Connectivity,Connectivity,Connectivity,0.2215
bt_software_piece_06_of_07_Matt.csv,bt,"Connect BT headset to system, and then it will only show connected voice and the sound out put from PC speaker.",Connectivity,Connectivity,Connectivity,0.2222
wifi_tools_piece_01_of_07_Timdaway.csv,wifi,CITU test Command XVT_CMD_STEP_MARGIN_TEST_CONFIG_V6 failed with status 31_ Umac Error 0x20100502,BSOD,BSOD,OEM Tools,0.2230
wifi_tools_piece_07_of_07_Brenton.csv,wifi,"PC connected 2.4G/5G AP(802.11AX/AC,20M/40M) do UDP downstream can not meet spec.(F/R:1/1U,6/6C))",Performance,Connectivity,Performance,0.2249
wifi_tools_piece_07_of_07_Brenton.csv,wifi,"Ant tool request to add ""Group 4 to 8"" reading value Get Tx Power Delta Limits",RF,Power Consumption,OEM Tools,0.2255
wifi_tools_piece_06_of_07_Zhiqiang (2).csv,wifi,P178G002/P179G002 update KC Wifi 7,Sensing,Connectivity,Connectivity,0.2259
bt_software_piece_07_of_07_Yuwei (2).csv,bt,Bluetooth headset has No Output Sound After PC Bluetooth Toggle (OFF/ON) 100% fail rate.,Connectivity,Connectivity,Connectivity,0.2273
wifi_tools_piece_06_of_07_Zhiqiang (2).csv,wifi,Intermittent unexplained low downlink throughput,Performance,Connectivity,Performance,0.2310
wifi_tools_piece_07_of_07_Brenton.csv,wifi,"After DUT S4 for a period of time and wakes up, the performance is abnormal when the WIFi65G frequency band 80MHZ/160MHz bandwidth",Performance,Connectivity,Performance,0.2311
bt_software_piece_07_of_07_Yuwei (2).csv,bt,Device Information Service only includes PnPID and Manufacture name,Connectivity,Connectivity,Connectivity,0.2317
wifi_tools_piece_02_of_07_Frankyang (2).csv,wifi,T14S Laptop (AX211) keeps switching between different Wi-Fi access points (APs) unnecessarily,RF,RF,Connectivity,0.2320
bt_software_piece_07_of_07_Yuwei (2).csv,bt,Bluetooth is switched on automatically after resuming from Hibernation.,Connectivity,Connectivity,Connectivity,0.2325
bt_software_piece_06_of_07_Matt.csv,bt,DUT OPP received picture will show abnormal if transferring files with BT headset music playing,Connectivity,Connectivity,Connectivity,0.2329
bt_software_piece_04_of_07_Wesley.csv,software,Bandwidth limitation is not taking effect after prioritization on/off/on cycle in settings,ICPS,Killer,ICPS,0.2338
bt_software_piece_02_of_07_Juan.csv,bt,Advertising Duty Cycle complaint test is not meeting the SPEC requirement,Connectivity,Connectivity,Connectivity,0.2347
bt_software_piece_06_of_07_Matt.csv,bt,BT SAR table in bios ACPI code problem,RF,RF,UEFI,0.2359
bt_software_piece_04_of_07_Wesley.csv,bt,Intel LNL RVP + GaP discrete offload fail to work (music no sound),Connectivity,Connectivity,Connectivity,0.2375
wifi_tools_piece_07_of_07_Brenton.csv,wifi,WiFi throughput is slow when runnning on battery power with WiFi Sensing Enabled,Performance,Power Consumption,Performance,0.2377
wifi_tools_piece_04_of_07_KJ (2).csv,tools,"Opening and ending tag mismatch on ""LPI"" in PowerTable output",OEM Tools,Power Consumption,Connectivity,0.2388
wifi_tools_piece_03_of_07_FrankLee.csv,wifi,P2P pairing - GO finding failure.,P2P,Connectivity,Connectivity,0.2405
bt_software_piece_02_of_07_Juan.csv,bt,"SystemEvent log show error ID_5 after connect the BT MS&KB&Hedset devices, FR: 1/1Unit, 3/3Cycles",Connectivity,Connectivity,Connectivity,0.2414
bt_software_piece_05_of_07_Leo.csv,bt,BT Device will lost when idle in OS - lc_CmuHandleReceivedArqn_Fiq,YB/Lost,Connectivity,YB/Lost,0.2422
bt_software_piece_06_of_07_Matt.csv,bt,Bluetooth headset fails to connect automatically after Windows is resume from shutdown,Connectivity,Connectivity,Connectivity,0.2422
bt_software_piece_01_of_07_Bingyue (2).csv,bt,"Swift Pair connected with Use LE audio when available disabled, after connection host will reconnect LE portion",Connectivity,Connectivity,Connectivity,0.2423
wifi_tools_piece_04_of_07_KJ (2).csv,wifi,The wifi will disconnect when enter to MS,P2P,Connectivity,P2P,0.2423
wifi_tools_piece_04_of_07_KJ (2).csv,wifi,BE211 conductive T-PUT Rx is unexpected.,RF,RF,Performance,0.2424
bt_software_piece_07_of_07_Yuwei (2).csv,bt,aging S4 TEST_BT Lost issue - NO_SUCH_DEVICE,YB/Lost,Connectivity,YB/Lost,0.2433
bt_software_piece_02_of_07_Juan.csv,bt,he sound&play UI became very lag after end the teams call then play local video with BT LE headphone connected.(BE201),Connectivity,Connectivity,Connectivity,0.2435
wifi_tools_piece_01_of_07_Timdaway.csv,wifi,BE211 transmission speed low(2515~2873Mbps Expect:>2.88Gbps) with WIFI 7 after PM operations,Performance,Connectivity,Performance,0.2441
bt_software_piece_04_of_07_Wesley.csv,software,"The button ""Reset"" all settings to default does not works.",Killer,Killer,ICPS,0.2451
bt_software_piece_06_of_07_Matt.csv,bt,The BLE mouse cant reconnect resuming from MS,OEM Tools,OEM Tools,Connectivity,0.2455
bt_software_piece_06_of_07_Matt.csv,bt,Bluetooth driver missing,Connectivity,Connectivity,YB/Lost,0.2459
bt_software_piece_06_of_07_Matt.csv,bt,Pista ARL BE201 Wireless Headset pause button is no function via Bluetooth.,Connectivity,Connectivity,Connectivity,0.2474
wifi_tools_piece_07_of_07_Brenton.csv,wifi,T-put(STA <-->AP) become low if enable hotspot when connected with AP 160M BW,Performance,Power Consumption,Performance,0.2530
bt_software_piece_02_of_07_Juan.csv,bt,"BT headset 100% fail to mute , still can hear volume after mute",Connectivity,Connectivity,Connectivity,0.2557
weekly_labels_20260425_151911.csv,WiFi,"[LG][HQ][14U40V][WCL]The units mobile hotspot does not have a Security type option on the Edit Network Info screen.(FR: 2/2 units, 4/4 times)",Connectivity,Connectivity,Connectivity,0.2561
weekly_labels_20260425_154714.csv,WiFi,"[LG][HQ][14U40V][WCL]The units mobile hotspot does not have a Security type option on the Edit Network Info screen.(FR: 2/2 units, 4/4 times)",Connectivity,Connectivity,Connectivity,0.2561
weekly_labels_20260425_162335.csv,WiFi,"[LG][HQ][14U40V][WCL]The units mobile hotspot does not have a Security type option on the Edit Network Info screen.(FR: 2/2 units, 4/4 times)",Connectivity,Connectivity,Connectivity,0.2561
weekly_labels_20260425_165309.csv,WiFi,"[LG][HQ][14U40V][WCL]The units mobile hotspot does not have a Security type option on the Edit Network Info screen.(FR: 2/2 units, 4/4 times)",Connectivity,Connectivity,Connectivity,0.2561
weekly_labels_20260425_151911.csv,BT,"[NEC][LCFC][WCL][Yukimura-WCL VP][25H2][SIT][BE211]The BT driver shows Dual BT in the Device Manager details, and the language used for the Device Manager name is different. FR: 1/1unit",Connectivity,Not WiFi Issue,Connectivity,0.2565
weekly_labels_20260425_154714.csv,BT,"[NEC][LCFC][WCL][Yukimura-WCL VP][25H2][SIT][BE211]The BT driver shows Dual BT in the Device Manager details, and the language used for the Device Manager name is different. FR: 1/1unit",Connectivity,Not WiFi Issue,Connectivity,0.2565
weekly_labels_20260425_162335.csv,BT,"[NEC][LCFC][WCL][Yukimura-WCL VP][25H2][SIT][BE211]The BT driver shows Dual BT in the Device Manager details, and the language used for the Device Manager name is different. FR: 1/1unit",Connectivity,Not WiFi Issue,Connectivity,0.2565
weekly_labels_20260425_165309.csv,BT,"[NEC][LCFC][WCL][Yukimura-WCL VP][25H2][SIT][BE211]The BT driver shows Dual BT in the Device Manager details, and the language used for the Device Manager name is different. FR: 1/1unit",Connectivity,Not WiFi Issue,Connectivity,0.2565
wifi_tools_piece_04_of_07_KJ (2).csv,wifi,P2P Pairing Failure,P2P,Connectivity,P2P,0.2566
wifi_tools_piece_04_of_07_KJ (2).csv,wifi,P2P pairing failure as it didnt attempt to connect to the Group Owner (GO).,P2P,Connectivity,P2P,0.2570
bt_software_piece_02_of_07_Juan.csv,bt,MDUT Reconnection does not meet the spec,Connectivity,Connectivity,Connectivity,0.2602
wifi_tools_piece_01_of_07_Timdaway.csv,wifi,WiFi throughput degrades after upgrading Windows OS,Performance,Connectivity,Performance,0.2611
wifi_tools_piece_03_of_07_FrankLee.csv,tools,WRT can not function for Killer Module,OEM Tools,Killer,OEM Tools,0.2624
bt_software_piece_07_of_07_Yuwei (2).csv,bt,BT driver lost,Connectivity,Connectivity,YB/Lost,0.2643
weekly_labels_20260425_151911.csv,BT,"[LG][HQ][14U40V][WCL]The units volume is no sound when turn up the volume by the Bluetooth speaker. (FR:1/2 units,3/20 cycles)",Connectivity,Connectivity,Connectivity,0.2645
weekly_labels_20260425_154714.csv,BT,"[LG][HQ][14U40V][WCL]The units volume is no sound when turn up the volume by the Bluetooth speaker. (FR:1/2 units,3/20 cycles)",Connectivity,Connectivity,Connectivity,0.2645
weekly_labels_20260425_162335.csv,BT,"[LG][HQ][14U40V][WCL]The units volume is no sound when turn up the volume by the Bluetooth speaker. (FR:1/2 units,3/20 cycles)",Connectivity,Connectivity,Connectivity,0.2645
weekly_labels_20260425_165309.csv,BT,"[LG][HQ][14U40V][WCL]The units volume is no sound when turn up the volume by the Bluetooth speaker. (FR:1/2 units,3/20 cycles)",Connectivity,Connectivity,Connectivity,0.2645
wifi_tools_piece_01_of_07_Timdaway.csv,wifi,WiFi Rx throughput of 11ax(5GHz) becomes much lower with BT mouse connected,Performance,Connectivity,Performance,0.2651
bt_software_piece_06_of_07_Matt.csv,bt,The sound has caton murmur when DUT play music with a bluetooth speaker,Performance,Connectivity,Performance,0.2653
bt_software_piece_07_of_07_Yuwei (2).csv,bt,"When switch on and off Bluetooth Button repeatedly from the operation center, the BT button sometime is not working. At the same time, there is 0x9f BSOD when reboot the PC.",BSOD,BSOD,BSOD,0.2656
bt_software_piece_04_of_07_Wesley.csv,bt,LE anchor point and CIS 2nd and 3rd subevent overlaps,Connectivity,Connectivity,Connectivity,0.2662
wifi_tools_piece_02_of_07_Frankyang (2).csv,wifi,"Mobile hotspot channel changed, the system reconnect failed",System Hang,System Hang,P2P,0.2665
bt_software_piece_05_of_07_Leo.csv,bt,Noise is heard from BT headphone when other people speak during teams call.(BE201),Connectivity,Connectivity,Connectivity,0.2667
weekly_labels_20260425_151911.csv,BT,"[Lenovo Thinkbook/Consumer][Wistron][WCL][AX211][IdeaPad Slim 5 13IWC11]The AX211 network card uses Bluetooth to record audio with current and noise.(10/10 unit,50/50 cycle)",Connectivity,Connectivity,Connectivity,0.2668
weekly_labels_20260425_154714.csv,BT,"[Lenovo Thinkbook/Consumer][Wistron][WCL][AX211][IdeaPad Slim 5 13IWC11]The AX211 network card uses Bluetooth to record audio with current and noise.(10/10 unit,50/50 cycle)",Connectivity,Connectivity,Connectivity,0.2668
weekly_labels_20260425_162335.csv,BT,"[Lenovo Thinkbook/Consumer][Wistron][WCL][AX211][IdeaPad Slim 5 13IWC11]The AX211 network card uses Bluetooth to record audio with current and noise.(10/10 unit,50/50 cycle)",Connectivity,Connectivity,Connectivity,0.2668
weekly_labels_20260425_165309.csv,BT,"[Lenovo Thinkbook/Consumer][Wistron][WCL][AX211][IdeaPad Slim 5 13IWC11]The AX211 network card uses Bluetooth to record audio with current and noise.(10/10 unit,50/50 cycle)",Connectivity,Connectivity,Connectivity,0.2668
bt_software_piece_03_of_07_Steven.csv,bt,"After pairing the Bluetooth headset, the sound output takes about 15 seconds to switch to the headset.",Connectivity,Connectivity,Connectivity,0.2669
bt_software_piece_06_of_07_Matt.csv,bt,Please help to check the log of ibtWikoCfaFeatureExt driver.,Connectivity,Connectivity,Connectivity,0.2669
wifi_tools_piece_06_of_07_Zhiqiang (2).csv,wifi,NP50RW NB playing MV lag during Wi-Fi WIDI,P2P,Performance,P2P,0.2688
weekly_labels_20260425_151911.csv,WiFi,[Samsung][MTL][AX211] Can not find 6Ghz Mobile Hotspot.,Connectivity,Connectivity,Connectivity,0.2690
weekly_labels_20260425_154714.csv,WiFi,[Samsung][MTL][AX211] Can not find 6Ghz Mobile Hotspot.,Connectivity,Connectivity,Connectivity,0.2690
weekly_labels_20260425_162335.csv,WiFi,[Samsung][MTL][AX211] Can not find 6Ghz Mobile Hotspot.,Connectivity,Connectivity,Connectivity,0.2690
weekly_labels_20260425_165309.csv,WiFi,[Samsung][MTL][AX211] Can not find 6Ghz Mobile Hotspot.,Connectivity,Connectivity,Connectivity,0.2690
bt_software_piece_02_of_07_Juan.csv,bt,Sniff Mode Parameters not meet the criteria,Connectivity,Connectivity,Connectivity,0.2711
bt_software_piece_03_of_07_Steven.csv,bt,"The Bluetooth device will be auto change to ""Paired"". (Huawei Freelace)",System Hang,System Hang,Connectivity,0.2715
weekly_labels_20260425_151911.csv,BT,[Microsoft][PTL/WHP/OOB 26581][PAS] Bluetooth crash and LE earbuds disconnect when enabling Audio Sharing (PAS) on Panther Lake,Connectivity,Connectivity,Connectivity,0.2715
weekly_labels_20260425_154714.csv,BT,[Microsoft][PTL/WHP/OOB 26581][PAS] Bluetooth crash and LE earbuds disconnect when enabling Audio Sharing (PAS) on Panther Lake,Connectivity,Connectivity,Connectivity,0.2715
weekly_labels_20260425_162335.csv,BT,[Microsoft][PTL/WHP/OOB 26581][PAS] Bluetooth crash and LE earbuds disconnect when enabling Audio Sharing (PAS) on Panther Lake,Connectivity,Connectivity,Connectivity,0.2715
weekly_labels_20260425_165309.csv,BT,[Microsoft][PTL/WHP/OOB 26581][PAS] Bluetooth crash and LE earbuds disconnect when enabling Audio Sharing (PAS) on Panther Lake,Connectivity,Connectivity,Connectivity,0.2715
wifi_tools_piece_04_of_07_KJ (2).csv,wifi,SIP126226 - 1040 G11/Win11 24H2/NA/PC US/Intel WLAN driver causes 0xa bug check,BSOD,BSOD,BSOD,0.2738
bt_software_piece_02_of_07_Juan.csv,bt,Bluetooth mouse has poor tracking perfo,Performance,Connectivity,Performance,0.2743
bt_software_piece_06_of_07_Matt.csv,bt,"Using Bluetooth earphones to watch videos, the earphone sound is intermittent and there is a current sound",Connectivity,Connectivity,Connectivity,0.2745
