jira_id,ips_title,jira_component,human_category,label_source,pseudo_confidence,sample_weight,feature_text
WIFI-143900,"[HP/SIO2013965/Win10/KBL/SfP/ComputronW14] De-authorised from the Wi-Fi network while roaming, and could not connect back.",WinDriver->Connectivity,Connectivity,pseudo_component_rule_hard,0.95,0.70,"[COMPONENT=WinDriver->Connectivity] [HP/SIO2013965/Win10/KBL/SfP/ComputronW14] De-authorised from the Wi-Fi network while roaming, and could not connect back."
WIFI-144825,"[Huawei][Quanta][H93U(EulerD)][AX201][20H2][WIFI][BUG-20210823-34559] The DUT connect to Internet , install IQIYI,  run STEPV3_20210720_Release-Stress_MultiMedia_00100, system meet BSOD 139 F/R:1/10 units",WinDriver->Connectivity,Connectivity,pseudo_component_rule_hard,0.95,0.70,"[COMPONENT=WinDriver->Connectivity] [Huawei][Quanta][H93U(EulerD)][AX201][20H2][WIFI][BUG-20210823-34559] The DUT connect to Internet , install IQIYI,  run STEPV3_20210720_Release-Stress_MultiMedia_00100, system meet BSOD 139 F/R:1/10 units"
WIFI-150854,Wi-Fi connection timeout in DFS mode,WinDriver->Connectivity,Connectivity,pseudo_component_rule_hard,0.95,0.70,[COMPONENT=WinDriver->Connectivity] Wi-Fi connection timeout in DFS mode
WIFI-204522,[Huawei][Quanta][H9HD][HookF][AX211][21H2][WLAN][805423516] Can't find any hotspot after sleep and wake up in DC mode,WinDriver->Connectivity,Connectivity,pseudo_component_rule_hard,0.95,0.70,[COMPONENT=WinDriver->Connectivity] [Huawei][Quanta][H9HD][HookF][AX211][21H2][WLAN][805423516] Can't find any hotspot after sleep and wake up in DC mode
WIFI-204710,[HUAWEI][HUAQIN][MachD][Intel TGL][Intel AX201][WIFI][Win11]The DUT will disconnect from AP  during roaming is triggered,WinDriver->Connectivity,Connectivity,pseudo_component_rule_hard,0.95,0.70,[COMPONENT=WinDriver->Connectivity] [HUAWEI][HUAQIN][MachD][Intel TGL][Intel AX201][WIFI][Win11]The DUT will disconnect from AP  during roaming is triggered
WIFI-207783,[Huawei][Quanta][H9HD][HookF][AX211][21H2][WLAN][805453050] The user cannot connect to any hotspot after waking up from sleep,WinDriver->Connectivity,Connectivity,pseudo_component_rule_hard,0.95,0.70,[COMPONENT=WinDriver->Connectivity] [Huawei][Quanta][H9HD][HookF][AX211][21H2][WLAN][805453050] The user cannot connect to any hotspot after waking up from sleep
WIFI-210058,HP -  SIO2087874 - [3LS] - SIP110836 - EB 1040 G6 / Huawei / GC / Intel WLAN Unexpected Roaming Issue / PC APJ / CN,WinDriver->Connectivity,Connectivity,pseudo_component_rule_hard,0.95,0.70,[COMPONENT=WinDriver->Connectivity] HP -  SIO2087874 - [3LS] - SIP110836 - EB 1040 G6 / Huawei / GC / Intel WLAN Unexpected Roaming Issue / PC APJ / CN
WIFI-218380,5GHz ch132 80MHz CAN'T be scanned by AX210 w/ MCC GB,WinDriver->Connectivity,Connectivity,pseudo_component_rule_hard,0.95,0.70,[COMPONENT=WinDriver->Connectivity] 5GHz ch132 80MHz CAN'T be scanned by AX210 w/ MCC GB
WIFI-257942,[Lenovo-IdeaPad][KYG90[SIT][RPL-P][LCFC][HF][Win11]BSOD 0x7E happened which related with Intel WLAN when system reboot,WinDriver->Connectivity,Connectivity,pseudo_component_rule_hard,0.95,0.70,[COMPONENT=WinDriver->Connectivity] [Lenovo-IdeaPad][KYG90[SIT][RPL-P][LCFC][HF][Win11]BSOD 0x7E happened which related with Intel WLAN when system reboot
WIFI-268488,"[Huawei][Quanta][H9U][CurieF][AX211][21H2][WLAN][805836825] The 5G and 2.4G dual-band SSID set by the router, after connecting to the 5G frequency band,",WinDriver->Connectivity,Connectivity,pseudo_component_rule_hard,0.95,0.70,"[COMPONENT=WinDriver->Connectivity] [Huawei][Quanta][H9U][CurieF][AX211][21H2][WLAN][805836825] The 5G and 2.4G dual-band SSID set by the router, after connecting to the 5G frequency band,"
WIFI-274576,[Samsung][AX211][P221215-07337] PC doesn't reply to EAP request from Phone.,WinDriver->Connectivity,Connectivity,pseudo_component_rule_hard,0.95,0.70,[COMPONENT=WinDriver->Connectivity] [Samsung][AX211][P221215-07337] PC doesn't reply to EAP request from Phone.
WIFI-282447,"[Huawei][MendelG][Intel RPL][DVT2]After Dut update os or bios and reboot,it can not reconnect to the original WIFI",WinDriver->Connectivity,Connectivity,pseudo_component_rule_hard,0.95,0.70,"[COMPONENT=WinDriver->Connectivity] [Huawei][MendelG][Intel RPL][DVT2]After Dut update os or bios and reboot,it can not reconnect to the original WIFI"
WIFI-283154,[NECPC-JP][ADL-U][AX211] BSOD occurs during communication test of mobile hotspot,WinDriver->Connectivity,Connectivity,pseudo_component_rule_hard,0.95,0.70,[COMPONENT=WinDriver->Connectivity] [NECPC-JP][ADL-U][AX211] BSOD occurs during communication test of mobile hotspot
WIFI-286487,[jinke][WIFI][Huawei][MendelF][Intel ADL][PVT2]PC can not connect to any hotspot anymore since a suddenlly disconnection,WinDriver->Connectivity,Connectivity,pseudo_component_rule_hard,0.95,0.70,[COMPONENT=WinDriver->Connectivity] [jinke][WIFI][Huawei][MendelF][Intel ADL][PVT2]PC can not connect to any hotspot anymore since a suddenlly disconnection
WIFI-286793,"[HUAQIN][ASUS][AX211][WIFI][22H2][22.200][80%] System cannot connect to AP with ""ATT 750W"" WiFi AP. (PS:RTK,QC WLAN PASS)",WinDriver->Connectivity,Connectivity,pseudo_component_rule_hard,0.95,0.70,"[COMPONENT=WinDriver->Connectivity] [HUAQIN][ASUS][AX211][WIFI][22H2][22.200][80%] System cannot connect to AP with ""ATT 750W"" WiFi AP. (PS:RTK,QC WLAN PASS)"
WIFI-321757,[Huawei][Quanta][H9U][CurieF][AX211][21H2][WLAN][800126531] CurieF meet BSOD,WinDriver->Connectivity,Connectivity,pseudo_component_rule_hard,0.95,0.70,[COMPONENT=WinDriver->Connectivity] [Huawei][Quanta][H9U][CurieF][AX211][21H2][WLAN][800126531] CurieF meet BSOD
WIFI-350479,EventID 5002/5005 Error occurred,WinDriver->Connectivity,Connectivity,pseudo_component_rule_hard,0.95,0.70,[COMPONENT=WinDriver->Connectivity] EventID 5002/5005 Error occurred
WIFI-350688,"[HP][Quanta]-[Willie][MTL][Win11 22H2][PVR] 0x7a"" blue screen occurred after resume from critical S4(BE200)",WinDriver->Connectivity,Connectivity,pseudo_component_rule_hard,0.95,0.70,"[COMPONENT=WinDriver->Connectivity] [HP][Quanta]-[Willie][MTL][Win11 22H2][PVR] 0x7a"" blue screen occurred after resume from critical S4(BE200)"
WIFI-351262,[lenovo][lcfc][Matterhorn][MTL][BE200][23H2][2/6 units]BSOD 0x10d @ s0i3 test,WinDriver->Connectivity,Connectivity,pseudo_component_rule_hard,0.95,0.70,[COMPONENT=WinDriver->Connectivity] [lenovo][lcfc][Matterhorn][MTL][BE200][23H2][2/6 units]BSOD 0x10d @ s0i3 test
WIFI-358977,[Honor][huaqin][DarwinA][MTL][AX201]PC cannot scan to TV when using miracast,WinDriver->Connectivity,Connectivity,pseudo_component_rule_hard,0.95,0.70,[COMPONENT=WinDriver->Connectivity] [Honor][huaqin][DarwinA][MTL][AX201]PC cannot scan to TV when using miracast
WIFI-374611,[LG][17Z90SP][MTL/AX211/Win11 22H2] Cannot connect to WEP,WinDriver->Connectivity,Connectivity,pseudo_component_rule_hard,0.95,0.70,[COMPONENT=WinDriver->Connectivity] [LG][17Z90SP][MTL/AX211/Win11 22H2] Cannot connect to WEP
WIFI-379265,[Dell][Wistron][RPL S Refresh]show BSOD when EEUpdate to update mac,WinDriver->Connectivity,Connectivity,pseudo_component_rule_hard,0.95,0.70,[COMPONENT=WinDriver->Connectivity] [Dell][Wistron][RPL S Refresh]show BSOD when EEUpdate to update mac
WIFI-386934,Unable to communicate after roaming,WinDriver->Connectivity,Connectivity,pseudo_component_rule_hard,0.95,0.70,[COMPONENT=WinDriver->Connectivity] Unable to communicate after roaming
WIFI-392708,100% of time when going between APs,WinDriver->Connectivity,Connectivity,pseudo_component_rule_hard,0.95,0.70,[COMPONENT=WinDriver->Connectivity] 100% of time when going between APs
WIFI-397296,[Dell][Wistron] Latitude 3400 - Unable to connect to network WPA3 security,WinDriver->Connectivity,Connectivity,pseudo_component_rule_hard,0.95,0.70,[COMPONENT=WinDriver->Connectivity] [Dell][Wistron] Latitude 3400 - Unable to connect to network WPA3 security
WIFI-405580,[MTL][GaP2] can NOT see Wi-Fi 6E SSID,WinDriver->Connectivity,Connectivity,pseudo_component_rule_hard,0.95,0.70,[COMPONENT=WinDriver->Connectivity] [MTL][GaP2] can NOT see Wi-Fi 6E SSID
WIFI-411918,"[HP][Foxconn][RPL-S&RPL-S Refresh][GfP2-AX211&GaP2-BE200]The WLAN Protocol of the 5 GHZ band displays 802.11g when set ""802.11a/b/g Wireless Mode"" to ""5.Dual Band 802.11a/g"" in DM\Intel WLAN driver\advanced Tab.",WinDriver->Connectivity,Connectivity,pseudo_component_rule_hard,0.95,0.70,"[COMPONENT=WinDriver->Connectivity] [HP][Foxconn][RPL-S&RPL-S Refresh][GfP2-AX211&GaP2-BE200]The WLAN Protocol of the 5 GHZ band displays 802.11g when set ""802.11a/b/g Wireless Mode"" to ""5.Dual Band 802.11a/g"" in DM\Intel WLAN driver\advanced Tab."
WIFI-417111,"[Lenovo-ThinkPad][LCFC][MTL][Thinkbook plus G5][Win11]AX211WLAN:After resuming from the S5,the wifi automatic connection fails or the connection time is too long",WinDriver->Connectivity,Connectivity,pseudo_component_rule_hard,0.95,0.70,"[COMPONENT=WinDriver->Connectivity] [Lenovo-ThinkPad][LCFC][MTL][Thinkbook plus G5][Win11]AX211WLAN:After resuming from the S5,the wifi automatic connection fails or the connection time is too long"
WIFI-418799,[Samsung][LNL][BE201] System can not find the mobile hotspot on 6Ghz.,WinDriver->Connectivity,Connectivity,pseudo_component_rule_hard,0.95,0.70,[COMPONENT=WinDriver->Connectivity] [Samsung][LNL][BE201] System can not find the mobile hotspot on 6Ghz.
WIFI-431316,[Dell/Compal] WHLK - Wlan Test - Connect to a network using MLO Fail,WinDriver->Connectivity,Connectivity,pseudo_component_rule_hard,0.95,0.70,[COMPONENT=WinDriver->Connectivity] [Dell/Compal] WHLK - Wlan Test - Connect to a network using MLO Fail
WIFI-445053,Slower to connect to AP on 6GHz channel when SSID is hidden.,WinDriver->Connectivity,Connectivity,pseudo_component_rule_hard,0.95,0.70,[COMPONENT=WinDriver->Connectivity] Slower to connect to AP on 6GHz channel when SSID is hidden.
WIFI-445283,[Samsung][LNL][FmP2][P240709-04447] System can not connect to specific AP.,WinDriver->Connectivity,Connectivity,pseudo_component_rule_hard,0.95,0.70,[COMPONENT=WinDriver->Connectivity] [Samsung][LNL][FmP2][P240709-04447] System can not connect to specific AP.
WIFI-460321,[Thames-2][Fmp2][Lunarlake] BSOD0xd1 pointing to WLAN,WinDriver->Connectivity,Connectivity,pseudo_component_rule_hard,0.95,0.70,[COMPONENT=WinDriver->Connectivity] [Thames-2][Fmp2][Lunarlake] BSOD0xd1 pointing to WLAN
WIFI-460452,[MSI][MS-13R2][RRL-U][WLAN]The SUT CANNOT connect to AP,WinDriver->Connectivity,Connectivity,pseudo_component_rule_hard,0.95,0.70,[COMPONENT=WinDriver->Connectivity] [MSI][MS-13R2][RRL-U][WLAN]The SUT CANNOT connect to AP
WIFI-469496,"[HP][Wistron][Snowball_WildheartOC_ARL-S][GaP2][Win11 24H2 Build 26100.1301] SUT occurred BSOD 0xD1 during ""Prime95 + 3DMark Overnight"" test",WinDriver->Connectivity,Connectivity,pseudo_component_rule_hard,0.95,0.70,"[COMPONENT=WinDriver->Connectivity] [HP][Wistron][Snowball_WildheartOC_ARL-S][GaP2][Win11 24H2 Build 26100.1301] SUT occurred BSOD 0xD1 during ""Prime95 + 3DMark Overnight"" test"
WIFI-484036,[HP/Wistron][LNL][FmP][2230][Cadet_UMA] Intel AX211 WLAN module 5G CH149 bandwid,WinDriver->Connectivity,Connectivity,pseudo_component_rule_hard,0.95,0.70,[COMPONENT=WinDriver->Connectivity] [HP/Wistron][LNL][FmP][2230][Cadet_UMA] Intel AX211 WLAN module 5G CH149 bandwid
WIFI-495550,[Lenovo/DT BU][in-house][RPL-R][BE200][Tiny10_M90q-5]Cannot connect to 6G hide ssid AP,WinDriver->Connectivity,Connectivity,pseudo_component_rule_hard,0.95,0.70,[COMPONENT=WinDriver->Connectivity] [Lenovo/DT BU][in-house][RPL-R][BE200][Tiny10_M90q-5]Cannot connect to 6G hide ssid AP
WIFI-518554,[Lenovo][ThinkPad L13 G3][ADL][AX201][Win10]Wi-Fi connection occasionally drops during normal use,WinDriver->Connectivity,Connectivity,pseudo_component_rule_hard,0.95,0.70,[COMPONENT=WinDriver->Connectivity] [Lenovo][ThinkPad L13 G3][ADL][AX201][Win10]Wi-Fi connection occasionally drops during normal use
WIFI-521571,"[Lenovo_IdeaPad][Wenchang][LCFC][LNL][24H2][SIT][BE201]The unit occurred BSOD_0x10D after running the Prime95+TAT test overnight, and then idle about 20 minutes later(FR: 2/4Units)",WinDriver->Connectivity,Connectivity,pseudo_component_rule_hard,0.95,0.70,"[COMPONENT=WinDriver->Connectivity] [Lenovo_IdeaPad][Wenchang][LCFC][LNL][24H2][SIT][BE201]The unit occurred BSOD_0x10D after running the Prime95+TAT test overnight, and then idle about 20 minutes later(FR: 2/4Units)"
WIFI-532614,"[ASUS_CCBU][ADL-N][9462][23.80.1.3][BR1402CGA] After connect with WPA3 AP, security type will downgrade to WPA2.",WinDriver->Connectivity,Connectivity,pseudo_component_rule_hard,0.95,0.70,"[COMPONENT=WinDriver->Connectivity] [ASUS_CCBU][ADL-N][9462][23.80.1.3][BR1402CGA] After connect with WPA3 AP, security type will downgrade to WPA2."
WIFI-534850,[Lenovo][Aladdin][LNL SIT][BE201][Win11] WiFi icon flash more than 30s when connect enterprise network,WinDriver->Connectivity,Connectivity,pseudo_component_rule_hard,0.95,0.70,[COMPONENT=WinDriver->Connectivity] [Lenovo][Aladdin][LNL SIT][BE201][Win11] WiFi icon flash more than 30s when connect enterprise network
WIFI-546162,[lenovo_lnl_eiger2]BE201 BSOD 0xD1 when playing video with WhitePearl tool,WinDriver->Connectivity,Connectivity,pseudo_component_rule_hard,0.95,0.70,[COMPONENT=WinDriver->Connectivity] [lenovo_lnl_eiger2]BE201 BSOD 0xD1 when playing video with WhitePearl tool
WIFI-551095,[Lenovo][Aladdin][LNL SIT][BE201][Win11] System show only one network band when connect MLO enabled AP,WinDriver->Connectivity,Connectivity,pseudo_component_rule_hard,0.95,0.70,[COMPONENT=WinDriver->Connectivity] [Lenovo][Aladdin][LNL SIT][BE201][Win11] System show only one network band when connect MLO enabled AP
WIFI-564136,[Honor][Huaqin][DarwinB][AX211][WiFi][24H2]The 5G wifi cant reconnect automatically after reboot,WinDriver->Connectivity,Connectivity,pseudo_component_rule_hard,0.95,0.70,[COMPONENT=WinDriver->Connectivity] [Honor][Huaqin][DarwinB][AX211][WiFi][24H2]The 5G wifi cant reconnect automatically after reboot
WIFI-573979,[Samsung][LNL][BE201] D1/10D BSoD.,WinDriver->Connectivity,Connectivity,pseudo_component_rule_hard,0.95,0.70,[COMPONENT=WinDriver->Connectivity] [Samsung][LNL][BE201] D1/10D BSoD.
WIFI-573996,[Honor][huaqin][DarwinB][ARL][AX211][WiFi]The DUT cant recieve 5G wifi AUSU2_5G beacon that cause AUSU2_5G cant reconnect after boot to system,WinDriver->Connectivity,Connectivity,pseudo_component_rule_hard,0.95,0.70,[COMPONENT=WinDriver->Connectivity] [Honor][huaqin][DarwinB][ARL][AX211][WiFi]The DUT cant recieve 5G wifi AUSU2_5G beacon that cause AUSU2_5G cant reconnect after boot to system
WIFI-603158,HP SIP125519 - EB830G9 (Warpath13)/Bank Indonesia/GA/ Intel AX211 WLAN Connection Issue/PC APJ/ID,WinDriver->Connectivity,Connectivity,pseudo_component_rule_hard,0.95,0.70,[COMPONENT=WinDriver->Connectivity] HP SIP125519 - EB830G9 (Warpath13)/Bank Indonesia/GA/ Intel AX211 WLAN Connection Issue/PC APJ/ID
WIFI-611056,[Honor][HUAQIN][DarwinB][Intel ARL-H][Intel AX211 blazar][WiFi][Win11]It occurrd assert which caused WiFi disconnect.,WinDriver->Connectivity,Connectivity,pseudo_component_rule_hard,0.95,0.70,[COMPONENT=WinDriver->Connectivity] [Honor][HUAQIN][DarwinB][Intel ARL-H][Intel AX211 blazar][WiFi][Win11]It occurrd assert which caused WiFi disconnect.
WIFI-611216,[Lenovo][HQ][LNL][C710][BE201]Linkspeed drop with drivers 23.120.0.3 when connected to AP with160M bandwidth (F/R: 3/3 UUTs; 30/30 Cycles),WinDriver->Connectivity,Connectivity,pseudo_component_rule_hard,0.95,0.70,[COMPONENT=WinDriver->Connectivity] [Lenovo][HQ][LNL][C710][BE201]Linkspeed drop with drivers 23.120.0.3 when connected to AP with160M bandwidth (F/R: 3/3 UUTs; 30/30 Cycles)
WIFI-633663,[HP][Quanta]-[Andman][JSL][Win11 24H2][25MiniSFR] Red Screens(0x945) with Memory dump occurred during dash latest RevAF image..(Intel Harrison Peak 2),WinDriver->Connectivity,Connectivity,pseudo_component_rule_hard,0.95,0.70,[COMPONENT=WinDriver->Connectivity] [HP][Quanta]-[Andman][JSL][Win11 24H2][25MiniSFR] Red Screens(0x945) with Memory dump occurred during dash latest RevAF image..(Intel Harrison Peak 2)
WIFI-671650,[lenovo_arlh_marie_curie2] BSOD point to Wifi driver(Netwaw16.sys),WinDriver->Connectivity,Connectivity,pseudo_component_rule_hard,0.95,0.70,[COMPONENT=WinDriver->Connectivity] [lenovo_arlh_marie_curie2] BSOD point to Wifi driver(Netwaw16.sys)
WIFI-691994,[FCCL][FmP2/GaP2] Slower to connect to AP on 6GHz when SSID with hidden,WinDriver->Connectivity,Connectivity,pseudo_component_rule_hard,0.95,0.70,[COMPONENT=WinDriver->Connectivity] [FCCL][FmP2/GaP2] Slower to connect to AP on 6GHz when SSID with hidden
WIFI-693388,[HP][Wistron][Cadet_LNL][BE200][Win11 24H2 Build 26100] SUT can search 165 channel 5GHz wireless on Indonesia image.,WinDriver->Connectivity,Connectivity,pseudo_component_rule_hard,0.95,0.70,[COMPONENT=WinDriver->Connectivity] [HP][Wistron][Cadet_LNL][BE200][Win11 24H2 Build 26100] SUT can search 165 channel 5GHz wireless on Indonesia image.
WIFI-724614,[HP][Quanta]-[Voco 25C1][ARL-H][Win11 24H2] WiFi cannot connect to Mobile router. (Intel BE200),WinDriver->Connectivity,Connectivity,pseudo_component_rule_hard,0.95,0.70,[COMPONENT=WinDriver->Connectivity] [HP][Quanta]-[Voco 25C1][ARL-H][Win11 24H2] WiFi cannot connect to Mobile router. (Intel BE200)
WIFI-729162,[Samsung][PTL][WhP2] Anritsu MT8862 - AP connection issue @ 6GHz,WinDriver->Connectivity,Connectivity,pseudo_component_rule_hard,0.95,0.70,[COMPONENT=WinDriver->Connectivity] [Samsung][PTL][WhP2] Anritsu MT8862 - AP connection issue @ 6GHz
WIFI-740890,[HP][Wistron][26C1_Chiharu/Turbine_PTL-H12Xe][WhP2][Win11 24H2 Build 26100.4202][SBHWFW02331_23.165.0.2G-PTL] WiFi cannot connect to network automatically after resuming from S5 when enable Fast Startup.,WinDriver->Connectivity,Connectivity,pseudo_component_rule_hard,0.95,0.70,[COMPONENT=WinDriver->Connectivity] [HP][Wistron][26C1_Chiharu/Turbine_PTL-H12Xe][WhP2][Win11 24H2 Build 26100.4202][SBHWFW02331_23.165.0.2G-PTL] WiFi cannot connect to network automatically after resuming from S5 when enable Fast Startup.
WIFI-741414,[DELL][PistaARL] GNNR may fail with error code 258,WinDriver->Connectivity,Connectivity,pseudo_component_rule_hard,0.95,0.70,[COMPONENT=WinDriver->Connectivity] [DELL][PistaARL] GNNR may fail with error code 258
WIFI-746160,"[Lenovo ldeaPad/Consumer][LCFC][ARL-HX][BE200][Legion Pro 7 16IAX10H]Intel BE200 WLAN units do not display Wi-Fi7 mode after switching from 802.11ax to Wi-Fi7 when connect to 6GHz.(F/R:2/2 units,10/10 cycles)",WinDriver->Connectivity,Connectivity,pseudo_component_rule_hard,0.95,0.70,"[COMPONENT=WinDriver->Connectivity] [Lenovo ldeaPad/Consumer][LCFC][ARL-HX][BE200][Legion Pro 7 16IAX10H]Intel BE200 WLAN units do not display Wi-Fi7 mode after switching from 802.11ax to Wi-Fi7 when connect to 6GHz.(F/R:2/2 units,10/10 cycles)"
WIFI-749263,[Lenovo][Kailash][PTL/BE211][25H2]wifi cannot connect with MLO with wpa2/wpa3,WinDriver->Connectivity,Connectivity,pseudo_component_rule_hard,0.95,0.70,[COMPONENT=WinDriver->Connectivity] [Lenovo][Kailash][PTL/BE211][25H2]wifi cannot connect with MLO with wpa2/wpa3
WIFI-758619,[Dell] BE211 RX TPT is worse than BE201 in Wi-Fi 6E 80MHz or 160MHz when connected to ASUS GT-AXE11000(3.0.0.4.386.42489),WinDriver->Connectivity,Connectivity,pseudo_component_rule_hard,0.95,0.70,[COMPONENT=WinDriver->Connectivity] [Dell] BE211 RX TPT is worse than BE201 in Wi-Fi 6E 80MHz or 160MHz when connected to ASUS GT-AXE11000(3.0.0.4.386.42489)
WIFI-762233,[Dell][Bolan LNL/FmP2] Persistent Wi-Fi roaming and disconnection problems affecting Dell laptops with Intel BE200/201/202 and AX211 adapters,WinDriver->Connectivity,Connectivity,pseudo_component_rule_hard,0.95,0.70,[COMPONENT=WinDriver->Connectivity] [Dell][Bolan LNL/FmP2] Persistent Wi-Fi roaming and disconnection problems affecting Dell laptops with Intel BE200/201/202 and AX211 adapters
WIFI-768995,[Samsung][LNL][BE201][P250905-06167] Connected Channel Issue with MLO Router,WinDriver->Connectivity,Connectivity,pseudo_component_rule_hard,0.95,0.70,[COMPONENT=WinDriver->Connectivity] [Samsung][LNL][BE201][P250905-06167] Connected Channel Issue with MLO Router
WIFI-769102,[Samsung][ADL][AX201]Install v23.160 WLAN device YB,WinDriver->Connectivity,Connectivity,pseudo_component_rule_hard,0.95,0.70,[COMPONENT=WinDriver->Connectivity] [Samsung][ADL][AX201]Install v23.160 WLAN device YB
WIFI-784347,"[524229][Honor][LuxsharePC][NvwaB][DVT][25H2]Roaming failed once during reconnect to the 2.4G AP. F/R: 1/1u, 1/50C",WinDriver->Connectivity,Connectivity,pseudo_component_rule_hard,0.95,0.70,"[COMPONENT=WinDriver->Connectivity] [524229][Honor][LuxsharePC][NvwaB][DVT][25H2]Roaming failed once during reconnect to the 2.4G AP. F/R: 1/1u, 1/50C"
WIFI-787305,[Samsung][PTL][BE211][Venus6-16]AP scan issue  Specific APs missing from scan list for long time(3~15min),WinDriver->Connectivity,Connectivity,pseudo_component_rule_hard,0.95,0.70,[COMPONENT=WinDriver->Connectivity] [Samsung][PTL][BE211][Venus6-16]AP scan issue  Specific APs missing from scan list for long time(3~15min)
WIFI-788748,[HP\Dogfood] Show No Internet when connected HP internal network,WinDriver->Connectivity,Connectivity,pseudo_component_rule_hard,0.95,0.70,[COMPONENT=WinDriver->Connectivity] [HP\Dogfood] Show No Internet when connected HP internal network
WIFI-791408,[LNV][Compal][PTL][BE211][IdeaPad Pro5 14IPH11]RSSI fail while connect to AP,WinDriver->Connectivity,Connectivity,pseudo_component_rule_hard,0.95,0.70,[COMPONENT=WinDriver->Connectivity] [LNV][Compal][PTL][BE211][IdeaPad Pro5 14IPH11]RSSI fail while connect to AP
WIFI-796742,[Lenovo-Ideapad][YOGA9P 16][PTL/BE211@1216/320Mhz][25H2] stress WB with security fail and reset soon,WinDriver->Connectivity,Connectivity,pseudo_component_rule_hard,0.95,0.70,[COMPONENT=WinDriver->Connectivity] [Lenovo-Ideapad][YOGA9P 16][PTL/BE211@1216/320Mhz][25H2] stress WB with security fail and reset soon
