jira_id,ips_title,jira_component,component_frequency,feature_text
CIE-1999,[Samsung][ADL][ICPS] d1 BSoD occured,Customer TBD,210,[COMPONENT=Customer TBD] [Samsung][ADL][ICPS] d1 BSoD occured
CIE-2410,"[Huawei][Quanta][H9U][CurieF][AX211][22H2][ICPS][BUG-20220719-56362] Run Step Stress_MultiMedia_00500 ?web online multimedia with reboot? . one unit meet BSOD D1. IntcCo11X64.sys, F/R:1/10 units , per unit 500 cycles",Customer TBD,210,"[COMPONENT=Customer TBD] [Huawei][Quanta][H9U][CurieF][AX211][22H2][ICPS][BUG-20220719-56362] Run Step Stress_MultiMedia_00500 ?web online multimedia with reboot? . one unit meet BSOD D1. IntcCo11X64.sys, F/R:1/10 units , per unit 500 cycles"
CIE-2486,"[MSI][MS-17P2][RPL-H]After remove Killer E3100G LAN driver, I can't install Killer E3100G LAN driver by setup.exe again",Customer TBD,210,"[COMPONENT=Customer TBD] [MSI][MS-17P2][RPL-H]After remove Killer E3100G LAN driver, I can't install Killer E3100G LAN driver by setup.exe again"
CIE-2566,[Samsung][RPL-P][ICPS2.0] Increased power consumption caused by ICPS in 1080p Video playback scenario(+WIFI off),Customer TBD,210,[COMPONENT=Customer TBD] [Samsung][RPL-P][ICPS2.0] Increased power consumption caused by ICPS in 1080p Video playback scenario(+WIFI off)
CIE-2567,[Samsung][ADL][ICPS]The files in ICPS folder are not removed after driver is uninstalled.,Customer TBD,210,[COMPONENT=Customer TBD] [Samsung][ADL][ICPS]The files in ICPS folder are not removed after driver is uninstalled.
CIE-3265,[Lenovo IdeaPad][Inhouse][Y980][RPL][Win11][SIT]  Killer APP crash,Customer TBD,210,[COMPONENT=Customer TBD] [Lenovo IdeaPad][Inhouse][Y980][RPL][Win11][SIT]  Killer APP crash
CIE-3447,[Dynabook]ICPS network page only show grey after WiFi is turned off,Customer TBD,210,[COMPONENT=Customer TBD] [Dynabook]ICPS network page only show grey after WiFi is turned off
CIE-3521,[Dell] ExpressConnect (in Dell Optimizer) will impact GaP2 Wi-Fi 7 throughput,Customer TBD,210,[COMPONENT=Customer TBD] [Dell] ExpressConnect (in Dell Optimizer) will impact GaP2 Wi-Fi 7 throughput
CIE-3595,"[May CI][Y780 IRX D/H Full]The function of switching better signal AP fails when click the connect button in ""Smart Access Point Selection Pop Up Notifications""windows.(F/R:2/2units, 3/4cycles)",Customer TBD,210,"[COMPONENT=Customer TBD] [May CI][Y780 IRX D/H Full]The function of switching better signal AP fails when click the connect button in ""Smart Access Point Selection Pop Up Notifications""windows.(F/R:2/2units, 3/4cycles)"
CIE-3726,[Jinke][WIFI][Huawei][VangogH][MTL][DVT][ICPS]IntelProviderDataHelperService.exe  app error event,Customer TBD,210,[COMPONENT=Customer TBD] [Jinke][WIFI][Huawei][VangogH][MTL][DVT][ICPS]IntelProviderDataHelperService.exe  app error event
CIE-3781,"[Lenovo IdeaPad][Y990-IRX][SIT][RPL-X][LCFC][HF][Win11]Killer(R) Wi-Fi 6E AX1675i (AX211)- ""Killer Networking Software"" device lost in Device Manager When run Stress_S3",Customer TBD,210,"[COMPONENT=Customer TBD] [Lenovo IdeaPad][Y990-IRX][SIT][RPL-X][LCFC][HF][Win11]Killer(R) Wi-Fi 6E AX1675i (AX211)- ""Killer Networking Software"" device lost in Device Manager When run Stress_S3"
CIE-3806,[Samsung][MTL][ICPS] RNIdle Task is not finished,Customer TBD,210,[COMPONENT=Customer TBD] [Samsung][MTL][ICPS] RNIdle Task is not finished
CIE-3812,"Unable to access file server, no Internet connection, or disconnect Teams meetings while using WLAN",Customer TBD,210,"[COMPONENT=Customer TBD] Unable to access file server, no Internet connection, or disconnect Teams meetings while using WLAN"
CIE-3813,[Lenovo][MeteorLake][AX211][22H2][100%][ICPS3.0]SSID shows unreadable characters instead of Chinese if connect AP in ICPS,Customer TBD,210,[COMPONENT=Customer TBD] [Lenovo][MeteorLake][AX211][22H2][100%][ICPS3.0]SSID shows unreadable characters instead of Chinese if connect AP in ICPS
CIE-3822,[Baymax] The battery life MM25 result significantly drop due to the ICPS service,Customer TBD,210,[COMPONENT=Customer TBD] [Baymax] The battery life MM25 result significantly drop due to the ICPS service
CIE-3950,[Samsung][RPL][ICPS]Cant connect to AP on ICPS app,Customer TBD,210,[COMPONENT=Customer TBD] [Samsung][RPL][ICPS]Cant connect to AP on ICPS app
CIE-3957,[HP/SIO2238057/Win11/MTL/GfP2/Longhornz] Interfaces routing is not matched as custom setting after set as Manually Configure Connection Settings mode.,Customer TBD,210,[COMPONENT=Customer TBD] [HP/SIO2238057/Win11/MTL/GfP2/Longhornz] Interfaces routing is not matched as custom setting after set as Manually Configure Connection Settings mode.
CIE-3959,[Acer/Compal][EQE_RTX]EventViewer Error ID 1000 appear in the first time reboot,Customer TBD,210,[COMPONENT=Customer TBD] [Acer/Compal][EQE_RTX]EventViewer Error ID 1000 appear in the first time reboot
CIE-3976,[ASUS/Commercial][Pegatron][MTL][BE200][B3/B5] ICPS does not display recommendations when connected to WiFi 4 or 5 access point with BE200,Customer TBD,210,[COMPONENT=Customer TBD] [ASUS/Commercial][Pegatron][MTL][BE200][B3/B5] ICPS does not display recommendations when connected to WiFi 4 or 5 access point with BE200
CIE-3979,"System error with Event IDs 7011 and 7043 ""Intel Connectivity Network Service "" found in Event Viewer after PBR",Customer TBD,210,"[COMPONENT=Customer TBD] System error with Event IDs 7011 and 7043 ""Intel Connectivity Network Service "" found in Event Viewer after PBR"
CIE-4096,[ASUS][PEGA][MTL][BE200][ICPS] WIFI7 TPT degrade when ICPS installed.,Customer TBD,210,[COMPONENT=Customer TBD] [ASUS][PEGA][MTL][BE200][ICPS] WIFI7 TPT degrade when ICPS installed.
CIE-4154,"[TB G6+][AX211][MTL][Win11]i9 System occur ""Unknown software exception"" when restart (BSOD point to ICPS)",Customer TBD,210,"[COMPONENT=Customer TBD] [TB G6+][AX211][MTL][Win11]i9 System occur ""Unknown software exception"" when restart (BSOD point to ICPS)"
CIE-4159,[LCFC][RYZEN][AX211][WIN11][Y760ACH_Killer1650xY770S_IAH_Killer1675i]Killer Control Center APP show Service not Running,Customer TBD,210,[COMPONENT=Customer TBD] [LCFC][RYZEN][AX211][WIN11][Y760ACH_Killer1650xY770S_IAH_Killer1675i]Killer Control Center APP show Service not Running
CIE-4281,[MSI][NB][MS-17Q2][RPL-HX]KillerControlCenter.3.1524.510.1 cannot install,Customer TBD,210,[COMPONENT=Customer TBD] [MSI][NB][MS-17Q2][RPL-HX]KillerControlCenter.3.1524.510.1 cannot install
CIE-4358,[Samsung][MTL][ICPS]ICPS app cant show authorized network properly.,Customer TBD,210,[COMPONENT=Customer TBD] [Samsung][MTL][ICPS]ICPS app cant show authorized network properly.
CIE-4399,[Dell][Tributo MTL]Killer v35.24.4316 Wi-Fi (com. and ext. v3.1524.405.6) driver,Customer TBD,210,[COMPONENT=Customer TBD] [Dell][Tributo MTL]Killer v35.24.4316 Wi-Fi (com. and ext. v3.1524.405.6) driver
CIE-4400,[Dell][Wistron][Arwing] Add SSID for supporting Killer BE1750x and KCC,Customer TBD,210,[COMPONENT=Customer TBD] [Dell][Wistron][Arwing] Add SSID for supporting Killer BE1750x and KCC
CIE-4408,[Samsung][LNL][ICPS]Cant connect an AP on ICPS app.,Customer TBD,210,[COMPONENT=Customer TBD] [Samsung][LNL][ICPS]Cant connect an AP on ICPS app.
CIE-4410,[LCFC][RYZEN][AX211][WIN11][Y760ACH_Killer1650xY770S_IAH_Killer1675i]zhiwei test for IPS promote issue,Customer TBD,210,[COMPONENT=Customer TBD] [LCFC][RYZEN][AX211][WIN11][Y760ACH_Killer1650xY770S_IAH_Killer1675i]zhiwei test for IPS promote issue
CIE-4424,Wireless Connectivity Solutions,Customer TBD,210,[COMPONENT=Customer TBD] Wireless Connectivity Solutions
CIE-4431,[Dynabook][Win11]The network cannot automatically switch after set Manually configure connection,Customer TBD,210,[COMPONENT=Customer TBD] [Dynabook][Win11]The network cannot automatically switch after set Manually configure connection
CIE-4437,[Dell][Compal]TributoLNL_DVT2_Killer service cant running,Customer TBD,210,[COMPONENT=Customer TBD] [Dell][Compal]TributoLNL_DVT2_Killer service cant running
CIE-4467,"[Lenovo][LunarLake][BE201][24H2][100%][ICPS4.0]It takes about 15s to display Bluetooth devices after click ""Scan"" button in ICPS",Customer TBD,210,"[COMPONENT=Customer TBD] [Lenovo][LunarLake][BE201][24H2][100%][ICPS4.0]It takes about 15s to display Bluetooth devices after click ""Scan"" button in ICPS"
CIE-4469,[Dell][Tributo LNL] Submit Killer v35.24.5517 (com. and ext. v3.1524.510.1) WU,Customer TBD,210,[COMPONENT=Customer TBD] [Dell][Tributo LNL] Submit Killer v35.24.5517 (com. and ext. v3.1524.510.1) WU
CIE-4485,[Lenovo][LunarLake][BE201][24H2][100%][ICPS4.0]Bluetooth Mouse/keyboard cant be reconnected in ICPS,Customer TBD,210,[COMPONENT=Customer TBD] [Lenovo][LunarLake][BE201][24H2][100%][ICPS4.0]Bluetooth Mouse/keyboard cant be reconnected in ICPS
CIE-4502,[Acer][Compal][IceFish_LNM][Lunar Lake-MX]Event id 1000 error occur reboot,Customer TBD,210,[COMPONENT=Customer TBD] [Acer][Compal][IceFish_LNM][Lunar Lake-MX]Event id 1000 error occur reboot
CIE-4508,"[Lenovo][LunarLake][BE201][24H2][20%][ICPS4.0]The ICPS ""Network Health"" interface shows blank 5s after enable ""Pop up notification for a better network""",Customer TBD,210,"[COMPONENT=Customer TBD] [Lenovo][LunarLake][BE201][24H2][20%][ICPS4.0]The ICPS ""Network Health"" interface shows blank 5s after enable ""Pop up notification for a better network"""
CIE-4524,[MSI][Killer E3100G] 24H2 System HLK - Signed Driver Check (CheckLogo) test fail,Customer TBD,210,[COMPONENT=Customer TBD] [MSI][Killer E3100G] 24H2 System HLK - Signed Driver Check (CheckLogo) test fail
CIE-4540,[Lenovo][LunarLake][BE201][24H2][100%][ICPS4.0]Some Bluetooth devices cant be listed in ICPS Bluetooth UI,Customer TBD,210,[COMPONENT=Customer TBD] [Lenovo][LunarLake][BE201][24H2][100%][ICPS4.0]Some Bluetooth devices cant be listed in ICPS Bluetooth UI
CIE-4548,[Dell][Pista MTL]Killer v35.24.5437 Wi-Fi (com. and ext. v3.1524.510.1) driver,Customer TBD,210,[COMPONENT=Customer TBD] [Dell][Pista MTL]Killer v35.24.5437 Wi-Fi (com. and ext. v3.1524.510.1) driver
CIE-4549,[Dell][Fiorano RPL]Killer v35.24.5437 Wi-Fi (com. and ext. v3.1524.510.1) driver,Customer TBD,210,[COMPONENT=Customer TBD] [Dell][Fiorano RPL]Killer v35.24.5437 Wi-Fi (com. and ext. v3.1524.510.1) driver
CIE-4550,[Dell][SPT platforms]Killer v35.24.5437 Wi-Fi (com. and ext. v3.1524.510.1) driver,Customer TBD,210,[COMPONENT=Customer TBD] [Dell][SPT platforms]Killer v35.24.5437 Wi-Fi (com. and ext. v3.1524.510.1) driver
CIE-4685,[Dell][Tributo MTL]Killer v35.24.5437 Wi-Fi (com. and ext. v3.1524.510.1) driver,Customer TBD,210,[COMPONENT=Customer TBD] [Dell][Tributo MTL]Killer v35.24.5437 Wi-Fi (com. and ext. v3.1524.510.1) driver
CIE-4702,[Dell_AW_NexusMLK/Horizon15&MLK]Killer v35.24.5437 WIFI ext and comp WU request.,Customer TBD,210,[COMPONENT=Customer TBD] [Dell_AW_NexusMLK/Horizon15&MLK]Killer v35.24.5437 WIFI ext and comp WU request.
CIE-4739,[Lenovo][LunarLake][BE201][24H2][100%][ICPS4.0]Prioritization is still disabled when Click OK to enable Prioritization in ACM page,Customer TBD,210,[COMPONENT=Customer TBD] [Lenovo][LunarLake][BE201][24H2][100%][ICPS4.0]Prioritization is still disabled when Click OK to enable Prioritization in ACM page
CIE-4740,[Lenovo][LunarLake][BE201][24H2][100%][ICPS4.0]Windows Mobile hotspot will be disabled when exit ICPS from system tray,Customer TBD,210,[COMPONENT=Customer TBD] [Lenovo][LunarLake][BE201][24H2][100%][ICPS4.0]Windows Mobile hotspot will be disabled when exit ICPS from system tray
CIE-4751,[Samsung][ICPS]Need an improvement for app assessment of CER - [1. Snap menu flyout],Customer TBD,210,[COMPONENT=Customer TBD] [Samsung][ICPS]Need an improvement for app assessment of CER - [1. Snap menu flyout]
CIE-4752,[Samsung][ICPS]Need an improvement for app assessment of CER - [2. Notification],Customer TBD,210,[COMPONENT=Customer TBD] [Samsung][ICPS]Need an improvement for app assessment of CER - [2. Notification]
CIE-4753,[Samsung][ICPS]Need an improvement for app assessment of CER - [3. Dark/light theme],Customer TBD,210,[COMPONENT=Customer TBD] [Samsung][ICPS]Need an improvement for app assessment of CER - [3. Dark/light theme]
CIE-4767,ICPS Bluetooth Device Management cant show Bluetooth LE devices,Customer TBD,210,[COMPONENT=Customer TBD] ICPS Bluetooth Device Management cant show Bluetooth LE devices
CIE-4768,[Dell/Compal][Tributo LNL] CER Bug Review for KIC App UX,Customer TBD,210,[COMPONENT=Customer TBD] [Dell/Compal][Tributo LNL] CER Bug Review for KIC App UX
CIE-4769,Cannot connect to BT devices through Killer Control Center,Customer TBD,210,[COMPONENT=Customer TBD] Cannot connect to BT devices through Killer Control Center
CIE-5008,[Acer][Fabia_RTH] No sound output from  specific Sony BT speaker when its connected through Killer Control Center.,Customer TBD,210,[COMPONENT=Customer TBD] [Acer][Fabia_RTH] No sound output from  specific Sony BT speaker when its connected through Killer Control Center.
CIE-5107,[LG][16Z90S][MTL/AX211/Win11 23H2] [ICPS]File copy from local PC to Citrix cloud PC is very slow,Customer TBD,210,[COMPONENT=Customer TBD] [LG][16Z90S][MTL/AX211/Win11 23H2] [ICPS]File copy from local PC to Citrix cloud PC is very slow
CIE-5122,[Dell/Compal][Tributo LNL] PR6_BSOD_0xA,Customer TBD,210,[COMPONENT=Customer TBD] [Dell/Compal][Tributo LNL] PR6_BSOD_0xA
CIE-5125,SIE292937 - 840 G10/G11/ EY/Crashing due to an Intel ICPS old and latest driver,Customer TBD,210,[COMPONENT=Customer TBD] SIE292937 - 840 G10/G11/ EY/Crashing due to an Intel ICPS old and latest driver
CIE-5149,[Lenovo][LunarLake][BE201][24H2][100%][ICPS4.0]ICPS UI font for SC is not localized,Customer TBD,210,[COMPONENT=Customer TBD] [Lenovo][LunarLake][BE201][24H2][100%][ICPS4.0]ICPS UI font for SC is not localized
CIE-5159,[Dell_Sanctuary][ARL-Hx][Killer 1750w][1216]Killer service within Killer wlan driver impact CPU C10 percentage,Customer TBD,210,[COMPONENT=Customer TBD] [Dell_Sanctuary][ARL-Hx][Killer 1750w][1216]Killer service within Killer wlan driver impact CPU C10 percentage
CIE-5174,[Dell/Compal_TributoLNL] Killer services not running,Customer TBD,210,[COMPONENT=Customer TBD] [Dell/Compal_TributoLNL] Killer services not running
CIE-6143,[Dynabook]a blank parenthesis will appears in the ICPS Bluetooth device list after changing Bluetooth device name,Customer TBD,210,[COMPONENT=Customer TBD] [Dynabook]a blank parenthesis will appears in the ICPS Bluetooth device list after changing Bluetooth device name
CIE-6364,[PTL][Samsung][wifi sensing] cant work wifi sensing,Customer TBD,210,[COMPONENT=Customer TBD] [PTL][Samsung][wifi sensing] cant work wifi sensing
CIE-6485,[Lenovo][LunarLake][BE201][24H2][100%][ICPS4.0]It needs around 15 sec to enable smart AP selection,Customer TBD,210,[COMPONENT=Customer TBD] [Lenovo][LunarLake][BE201][24H2][100%][ICPS4.0]It needs around 15 sec to enable smart AP selection
CIE-6487,[Lenovo][LunarLake][BE201][24H2][100%][ICPS4.0]No Dark/Light mode description in ICPS Help,Customer TBD,210,[COMPONENT=Customer TBD] [Lenovo][LunarLake][BE201][24H2][100%][ICPS4.0]No Dark/Light mode description in ICPS Help
CIE-6500,[Lenovo]Intel Connect service is disconnected when input wrong password to connect AP,Customer TBD,210,[COMPONENT=Customer TBD] [Lenovo]Intel Connect service is disconnected when input wrong password to connect AP
CIE-6617,[Samsung][ICPS]App crach( IntelProviderDataHelperService.exe) occurs.,Customer TBD,210,[COMPONENT=Customer TBD] [Samsung][ICPS]App crach( IntelProviderDataHelperService.exe) occurs.
CIE-6630,[HP/SIO2374370/24H2/ARL/GfP2/Helm] The NB device didnt show connected in ICPS\BT,Customer TBD,210,[COMPONENT=Customer TBD] [HP/SIO2374370/24H2/ARL/GfP2/Helm] The NB device didnt show connected in ICPS\BT
CIE-6905,Please remove WiFiSpecialConfigs folder from next Killer release(all 3 packages),Customer TBD,210,[COMPONENT=Customer TBD] Please remove WiFiSpecialConfigs folder from next Killer release(all 3 packages)
CIE-6908,KIC app error message Unhandled exception has occurred in your application.,Customer TBD,210,[COMPONENT=Customer TBD] KIC app error message Unhandled exception has occurred in your application.
CIE-7097,"[Lenovo][LunarLake][BE201][24H2][100%][ICPS4.0]Notification ""Item removed successfully"" is not localized on Simplified Chinese system.",Customer TBD,210,"[COMPONENT=Customer TBD] [Lenovo][LunarLake][BE201][24H2][100%][ICPS4.0]Notification ""Item removed successfully"" is not localized on Simplified Chinese system."
CIE-7167,"[Lenovo][LunarLake][BE201][24H2][100%][ICPS4.0]Enable/Disable Additional Network Selection Features, Enable AP selection will be turned off, then turn on.",Customer TBD,210,"[COMPONENT=Customer TBD] [Lenovo][LunarLake][BE201][24H2][100%][ICPS4.0]Enable/Disable Additional Network Selection Features, Enable AP selection will be turned off, then turn on."
CIE-7182,[Lenovo][LunarLake][BE201][25H2][100%][ICPS4.0]ICPS service disabled setting doesnt work on Win11 25H2,Customer TBD,210,[COMPONENT=Customer TBD] [Lenovo][LunarLake][BE201][25H2][100%][ICPS4.0]ICPS service disabled setting doesnt work on Win11 25H2
CIE-7226,[Sanctuary] Killer Intelligence center error message pops up after restoring the image,Customer TBD,210,[COMPONENT=Customer TBD] [Sanctuary] Killer Intelligence center error message pops up after restoring the image
