technology_key,ips_title,predicted_category,jira_title
bt,"After BLE pairing, there is no classical Bluetooth MAC in Windows registry",Connectivity,The P2P iperf t-put drop (100MB/s --> 3.8MB/s) after manually adding interference
wifi,Camera video randomly freezes during multi-tasking in Teams Conference Call,System Hang,
bt,Stress_FB/S4_System event log occur BTHUSB error(Event ID:17) . (F/R: 6/7units),Connectivity,
wifi,Slate not able to enable Wi-Fi sensing.,Connectivity,
bt,Dual BT does not work,Connectivity,
wifi,"System hangs ~90s after wrong Wi-Fi password entered on CSR interface (Spider Peak 2 Scorpius, Win11 25H2)",System Hang,
bt,"WHQL test , Bluetooth - HciExtensionsV2 (Development and Integration) test item fail.",HLK,"System hangs ~90s after wrong Wi-Fi password entered on CSR interface (Spider Peak 2 Scorpius, Win11 25H2)"
wifi,The 2.4G network auto disconnect after plug USB disk through the USB3.0 port under about -70dBm RSSl.,Connectivity,
wifi,The 2.4G network auto disconnect after connect USB wireless keyboard and mouse under about -70dBm RSSl.,YB/Lost,
bt,The PC high-frequency scanning 100ms broadcast takes a relatively long time (some time exceeded 20 seconds),Performance,
bt,AX210 BT device Lost or BT&WLAN YB during auto coldboot/S4 test,YB/Lost,
bt,Multiple devices show Yellow Bang after boot when pairing with another DUT via BT,YB/Lost,
wifi,+intel AX210 wifiDriver ver: 23.170.0.16Ghz,Connectivity,
bt,The PC high-frequency scanning 250ms broadcast takes a relatively long time.,Performance,
wifi,TAS test failed,RF,
wifi,"Wi-Fi error 5002 and AP disconnect during Modern Standby on RUSH (TWL) with AX211, multiple drivers",YB/Lost,
bt,Please help to check the log of ibtWikoCfaFeatureExt driver.,Connectivity,"Wi-Fi error 5002 and AP disconnect during Modern Standby on RUSH (TWL) with AX211, multiple drivers"
wifi,Gets stuck when turning the hotspot on or off,System Hang,
bt,File transfer via Quick Share failed,Connectivity,
bt,SIO2454268: Cant play music via media player after resume unit from S4 during music playback with BT LE headset connect.(AX211),YB/Lost,
bt,The Bluetooth driver in the MS scenario is highly active.,Connectivity,
wifi,"5002 error(Assert_0x20104007) occurred from event log during FastBoot Test (FR:1/30units, 1/9000 cycles)",YB/Lost,
wifi,Intel AX211 Wifi frequently disconnecting,Connectivity,"5002 error(Assert_0x20104007) occurred from event log during FastBoot Test (FR:1/30units, 1/9000 cycles)"
bt,The Bluetooth drive,Connectivity,
wifi,Intel Wi-Fi fails to start authentication as P2P Group Client during pairing on Lunar Lake,Connectivity,
wifi,Issue: Missing UDP_COALESCED_INFO Control Message When URO Is Enabled,Connectivity,Intel Wi-Fi fails to start authentication as P2P Group Client during pairing on Lunar Lake
wifi,P2P pairing failure - No beacon detected from Intel WiFi.,Connectivity,
bt,Enabling the s-mono function causes noise during playback,YB/Lost,
wifi,MS365 sites fails w/IPV6,Connectivity,
bt,The sound output device  will slower then 20s to show after  connected   by BT,Connectivity,
wifi,Sometimes there are continuous ping timeouts when connected with a specific WiFi4 AP at home (AP from Chinese ISP).,Connectivity,
wifi,"Wi-Fi device YB fails to recover after S4 resume, error code 10, reboot restores on AX211/Win11",YB/Lost,
wifi,The Bluetooth driver in the MS scenario is highly active.,Connectivity,
bt,BSOD 0x133 when test Stress_MultiMedia_00700,BSOD,Sometimes there are continuous ping timeouts when connected with a specific WiFi4 AP at home (AP from Chinese ISP).
bt,AX211 Bluetooth shows YB after idle system 8~12 hrs.,YB/Lost,"Wi-Fi device YB fails to recover after S4 resume, error code 10, reboot restores on AX211/Win11"
bt,0x9F BSOD during Bluetooth device wake from idle while streaming video on Windows 11 25H2,BSOD,
bt,ICPS Bluetooth LE over-ear headphone icon is different from OS icon,ICPS,
bt,The sound is terrible after starting a PAS session,Connectivity,
bt,no a2dp profile when bluetooth headset connecting with a2dp offload off,Connectivity,0x9F BSOD during Bluetooth device wake from idle while streaming video on Windows 11 25H2
bt,EVO BT audio test fail,Connectivity,
wifi,#NAME?,Connectivity,
bt,Enabling the s-mono function causes noise during playback,YB/Lost,
bt,The BT6.0 device does not display 16bit 32k Hz when connected.,Connectivity,
bt,bluetooth headset can not adjust volume with a2dp offload off,Connectivity,
bt,Bluetooth Yellow Bang (error 43) after reboot; fatal BT controller exception and PLDR failure on Panther Lake (AX211) - CNVI_AUX_A2A_EXCEPTION_IRQ,YB/Lost,
bt,"The unit show BSOD(bugcheck:0x44,with dump) after restart unit.(F/R:1/2units;2/208cycles)",BSOD,
wifi,"Event log show 5002 error (Assert 0x20104009) during Warm Boot stress test. (F/R:2/25u,174/7500c)",YB/Lost,
bt,There is no sound output after starting a PAS session during a Teams call.,Connectivity,Bluetooth Yellow Bang (error 43) after reboot; fatal BT controller exception and PLDR failure on Panther Lake (AX211) - CNVI_AUX_A2A_EXCEPTION_IRQ
bt,Sometimes one of the earbuds (Device #1 or Device #2) disconnects randomly during a PAS session.,Connectivity,
bt,Music playback will stop automatically during  PAS session.,YB/Lost,"Event log show 5002 error (Assert 0x20104009) during Warm Boot stress test. (F/R:2/25u,174/7500c)"
wifi,BT driver v23.140.0.5 show YB in the factory (WiFi Assert 0x2010121e),YB/Lost,
bt,"There is a lag(about 20s) in the sound switching when connecting the one BT headset and then connecting other one,(FR: 2/2 units,6/6 trials)",Connectivity,
bt,"The SW Drips is 0 and HW drips no value(Intel(R) Dual Bluetooth(R) PCI Enumerator(\_SB.PC00.BTPC)) after entering MS more than 10mins.(FR:1/2units,2/10cycles)",Connectivity,
wifi,Black screen and BSOD 0x9F after resume from S4/MS with Intel Wi-Fi driver 23.150/23.170,BSOD,
wifi,"System show error and cannot recover PC after download OS/driver finished from Cloud. (F/R:2/2u,4/4c)",System Hang,
tools,Bolan PTL BE211 SNR ANT A fail in WBT GNNR,OEM Tools,
wifi,"Assert happened , GO Beacon miss occurred",YB/Lost,Black screen and BSOD 0x9F after resume from S4/MS with Intel Wi-Fi driver 23.150/23.170
bt,HP ABBA dock and monitor fail to wake when Quick Connect enabled and unit approaches within 3 meters,Connectivity,
software,The Wi-Fi Credential Prompter of IdeaPad build is dark mode by default,Killer,
tools,6G Tx power question on DRTU,OEM Tools,"Assert happened , GO Beacon miss occurred"
wifi,The TIS is abnormal when the OTA test is in Channel 149-165,Connectivity,
wifi,0x9F BSOD during WinPVT11.16.0 S4 hibernation stress test on Wildcat Lake Wi-Fi,BSOD,HP ABBA dock and monitor fail to wake when Quick Connect enabled and unit approaches within 3 meters
bt,BT Headset Fails to Auto-Reconnect After S4 Resume: No HCI_Connection_Complete Event (3/32),Connectivity,
wifi,WIFI YB when running Heaven benchmark test and PTAT Tool -- Factory test.,YB/Lost,6G Tx power question on DRTU
bt,"Noise and no sound after 1-2 hours of Bluetooth audio on Venus4-14 (Classic BT, Meteor Lake, AX211), 20%+ fail rate.",Connectivity,The TIS is abnormal when the OTA test is in Channel 149-165
wifi,System can scan full 6GHz band at Mongolia MCC,Connectivity,0x9F BSOD during WinPVT11.16.0 S4 hibernation stress test on Wildcat Lake Wi-Fi
wifi,System will encounter BSOD 0x9f when rebooting.,BSOD,BT Headset Fails to Auto-Reconnect After S4 Resume: No HCI_Connection_Complete Event (3/32)
wifi,The streaming rates of STA and SoftAP are lower than competing products in Wi-Fi coexistence,Performance,
software,ICPS adds power ~900mw in Teams 3*3 test scenario in Kailash,ICPS,"Noise and no sound after 1-2 hours of Bluetooth audio on Venus4-14 (Classic BT, Meteor Lake, AX211), 20%+ fail rate."
bt,Eiger2 BE201-LNL have YB because can not get OTP of Bluetooth,YB/Lost,
bt,The BT switch show gray and BT function disappear,Connectivity,
tools,CITU Fail of BM23xmk2 DVT2(Review passed PCB),OEM Tools,
wifi,"WLAN always auto reset after connect monitor with HDMI cable, FR: 2/2Units, 5/5Cycles",Connectivity,
bt,Failed to activate BT LE function test,Connectivity,Eiger2 BE201-LNL have YB because can not get OTP of Bluetooth
wifi,BE201 WLAN/BT disappear and reappear during S0 idle screen on,Connectivity,
bt,It is unable to reconnect a single earbud during a PAS session.,Connectivity,
bt,"After starting a new PAS session, the sound from Device 2 is quieter than tha",Connectivity,
bt,The sound from Device #2 was much lower than that from Device #1 during Teams call,Connectivity,
wifi,(Copy Of 00993290) Abnormal operation when measuring 802.11n Tx power,Power Consumption,BE201 WLAN/BT disappear and reappear during S0 idle screen on
software,WLAN did not connect to previous AP after WIFI Radio off/on if checked switch to better WIFI  option on ICPS. (FR:2/2units; 4/8cycles),ICPS,
bt,"BSOD 0x6E during factory build and reboot stress, dump points to Intel Bluetooth driver (ibtpci.sys)",BSOD,
bt,Bluetooth connection interrupted during Nearby Sharing file transfer on Panther Lake (BE213),Connectivity,
wifi,The wifi disconnect and cant reconnect  until turn off/on wifi switch,Connectivity,
tools,"DRTU show pop-up ""Visual C++ Runtime library assertion failed""",YB/Lost,WLAN did not connect to previous AP after WIFI Radio off/on if checked switch to better WIFI  option on ICPS. (FR:2/2units; 4/8cycles)
bt,bluetooth headset no sound after resume from S4,Connectivity,"BSOD 0x6E during factory build and reboot stress, dump points to Intel Bluetooth driver (ibtpci.sys)"
bt,There is a 15-20 secon,Connectivity,Bluetooth connection interrupted during Nearby Sharing file transfer on Panther Lake (BE213)
wifi,"System lag repeatly, capture the event log found that network timeout nearby the lag time point.(F/R: 4/4units, 25/50cycles)",Performance,
wifi,P2P pairing - GO finding failure.,Connectivity,
wifi,"Error Message:""PCI configuration change detected"" occurred when run vCosmos_WinPVT v11.16.0 Hibernation Functional Test.",System Hang,
wifi,EAP authentication fails and disconnection from AP,Connectivity,
wifi,The wifi device show yellow bang,YB/Lost,
wifi,Single unit fails to activate WiFi-Sensing func,Connectivity,
software,"[NEC][LCFC][Citron3_VP][25H2][ICPS] ID0(Child process [9344 - IDBWM.exe] finished with 1073740791) and ID7034(Intel Dynamic Bandwidth Management Service) and ID1000(IDBWM.exe) shows up while running FSU long run test.[FR: 8/356,2.25%][1/1 Units]",ICPS,
na,The BE211s Wi-Fi and Bluetooth functions are not working on Ubuntu 24.04.3 LTS,Connectivity,
wifi,BSOD DRIVER_POWER_STATE_FAILURE (0x9F) during S4 stress on Arrow Lake-Hx with Killer 1750w Wi-Fi,BSOD,
wifi,The result show fail when running Stress-WiFi Ping (MS/Reboot/S4) test.,Connectivity,
wifi,STA cannot detect 6 GHz Wi-Fi APs in Indonesia with UHB enabled and MCC set to ID,Connectivity,
wifi,The AP will be disconnected after WiFi connected and idle for 5~8 minutes while CSR feature executing period in Intel BE211 SKU (QS silicon) SKU,Connectivity,
wifi,"WLAN show only 1 MLO link When change WIFI7 AP encryption mode from WPA2 to WPA3 (F/R:1/2units,1/10cycles)",System Hang,
wifi,"WIFI Tput drop when open ""Prime95"" tool",Connectivity,BSOD DRIVER_POWER_STATE_FAILURE (0x9F) during S4 stress on Arrow Lake-Hx with Killer 1750w Wi-Fi
software,Usage Details misaligned in ICPS UI,ICPS,
bt,BSOD 0xE6 referencing ibtpci.sys during cold boot on Panther Lake with BT 24.10.1.4,BSOD,STA cannot detect 6 GHz Wi-Fi APs in Indonesia with UHB enabled and MCC set to ID
software,Edited Mouse name and Keyboard name does not retain in ICPS,ICPS,The AP will be disconnected after WiFi connected and idle for 5~8 minutes while CSR feature executing period in Intel BE211 SKU (QS silicon) SKU
software,Mobile battery percentage fails to display in ICPS UI,ICPS,
software,AI Apps in Prioritization Still Display green Check Mark After Disabling from advanced settings,Killer,"WLAN show only 1 MLO link When change WIFI7 AP encryption mode from WPA2 to WPA3 (F/R:1/2units,1/10cycles)"
wifi,wifi performance degrade with WW47 BKC wifi driver,Connectivity,"WIFI Tput drop when open ""Prime95"" tool"
wifi,[Xiaomi][Huaqin][P52][PTL][AX211],Connectivity,
wifi,Wifi connection with some APs are unstable,Connectivity,BSOD 0xE6 referencing ibtpci.sys during cold boot on Panther Lake with BT 24.10.1.4
bt,"Failed to connect BT mouse (Thinkpad fuji2.0).(F/R:2/2units,4/20cycles)",Connectivity,Edited Mouse name and Keyboard name does not retain in ICPS
wifi,VLP is working at Mexico (mexico is not enabled at UATS),UEFI,Mobile battery percentage fails to display in ICPS UI
wifi,"GB6-16 Cannot scan 6GHz at Macau, Oman , Trinidad & Tobago",Connectivity,AI Apps in Prioritization Still Display green Check Mark After Disabling from advanced settings
wifi,PC is unable to detect the 5G 802.11ax only mode signal.,Connectivity,
bt,Please help to privide ibtXXXCfaFeatureE driver.,Connectivity,
bt,Unnecessary BT LE Sideband device and YB,RF,
bt,Bluetooth showed YB when stress FB,YB/Lost,
bt,[xiaomi][huaqin][M56M57][MTL][25H2][AX203]S4BT YB[2/60 units1/9000 cycles],YB/Lost,
bt,"The headphone volume button cannot adjust the computer volume via the Lenovo Wireless Stereo Headset.(FR:2/2 units,4/4times)",Connectivity,
wifi,wifi disconnect when plugging ROG keyboard,YB/Lost,
bt,"[HP][QTA][BNB][WCL][Gorgonzola]SIO2448157:ABBA and extend Monitor cant wake up when ""Quick Connect"" is set to ""Enable"" and unit approach to the dock within 3 meters([Abba_9X3V1AA]",OEM Tools,
bt,The function of BT (AX211) failure,Connectivity,
wifi,Wi-Fi Direct Quick Share fails: Intel device does not complete P2P handshake with Qualcomm client,Connectivity,
bt,BT YB with ac enter S4  and dc resume,YB/Lost,
bt,"Error Message:""Error reported by Windows in the System Event Log: ibtpci:1863"" occurred when run vCosmos_WinPVT v11.16.0 Hibernation Functional Test.",Connectivity,
bt,bluetooth mouse lag when cpu high loading,Connectivity,
bt,"The video will lag when connect BT headphone and then play video -> turn off/on BT or power off/on headphone.(FR:1/2 units,2/4times)",Power Consumption,
wifi,Event log show 5002 error when running Stress CB.(F/R:1/10units),YB/Lost,
wifi,The TIS is abnormal when the OTA test is in Channel 149-165,Connectivity,
wifi,WIFI 5002 with PA daily test,YB/Lost,Wi-Fi Direct Quick Share fails: Intel device does not complete P2P handshake with Qualcomm client
wifi,DHCP failure and APIPA address after roaming between Cisco APs in Flex-connect mode (Wi-Fi),Connectivity,
wifi,For BE200_Vpro_host PC is unable to access the AMT/ISM web UI interface of the target/client PC when connected via WLAN,Connectivity,
bt,The TWS Earbuds of BT page will show not connect after factory reset TWS Earbuds and reconnect to it.(FR:2/2units;4/4cycles),Connectivity,
bt,BT Pen tablet doesnt work after S3/resume,Connectivity,
wifi,P2P pairing failure and it might be related abnormal Wifi device status.,Connectivity,
wifi,The WiFi icon cannot be turned on.,Connectivity,
bt,The audio and video in the media,Connectivity,
wifi,The system will occur Wlan_YB (Error code:10) when running restart stress test.,YB/Lost,DHCP failure and APIPA address after roaming between Cisco APs in Flex-connect mode (Wi-Fi)
bt,Failed to share folder by Samsung Quick share app from PC to Tab,Connectivity,
bt,"12h SSD read-write stress test: 0X133 BSOD occurred, pointing to Bluetooth PCI Enumerator.",BSOD,
bt,Connect  BT headset failed due to authentication failure (0x05),BSOD,
wifi,NP50RW NB  playing MV lag during Wi-Fi WIDI,Performance,
wifi,P2P pairing failue between two PC since it doesnt start Auth to GO.,Connectivity,
wifi,"During test PC perform iperf download test occur reconnect 5G fail(F/R: 1/1u, 2/45C)",Connectivity,
wifi,"X13Gen6 BE201 frequently roams to low RSSI APs, causing slow Wi-Fi on Windows 11 24H2",Connectivity,
bt,BT headset sound output need 15S when perform BT on,Connectivity,
wifi,Laggy and blurry display when casting to 8K smart TV,Performance,
wifi,No EAPOL start during P2P pairing,Connectivity,Connect  BT headset failed due to authentication failure (0x05)
bt,Event log show ID:1820 with ibpci during S4 stress(F/R: 1/25 UUTs 1/75000 Cycles),Connectivity,
bt,"Cant adjust the volume via hotkey(F7/F8) after resume from S4/S5/Restart and then connect to ""Samsung-Galaxy Buds2 Pro BT LE audio headset  manually.",Power Consumption,
bt,"Cant connect to ""Samsung-Galaxy Buds2 Pro BT LE audio headset automatically after resume from S4/S5/restart.",Connectivity,
wifi,"Unit occurred a failed (WIFI) when run full (unattended) test in Lenovo Diagnostics tool.(F/R:1/4u,8/8cycles)",Connectivity,"X13Gen6 BE201 frequently roams to low RSSI APs, causing slow Wi-Fi on Windows 11 24H2"
bt,"EUT occur BSOD (bugcheck code:0x9F) w/o dump file when the Find & Select operation is performed on SampleHugeExcelData.xlsx during CPU stress testing with the TAT tool. (F/R:2/2 units, 3/3 total trials)",BSOD,
bt,Volume levels cant change when adjust volume via BT headset,System Hang,
wifi,Intermittent 0x7E BSOD during BitLocker activation on BE211 Wi-Fi with Win11 25H2,BSOD,
bt,"Stress_Wifi_S4, System event log show red color with Event ID 17(The local Bluetooth adapter has failed in an undetermined manner and will not be used). (F/R:2/25u,2/2500c)",Connectivity,
wifi,WRT tool SOP for capturing BT/WLAN logs at the same time,Connectivity,
wifi,Recoverable assert 0x85 occurred during customer daily work.,YB/Lost,
wifi,"The unit got ""0x9F"" BSOD during running WINPVT Wake-on-LAN Stress (S3S4S5+LAN_CHK_WOL.PVT) using LOM with IPV4/IPV6",BSOD,"Unit occurred a failed (WIFI) when run full (unattended) test in Lenovo Diagnostics tool.(F/R:1/4u,8/8cycles)"
wifi,Drop WiFi Connection.,Connectivity,
bt,HLK BLUETOOTH_UsbScoDataTransportLayer (Development and Integration),HLK,
wifi,WLAN get disconnected,Connectivity,Intermittent 0x7E BSOD during BitLocker activation on BE211 Wi-Fi with Win11 25H2
wifi,Recoverable Assert 0x4433 occurred when doing Warm Boot stress test,YB/Lost,
bt,Can not play file MP3 after link loss with Galaxy Buds3Pro,Connectivity,
bt,Bthmini showed error code 17 during S4 stress test (Tx timeout during init flow  + System Exception),Connectivity,Recoverable assert 0x85 occurred during customer daily work.
bt,BT control issue,Connectivity,"The unit got ""0x9F"" BSOD during running WINPVT Wake-on-LAN Stress (S3S4S5+LAN_CHK_WOL.PVT) using LOM with IPV4/IPV6"
bt,Stress_FB_System event log occur BthMini error(Event ID:17)(FR:21/30units),Connectivity,
wifi,WLAN Yellow Bang and incorrect Bluetooth status persist after reboot on Panther Lake (BE211),YB/Lost,
bt,Bluetooth driver missing,Connectivity,
bt,No audio output from Bluetooth headset after S4 resume,Connectivity,Recoverable Assert 0x4433 occurred when doing Warm Boot stress test
bt,WHQL BT test fail,HLK,
wifi,0x9F_3_NDIS!ndisWaitForKernelObject with AX211,BSOD,Bthmini showed error code 17 during S4 stress test (Tx timeout during init flow  + System Exception)
bt,BT will have device lost during S4 long run.,Connectivity,
wifi,DUT can be awakened when people is close to DUT,Connectivity,
bt,WHQL BT test fail,HLK,WLAN Yellow Bang and incorrect Bluetooth status persist after reboot on Panther Lake (BE211)
wifi,The softap cant support 5G channel with RU country,OEM Tools,
wifi,BSoD 0x9f (0x9F_3_Netwaw18_IMAGE_pci.sys) during stress Cold Boot Test,BSOD,No audio output from Bluetooth headset after S4 resume
wifi,wifi icon lost and the system hang when ESD test,System Hang,
wifi,T14SGEN6_ALLOY_LNL_WLAN_YB,YB/Lost,
wifi,"Intel WLAN is fail (BSoD IRQL_NOT_LESS_OR_EQUAL) during run cycle preload test. failure_bucket_id ""AV_Netwtw14!prvAmtWimaAgentJoinNicCompleteCb""",BSOD,BT will have device lost during S4 long run.
bt,Bluetooth mouse has poor tracking perfo,Connectivity,
wifi,event showed 5002/0x20 errors,YB/Lost,
bt,Alloy_Test_PLDR_have_YB_,YB/Lost,
bt,BT headset speaker not work(100%),Connectivity,BSoD 0x9f (0x9F_3_Netwaw18_IMAGE_pci.sys) during stress Cold Boot Test
wifi,"Event log shows 5002/5005/5007/5010 error during MS stress test(Fail rate 9/40units, 125cycles each unit)",YB/Lost,wifi icon lost and the system hang when ESD test
bt,"After changing the ""Night Sky / Dusk / Aquatic / Desert"" theme options under Settings > Accessibility > Contrast Themes, some information field border lines cannot be seen.",System Hang,
software,"Turn off Enabled Smart Access Point Selection then click reset all setting to default, the item still is off.",Killer,"Intel WLAN is fail (BSoD IRQL_NOT_LESS_OR_EQUAL) during run cycle preload test. failure_bucket_id ""AV_Netwtw14!prvAmtWimaAgentJoinNicCompleteCb"""
wifi,Wifi connection with some APs are unstable,Connectivity,
tools,5GHz ax 20MHz ch173 Power Lock Issue in DRTU,OEM Tools,
wifi,Rare BSOD 0x9F referencing NDIS/Netadapter during Stress_WB on Panther Lake Wi-Fi (driver 24.0.2.1),BSOD,
wifi,TM2_ARL_BE201_can_not_install_wlan_inf,Connectivity,
wifi,wifi yb&BT lost,YB/Lost,
wifi,P2P pairing failure since late probe request from Intel Wi-Fi,Connectivity,
bt,Game controller S4/Resume cant automatically connect,OEM Tools,"Turn off Enabled Smart Access Point Selection then click reset all setting to default, the item still is off."
software,ICPS can recognize non-Intel WWAN (Snapdragon X12 4G WWAN),ICPS,
software,The Wi-Fi Credential Prompter appears in the lower right corner of the screen,Killer,
bt,BT headset mic not work(100%),Connectivity,Rare BSOD 0x9F referencing NDIS/Netadapter during Stress_WB on Panther Lake Wi-Fi (driver 24.0.2.1)
