jira_id,ips_title,jira_component,human_category,label_source,pseudo_confidence,sample_weight,feature_text
WIFI-374628,[Samsung][RPL] System can not find 6Ghz mobile hotspot from mobile hotspot.,System->PHY,RF,component_to_category_100pct,1.00,0.90,[COMPONENT=System->PHY] [Samsung][RPL] System can not find 6Ghz mobile hotspot from mobile hotspot.
BT-358385,"[HP][Quanta]-[Trekker][PTL-H][Win11 24H2] BT headphone shows ""Connected"" not ""Connected mic,audio"" in PC settings after resume unit from S4 with BT headphone and BT mouse connected.(Intel BE211)",FW- Protocol -> ACL_LE,Connectivity,component_to_category_100pct,1.00,0.90,"[COMPONENT=FW- Protocol -> ACL_LE] [HP][Quanta]-[Trekker][PTL-H][Win11 24H2] BT headphone shows ""Connected"" not ""Connected mic,audio"" in PC settings after resume unit from S4 with BT headphone and BT mouse connected.(Intel BE211)"
WIFI-406607,[WiFi]Upload time is long when using file sharing with GfP2,WinDriver->Performance,Performance,component_to_category_100pct,1.00,0.90,[COMPONENT=WinDriver->Performance] [WiFi]Upload time is long when using file sharing with GfP2
BT-284698,BSOD 0x9F (ibtpci.sys) encountered during Memory Test on Thames-2 EEP with 23.70.3.1 and verifier = ENABLED (5/25 units),Host Windows- Driver->PCIe,YB/Lost,component_to_category_100pct,1.00,0.90,[COMPONENT=Host Windows- Driver->PCIe] BSOD 0x9F (ibtpci.sys) encountered during Memory Test on Thames-2 EEP with 23.70.3.1 and verifier = ENABLED (5/25 units)
WIFI-272654,"HP-SIP115149 - 450G9 /Intel WLAN AX211 error code 43 ,10 intermittently",FW->Data Path,YB/Lost,component_to_category_100pct,1.00,0.90,"[COMPONENT=FW->Data Path] HP-SIP115149 - 450G9 /Intel WLAN AX211 error code 43 ,10 intermittently"
WIFI-747508,[ASUS CCBU][ADL][BR1402FGA][AX201&AX211][v23.130.0.3 & 23.140.0.3&23.160.0.4] Intel WIFI will show Yellow bang after using for a while.,TOP->FW,YB/Lost,component_to_category_100pct,1.00,0.90,[COMPONENT=TOP->FW] [ASUS CCBU][ADL][BR1402FGA][AX201&AX211][v23.130.0.3 & 23.140.0.3&23.160.0.4] Intel WIFI will show Yellow bang after using for a while.
WIFI-742498,"[Lenovo_IdeaPad][Wenchang][LCFC][LNL][SIT][25H2][BE201]Intel Wi-Fi 7 BE201 show yellow bang when resume from MS.(F/R:1/2 units,2/40 cycles)",TOP->STEP,YB/Lost,component_to_category_100pct,1.00,0.90,"[COMPONENT=TOP->STEP] [Lenovo_IdeaPad][Wenchang][LCFC][LNL][SIT][25H2][BE201]Intel Wi-Fi 7 BE201 show yellow bang when resume from MS.(F/R:1/2 units,2/40 cycles)"
WIFI-459859,[Samsung][LNL][BE201] D1 BSoD.,WinDriver->Performance,Performance,component_to_category_100pct,1.00,0.90,[COMPONENT=WinDriver->Performance] [Samsung][LNL][BE201] D1 BSoD.
WIFI-474213,[lenovo_lnl_eiger2]BE201 device YB when Wi-Fi on/off,TOP->STEP,YB/Lost,component_to_category_100pct,1.00,0.90,[COMPONENT=TOP->STEP] [lenovo_lnl_eiger2]BE201 device YB when Wi-Fi on/off
WIFI-532614,"[ASUS_CCBU][ADL-N][9462][23.80.1.3][BR1402CGA] After connect with WPA3 AP, security type will downgrade to WPA2.",WinDriver->Connectivity,Connectivity,component_to_category_100pct,1.00,0.90,"[COMPONENT=WinDriver->Connectivity] [ASUS_CCBU][ADL-N][9462][23.80.1.3][BR1402CGA] After connect with WPA3 AP, security type will downgrade to WPA2."
WIFI-468802,[Samsung][LNL][BE201] 0x133 BSoD.,WinDriver->Performance,Performance,component_to_category_100pct,1.00,0.90,[COMPONENT=WinDriver->Performance] [Samsung][LNL][BE201] 0x133 BSoD.
WIFI-490254,[Samsung][ADL][AX211][P240619-04478] System disconnected from wireless AP suddenly.,WinDriver->WiFi Extensions,P2P,component_to_category_100pct,1.00,0.90,[COMPONENT=WinDriver->WiFi Extensions] [Samsung][ADL][AX211][P240619-04478] System disconnected from wireless AP suddenly.
WIFI-94421,[Huawei][Quanta][BohrM]/NobelM[Lucienne][AX200][20H2][WiFi] BSOD 0x7F(Netwtw10.sys).,WinDriver->Connectivity,Connectivity,component_to_category_100pct,1.00,0.90,[COMPONENT=WinDriver->Connectivity] [Huawei][Quanta][BohrM]/NobelM[Lucienne][AX200][20H2][WiFi] BSOD 0x7F(Netwtw10.sys).
WIFI-144825,"[Huawei][Quanta][H93U(EulerD)][AX201][20H2][WIFI][BUG-20210823-34559] The DUT connect to Internet , install IQIYI,  run STEPV3_20210720_Release-Stress_MultiMedia_00100, system meet BSOD 139 F/R:1/10 units",WinDriver->Connectivity,Connectivity,component_to_category_100pct,1.00,0.90,"[COMPONENT=WinDriver->Connectivity] [Huawei][Quanta][H93U(EulerD)][AX201][20H2][WIFI][BUG-20210823-34559] The DUT connect to Internet , install IQIYI,  run STEPV3_20210720_Release-Stress_MultiMedia_00100, system meet BSOD 139 F/R:1/10 units"
WIFI-218380,5GHz ch132 80MHz CAN'T be scanned by AX210 w/ MCC GB,WinDriver->Connectivity,Connectivity,component_to_category_100pct,1.00,0.90,[COMPONENT=WinDriver->Connectivity] 5GHz ch132 80MHz CAN'T be scanned by AX210 w/ MCC GB
WIFI-348112,WiFi disconnected when running YouTube live streaming and CPU burn-in test,System->MAC,YB/Lost,component_to_category_100pct,1.00,0.90,[COMPONENT=System->MAC] WiFi disconnected when running YouTube live streaming and CPU burn-in test
BT-204781,[ASUS/Commercial][PEGA][MTL][AX201][B5404CMA] BT lost while S4 cycling test,FW- Transport,YB/Lost,component_to_category_100pct,1.00,0.90,[COMPONENT=FW- Transport] [ASUS/Commercial][PEGA][MTL][AX201][B5404CMA] BT lost while S4 cycling test
WIFI-506182,[Samsung][LNL][BE201] 9F BSoD,WinDriver->Performance,Performance,component_to_category_100pct,1.00,0.90,[COMPONENT=WinDriver->Performance] [Samsung][LNL][BE201] 9F BSoD
WIFI-546204,[ARL+BE201] TP-link BE7200  connectivity issues,3rd Party->AP,Connectivity,component_to_category_100pct,1.00,0.90,[COMPONENT=3rd Party->AP] [ARL+BE201] TP-link BE7200  connectivity issues
WIFI-261661,RFQ HrP1 Throughput Evaluation...lower throughput (waterfall shift) at 5GHz AX 80MHz ch161 RX direction,FW->PHY,Performance,component_to_category_100pct,1.00,0.90,[COMPONENT=FW->PHY] RFQ HrP1 Throughput Evaluation...lower throughput (waterfall shift) at 5GHz AX 80MHz ch161 RX direction
BT-103015,"Huawei][Quanta][H9U][CurieF][AX211][21H2][BT][805755125] At 17:52-17:56 CurieF-win11 and Hongmeng 2.0 and Hongmeng 3.0 mobile phones failed to create a BR connection all the time. At 17:57, the BR connection was successfully established with Hongmeng 3.",FW- Protocol -> ACL_BR_EDR,Connectivity,component_to_category_100pct,1.00,0.90,"[COMPONENT=FW- Protocol -> ACL_BR_EDR] Huawei][Quanta][H9U][CurieF][AX211][21H2][BT][805755125] At 17:52-17:56 CurieF-win11 and Hongmeng 2.0 and Hongmeng 3.0 mobile phones failed to create a BR connection all the time. At 17:57, the BR connection was successfully established with Hongmeng 3."
WIFI-104037,[WW2-3 Alpha+ colocation](ADL-S CSLP)[DELL Corp. DT/D12 Kyoto-MTP/Wistron/ADL-S+Q670][Wi-Fi 6] AX201/AX211 device will YB after warm boot,System->MAC,YB/Lost,component_to_category_100pct,1.00,0.90,[COMPONENT=System->MAC] [WW2-3 Alpha+ colocation](ADL-S CSLP)[DELL Corp. DT/D12 Kyoto-MTP/Wistron/ADL-S+Q670][Wi-Fi 6] AX201/AX211 device will YB after warm boot
WIFI-96076,[Xiaomi][Inventec][A30/A31[TGL-H35][AX201][20H2] WHQL_System - PNP (disable and enable) with IO Before and After (Reliability) _BSOD (50) Netwtw10.sys,WinDriver->Connectivity,Connectivity,component_to_category_100pct,1.00,0.90,[COMPONENT=WinDriver->Connectivity] [Xiaomi][Inventec][A30/A31[TGL-H35][AX201][20H2] WHQL_System - PNP (disable and enable) with IO Before and After (Reliability) _BSOD (50) Netwtw10.sys
WIFI-526926,[Samsung][TGL][AX210][P241101-08558]P2P pairing failure between 2 PCs,WinDriver->WiFi Extensions,P2P,component_to_category_100pct,1.00,0.90,[COMPONENT=WinDriver->WiFi Extensions] [Samsung][TGL][AX210][P241101-08558]P2P pairing failure between 2 PCs
WIFI-317378,[MTL][AX211] Event Error ID 17 for IPF on systems after Hibernate / Resume test,WinDriver->System flows,YB/Lost,component_to_category_100pct,1.00,0.90,[COMPONENT=WinDriver->System flows] [MTL][AX211] Event Error ID 17 for IPF on systems after Hibernate / Resume test
WIFI-120669,[Lenovo-IdeaPad][LCFC][YogaS750-ACZ][20H2]AX200 device show yellow mark when connect to mobile hotspot.,WinDriver->Performance,Performance,component_to_category_100pct,1.00,0.90,[COMPONENT=WinDriver->Performance] [Lenovo-IdeaPad][LCFC][YogaS750-ACZ][20H2]AX200 device show yellow mark when connect to mobile hotspot.
WIFI-510091,[Lenovo_IdeaPad][Tianzhu 16][LCFC][SITT][24H2]WLAN show YB after testing BT PLDR (Product Reset)  several times. FR: 3/3 units,WinDriver->System flows,YB/Lost,component_to_category_100pct,1.00,0.90,[COMPONENT=WinDriver->System flows] [Lenovo_IdeaPad][Tianzhu 16][LCFC][SITT][24H2]WLAN show YB after testing BT PLDR (Product Reset)  several times. FR: 3/3 units
WIFI-303040,[IP3][Tigerlake]AX101 2.4GHz download speed not stable and assert 0x4444 after BT enable,FW->PHY,Performance,component_to_category_100pct,1.00,0.90,[COMPONENT=FW->PHY] [IP3][Tigerlake]AX101 2.4GHz download speed not stable and assert 0x4444 after BT enable
WIFI-308133,[MTL] No AP scanned when using BIOS with 3.2.22 UEFI FW intermittently,UEFIDriver,UEFI,component_to_category_100pct,1.00,0.90,[COMPONENT=UEFIDriver] [MTL] No AP scanned when using BIOS with 3.2.22 UEFI FW intermittently
BT-99082,[HP] Dogfood [Inertia][ADL][GFP2-AX211][Win11 22H2] No sound output from BT headphone when play local video or audio then drag progress bar with BT headphone and BT mouse connected.,FW- Coex,Performance,component_to_category_100pct,1.00,0.90,[COMPONENT=FW- Coex] [HP] Dogfood [Inertia][ADL][GFP2-AX211][Win11 22H2] No sound output from BT headphone when play local video or audio then drag progress bar with BT headphone and BT mouse connected.
WIFI-134173,[Huawei][Quanta][BohrM/NobelM[Lucienne][AX200][20H2][WiFi][804999575] Wifi auto disconnected and event ID shows 5010 Netwtw10 error.,WinDriver->Performance,Performance,component_to_category_100pct,1.00,0.90,[COMPONENT=WinDriver->Performance] [Huawei][Quanta][BohrM/NobelM[Lucienne][AX200][20H2][WiFi][804999575] Wifi auto disconnected and event ID shows 5010 Netwtw10 error.
WIFI-415653,"BSOD(Stop code: KMODE_EXCEPTION_NOT_HANDLED, BugCheck:1E) after S5",WinDriver->Performance,Performance,component_to_category_100pct,1.00,0.90,"[COMPONENT=WinDriver->Performance] BSOD(Stop code: KMODE_EXCEPTION_NOT_HANDLED, BugCheck:1E) after S5"
WIFI-253398,Intel AX101 throughput problem on 11an/11ac,3rd Party->AP,Connectivity,component_to_category_100pct,1.00,0.90,[COMPONENT=3rd Party->AP] Intel AX101 throughput problem on 11an/11ac
WIFI-115307,Connection failure with 11ax AP,3rd Party->AP,Connectivity,component_to_category_100pct,1.00,0.90,[COMPONENT=3rd Party->AP] Connection failure with 11ax AP
WIFI-460321,[Thames-2][Fmp2][Lunarlake] BSOD0xd1 pointing to WLAN,WinDriver->Connectivity,Connectivity,component_to_category_100pct,1.00,0.90,[COMPONENT=WinDriver->Connectivity] [Thames-2][Fmp2][Lunarlake] BSOD0xd1 pointing to WLAN
WIFI-327039,"[Samsung][P230711-05053] When running Chrome and playing YouTube on an extended monitor connected via Miracast to a Galaxy S8+, the Miracast connection is disconnected.",FW->Data Path,YB/Lost,component_to_category_100pct,1.00,0.90,"[COMPONENT=FW->Data Path] [Samsung][P230711-05053] When running Chrome and playing YouTube on an extended monitor connected via Miracast to a Galaxy S8+, the Miracast connection is disconnected."
WIFI-798451,[Lenovo][Foxconn][Thinkstation P5 Falcon][FHF(SPR)][BE200][Win11 25H2][100%]WiFi change device setting due to STATUS_DEVICE_POWER_FAILURE(code:10) Yellow bang.,WinDriver->System flows,YB/Lost,component_to_category_100pct,1.00,0.90,[COMPONENT=WinDriver->System flows] [Lenovo][Foxconn][Thinkstation P5 Falcon][FHF(SPR)][BE200][Win11 25H2][100%]WiFi change device setting due to STATUS_DEVICE_POWER_FAILURE(code:10) Yellow bang.
WIFI-117882,"[Lenovo IdeaPad][S760-14 AMD]  can't connect AP with ""WPA2 Enterprise"" EAP-TLS mode",WinDriver->Connectivity,Connectivity,component_to_category_100pct,1.00,0.90,"[COMPONENT=WinDriver->Connectivity] [Lenovo IdeaPad][S760-14 AMD]  can't connect AP with ""WPA2 Enterprise"" EAP-TLS mode"
WIFI-507218,"[Lenovo_IdeaPad][Wenchang][LCFC][LNL][SIT][24H2][BE201] Intel Wi-Fi 7 BE201 show yellow bang when resume from MS/S4/S5.(F/R: 1/2units, 3/24cycles).",TOP->STEP,YB/Lost,component_to_category_100pct,1.00,0.90,"[COMPONENT=TOP->STEP] [Lenovo_IdeaPad][Wenchang][LCFC][LNL][SIT][24H2][BE201] Intel Wi-Fi 7 BE201 show yellow bang when resume from MS/S4/S5.(F/R: 1/2units, 3/24cycles)."
WIFI-361696,[HP/Win11/MTL/GfP2][Inventec][Baymax][PV] WLAN device AX211 show YB after EFI to OS in RUNIN process,UEFIDriver,UEFI,component_to_category_100pct,1.00,0.90,[COMPONENT=UEFIDriver] [HP/Win11/MTL/GfP2][Inventec][Baymax][PV] WLAN device AX211 show YB after EFI to OS in RUNIN process
WIFI-351864,Dell][Compal]OasisMTL_SUT show couldnt connect monitor via miracast.,FW->Data Path,YB/Lost,component_to_category_100pct,1.00,0.90,[COMPONENT=FW->Data Path] Dell][Compal]OasisMTL_SUT show couldnt connect monitor via miracast.
WIFI-458492,[LG][16Z90SP][MTL/AX211/Win11 22H2] YB on Intel Wi-Fi AX211,TOP->FW,YB/Lost,component_to_category_100pct,1.00,0.90,[COMPONENT=TOP->FW] [LG][16Z90SP][MTL/AX211/Win11 22H2] YB on Intel Wi-Fi AX211
BT-79545,[Win11][CCP UART] LE mouse could not re-connected if leaving it alone 30+ minutes,FW- Transport,YB/Lost,component_to_category_100pct,1.00,0.90,[COMPONENT=FW- Transport] [Win11][CCP UART] LE mouse could not re-connected if leaving it alone 30+ minutes
BT-264484,Thames2 EEP/BE LNL:W11: BT device lost using 23.70.3.1 during MS with WINDBG=ON (100%FR),FW- Transport,YB/Lost,component_to_category_100pct,1.00,0.90,[COMPONENT=FW- Transport] Thames2 EEP/BE LNL:W11: BT device lost using 23.70.3.1 during MS with WINDBG=ON (100%FR)
WIFI-116061,[Samsung][Mars13] System can't receive file via 'Quick Share' app from specific mobile device.,WinDriver->WiFi Extensions,P2P,component_to_category_100pct,1.00,0.90,[COMPONENT=WinDriver->WiFi Extensions] [Samsung][Mars13] System can't receive file via 'Quick Share' app from specific mobile device.
WIFI-105376,[Huawei][Wingtech][CurieM][AMD Cezanne][AX200][20H2]The wireless will disconnect from AP during online video playing overnight.,3rd Party->AP,Connectivity,component_to_category_100pct,1.00,0.90,[COMPONENT=3rd Party->AP] [Huawei][Wingtech][CurieM][AMD Cezanne][AX200][20H2]The wireless will disconnect from AP during online video playing overnight.
WIFI-378380,[HP][Wistron][ 24C1_Nittany_RPL-UR][GaP2][Win11 23H2 Build 10.0.22631.2715] The SW/HW DRIPS <90% during System Modern Standby Connected Mode W/O AC (24hrs),WinDriver->System flows,YB/Lost,component_to_category_100pct,1.00,0.90,[COMPONENT=WinDriver->System flows] [HP][Wistron][ 24C1_Nittany_RPL-UR][GaP2][Win11 23H2 Build 10.0.22631.2715] The SW/HW DRIPS <90% during System Modern Standby Connected Mode W/O AC (24hrs)
WIFI-359833,"[HP][MTL-U][Sparty][GaP2] BSOD (0X7A,point to Netwaw14.sys) occurred during running Winpvt- Hibernation Focus + AC/DC Cycling",WinDriver->WiFi Extensions,P2P,component_to_category_100pct,1.00,0.90,"[COMPONENT=WinDriver->WiFi Extensions] [HP][MTL-U][Sparty][GaP2] BSOD (0X7A,point to Netwaw14.sys) occurred during running Winpvt- Hibernation Focus + AC/DC Cycling"
BT-96259,[LG][16Z90Q][ADL/AX211/Win11 21H2] Bluetooth PAN Throughput,FW- Protocol -> ACL_BR_EDR,Connectivity,component_to_category_100pct,1.00,0.90,[COMPONENT=FW- Protocol -> ACL_BR_EDR] [LG][16Z90Q][ADL/AX211/Win11 21H2] Bluetooth PAN Throughput
WIFI-143081,[ASUS PCBU][Customer Complaint Case][X571GT][Coffeelake H][9560][22.40.0.7]Unexpected yellow bang of the WLAN device at user experience,FW->PHY,Performance,component_to_category_100pct,1.00,0.90,[COMPONENT=FW->PHY] [ASUS PCBU][Customer Complaint Case][X571GT][Coffeelake H][9560][22.40.0.7]Unexpected yellow bang of the WLAN device at user experience
WIFI-150854,Wi-Fi connection timeout in DFS mode,WinDriver->Connectivity,Connectivity,component_to_category_100pct,1.00,0.90,[COMPONENT=WinDriver->Connectivity] Wi-Fi connection timeout in DFS mode
BT-41886,[Venus] [TGL+TyP] BT mouse not moving smoothly when use v22.60.0.6,FW- Protocol -> ACL_LE,Connectivity,component_to_category_100pct,1.00,0.90,[COMPONENT=FW- Protocol -> ACL_LE] [Venus] [TGL+TyP] BT mouse not moving smoothly when use v22.60.0.6
WIFI-324819,"[Wingtech][HUAWEI][DiracR][ADL-P][22H2] After DUT wakes up in S4, WiFi function fail, WIFI icon lost .",System->MAC,YB/Lost,component_to_category_100pct,1.00,0.90,"[COMPONENT=System->MAC] [Wingtech][HUAWEI][DiracR][ADL-P][22H2] After DUT wakes up in S4, WiFi function fail, WIFI icon lost ."
