ips_title,predicted_category,technology,human_category
BT MCC jump to 3030 due to Wi-Fi,Connectivity,wifi,YB/Lost
[Huawei][Wingtech][Dirac][Intel Tiger Lake UP4][AX201][21H2] [WIFI]Cannot switch to 5 G after the roaming switches to 2.4G,Roaming,WiFi,P2P
[Lenovo-Thinkpad][LCFC][Ax85_Ryzen]The wifi icon show red X after connecting with WIDI and clicking the wifi icon on task bar,Miracast,WiFi,P2P
"[Lenovo-ThinkPad E480E580][LCFC][Win10RS4]External monitor display is not synchronized with system when connect to wireless display, external monitor lag about 20s.",Miracast,WiFi,P2P
[lenovo_valkyrie] Wireless/WLAN  WoWLAN Wake Failure during s3/s4.,WowLAN,WiFi,WowLAN
PTL BE201 WiFi7 Throughput Tx Fail,Performance,WiFi,Performance
[ASUS-Gaming][GA503/GX551][AMD Cezanne][][AX200 22.0.0.6] Microsoft WiFi Direct driver YB issue on AMD Cezanne platform during aging test Frequent (20% - 90%),YB/Lost,WiFi,MSFT
"[Lenovo][AVC][WCL-H][BE213][Neo50q-7]BT headset connection bug 4/4Units,4/4cycle",Connectivity,BT,Connectivity
[Dell][Wistron][TGL-UP3][Hellcat] BT device yellow bang in device manager after S4 resume,YB/Lost,BT,YB/Lost
[Honor][LUX][Zhuque&Xuanwu][AX211][PTL][25H2]The wifi cant get internet,P2P,WiFi,Connectivity
"[Haier][Wingtech][G1][ADL-P][Ax210][21H2]With the PC connection to the WiFi for a long-time suspension test, the WLAN driver has a loss problem [3 / 3]",Connectivity,wifi,Connectivity
"[ThinkPad][X13 Gen6][ARL][BE201] ABB ""France"" Roaming Frequently Disconnect & Reconnect Issue",Roaming,WiFi,Roaming
[HUAWEI][HUAQIN][Harvey][AMD Renoir][Intel AX200][20H1]Video lag when SUT play video via Miracast projection screen to Xiaomi TV.,Miracast,WiFi,P2P
[Lenovo DT][M920][ECR467119][8265][Win7 32/64] Miracast connected display's delay time Test latency is over 200ms,Miracast,WiFi,P2P
[HP/SIO1663914][CFL/W10/22260] - [Comm Test][Intel CCP 22260][BPS][Intel CFL][Win10 RS4 17134][PV][WoWLAN] WoWLAN function can't work.,WowLAN,WiFi,WowLAN
[Lenovo-IdeaPad][LNL][QIXIA][win11][FVT][FmP][S790_15_LNL_FVT_HF_stress]WiFI 11ac throughput cannot pass lenovo spec,Performance,WiFi,Performance
[Lenovo_ThinkPad_JP][THAMES][MTL][GaP2] 11ac_80MHzBW_Ch.157_Rx low throughput,Performance,WiFi,Performance
"[Fujitsu]Yellow Bang and device lost on WLAN device, Bluetooth device lost",YB/Lost,WiFi,YB/Lost
