assignment,row_id,technology,ips_title,predicted_category,human_category,label_notes,risk_score,risk_reason
piece_07_of_07,1049,wifi,"Blackscreen during MS stress test and Dump point to ""WifiCx.sys"" (F/R: 2/2u; 2/10 c)",Connectivity,System Hang,,0,
piece_07_of_07,1286,wifi,Canot Miracast to project the screen to this device wirelessly,Connectivity,P2P,,1,no_digits
piece_07_of_07,3551,wifi,PPAG function doesnt work when countrycode is set to CB(China).,RF,BIOS,,3,generic:doesnt work;no_digits
piece_07_of_07,3813,tools,UEFI variable display in BIOS validation,UEFI,UEFI,,1,no_digits
piece_07_of_07,382,wifi,"SIO2437586:The ""UefiCnvWlanWTAS"" is not listed under the UEFI setting list.",Connectivity,UEFI,,0,
piece_07_of_07,2461,tools,Display issue on DRTU,OEM Tools,OEM Tools,,6,short<=28c;few_words<=5;generic:issue;no_digits
piece_07_of_07,766,wifi,[HONOR][HUAQIN][WCL][AX211][2230&1216][LvzhouD][[EVT][Schematic][#1],Connectivity,Layout,,3,few_words<=3
piece_07_of_07,2693,wifi,"resume from modern standby, system cannot open hotspot",Power Consumption,Extension,,1,no_digits
piece_07_of_07,2096,wifi,Biostool.exe does not show the parameters in UEFI data version 4,UEFI,OEM Tools,,0,
piece_07_of_07,2433,tools,Marginal issue failed on cnviRxClockDelayD0/1 and cnviRxClockDataD0/1,OEM Tools,OEM Tools,,2,generic:issue
piece_07_of_07,1429,wifi,S4 loop test BSOD 0x9Fdump file related to wifi,BSOD,BSOD,,0,
piece_07_of_07,2465,tools,cant run CITU tool to test CNVi normally,OEM Tools,OEM Tools,,3,generic:cant;no_digits
piece_07_of_07,531,wifi,Event ID: 5010 appeared in Event Viewer after install driver.,YB/Lost,YB/Lost,,0,
piece_07_of_07,3577,wifi,"FATAL_ERROR: uCode ASSERT(UMAC, rtStatus = 0x20101058, log is valid. data1 = 0xb, data2 = 0x0)",YB/Lost,YB/Lost,,2,generic:error
piece_07_of_07,3872,wifi,Signal strength become much lower during throughput measurement in 6GHz band,Performance,Performance,,0,
piece_07_of_07,2649,wifi,BSOD (0xD1),BSOD,BSOD,,6,very_short<=18c;few_words<=3
piece_07_of_07,58,wifi,WiFi throughput is slow when runnning on battery power with WiFi Sensing Enabled,Power Consumption,Performance,,1,no_digits
piece_07_of_07,1414,wifi,HP 3LS SIP126149 - EB 1040 G11(Ernesto MTL)/TSMC/GC/Intel AX211 Cannot find WiFi 6G issue/PCAPJ/TW,Connectivity,Connectivity,,2,generic:issue
piece_07_of_07,2528,wifi,"Ant tool request to add ""Group 4 to 8"" reading value Get Tx Power Delta Limits",Power Consumption,OEM Tools,,0,
piece_07_of_07,896,wifi,Simultaneous YB on WLAN and BT,YB/Lost,YB/Lost,,1,no_digits
piece_07_of_07,2245,wifi,BE201 BSOD 0x9F during S4 test,BSOD,BSOD,,0,
piece_07_of_07,792,wifi,Sonya12 WIFI layout check,Connectivity,Need-Triage,,3,short<=28c;few_words<=5
piece_07_of_07,516,wifi,"Stress-MS,System show Bluetooth related device lost and Intel(R) Dual Bluetooth(R) PCI Enumerator yellow bang in device manager.(F/R: 1/20u,1/2500c)",YB/Lost,YB/Lost,,0,
