assignment,row_id,technology,ips_title,predicted_category,human_category,label_notes,risk_score,risk_reason
piece_01_of_07,2168,wifi,"After bootup Notebook , moving from 24F to 30F intel office , very hard to WAL",Connectivity,Sensing,,0,
piece_01_of_07,1042,wifi,5010 Error,YB/Lost,YB/Lost,,8,very_short<=18c;few_words<=3;generic:error
piece_01_of_07,285,wifi,System fails to wake via WoA when Turn off my screen when I leave is disabled on Wi-Fi,Connectivity,Sensing,,3,generic:fail;no_digits
piece_01_of_07,3508,wifi,WiFi YB,YB/Lost,YB/Lost,,7,very_short<=18c;few_words<=3;no_digits
piece_01_of_07,2146,wifi,WLAN show YB on DeviceManager and event log show error by run S4 stress,YB/Lost,YB/Lost,,2,generic:error
piece_01_of_07,1547,wifi,How to close the access of channels 100~140 in WLAN 5G band in Indonesia,Connectivity,BIOS,,0,
piece_01_of_07,2838,wifi,AX201 wifi driver 802.11g throughputissue,Connectivity,Performance,,3,few_words<=5;generic:issue
piece_01_of_07,170,wifi,"Error Message:""PCI configuration change detected"" occurred when run vCosmos_WinPVT v11.16.0 Hibernation Functional Test.",System Hang,Platform,,2,generic:hang
piece_01_of_07,1438,wifi,Blue screen error,BSOD,BSOD,,9,very_short<=18c;few_words<=3;generic:error;no_digits
piece_01_of_07,329,wifi,BE211 transmission speed low(2515~2873Mbps Expect:>2.88Gbps) with WIFI 7 after PM operations,Connectivity,Performance,,0,
piece_01_of_07,2609,wifi,"Miracast connection fails on the INTEL module, but passes on the MTK module",Connectivity,Connectivity,,3,generic:fail;no_digits
piece_01_of_07,4088,wifi,Restricted mode long reconnection time after resume from sleep,Power Consumption,Connectivity,,1,no_digits
piece_01_of_07,919,wifi,MSFT HDE program test - device HLK-Wlan Test,HLK,HLK,,1,no_digits
