ips_title,predicted_category,technology,human_category
[Honor][Lux][zhuque][PTL]Device can only emit a 5G P2P within channel 149~165.,P2P,WiFi,P2P
[DELL][RPL][AX211] field issue that customer has roaming issue with CISCO AP(Japan),Roaming,WiFi,Roaming
[Samsung][RPL][AX211] Miracast connecting with samsung TV failed continuously 2-3 times in a row.,Miracast,WiFi,P2P
[Lenovo_Ideapad][Compal][S550-14][IIL][AX201/9560][19H2] DUT(AX201) didn?t find SUT(9560) in 'wireless display and audio device' list (AP connected on SUT(9560) ),Miracast,WiFi,P2P
"[HUAWEI][HUAQIN][MachD][Intel TGL][Intel AX201][20H1] Test WOL function fail and system lost ""power management"" option to check DM with AX201 wireless lan.",WowLAN,WiFi,WowLAN
[Lenovo-Ideapad][LCFC-HF][330-15/17ICH]Intel3165 11ac/11n conductive throughput test fail,Performance,WiFi,Performance
[Lenovo][Compal][L390][RPL-HX][AX203][Win11 22621.1778] Intel AX203 WLAN sometime show yellow bang in device manager while system idle or function testing.,YB/Lost,WiFi,YB/Lost
"[Lenovo_IdeaPad][LCFC][NVL-H][ Chaplin A1][26H1][EVT][BE211] BT HID device no function during normal use,FR: 1/2Units",YB/Lost,BT,Connectivity
[Xiaomi][PTL][AX211] P2P connection SCC iperf streaming failure.,Connectivity,BT,Connectivity
ECR615163[ITT:189236] [Lenovo RPL-S B660][SIT]Bluetooth LANs accept and send at speed below 1.0Mbps with Intel AX201 and AX211.,Performance,BT,Performance
"[Honor][LuxsharePC][ZhuqueC][Pre-MP][25H2]After reboot,bt icon disappeared",YB/Lost,BT,YB/Lost
"The manual reboot of the DC is significantly slower, taking approximately 30 to 40 seconds longer than other machines",Performance,bt,Performance
