ips_title,predicted_category,technology,human_category
[ASUS Gaming][RPL][AX211]2.4GHz Slow to Connect,Performance,WiFi,Performance
[Lenovo IdeaPad][Inhouse][S750-14Pro][TGL-U][20H1] BT mouse lag after idle,Performance,BT,Performance
"[HP][FXN][Mentali_SnowflakI][AX211]When playing local music and connecting another Bluetooth audio device, the music is delayed by about 20 seconds when output from the other Bluetooth audio device.",Performance,BT,Performance
[Lenovo-thinkbook][Compal][Titan V350][TGL][9560][20H1][100%] BT headset has lag when search other BT devices under PC settings /use several BT devices at the same time,Performance,BT,Performance
[ASUS in house]UEFI[AX201] WIFI download speed,Performance,WiFi,Performance
[H3C][Sixunited][LP88][LNL][BE200]WiFi disconnect and re-connected several times then show YB after connect to a specific AP,YB/Lost,WiFi,YB/Lost
[HP] - [Brighton 1.0][WHL][AX200 - 22260][RS5 17763] ? Winpvt reboot test got BT YB error code 10,YB/Lost,BT,YB/Lost
[ASUS PCBU][X3400PA][Tigerlake HU][JfP2/9560][v22.30.0.11]WLAN yellow bang while reboot aging,YB/Lost,WiFi,YB/Lost
[Lenovo IdeaPad][Compal][V350][TigerLake][AC9560/AX201][Win10][10%] BT lost(or yellow bang) during S4/CB.,YB/Lost,BT,YB/Lost
[Honor][Wingtechh][FermatB][ARL-H][BT][AX201][24H2]BT YB issue occurred during the S4 stress test  fail rate: 3/20U?1/3000C,YB/Lost,BT,YB/Lost
[Huawei][Quanta][WrightD][TGL-U][AX201][20H1][WiFi][BUG-20200922-10670-log] Wifi/BT device shows yellow bang after reboot OS then idle 2 min.,YB/Lost,WiFi,YB/Lost
"[HP][QTA][TDC][BNB_Wafer][ARL-H/U][Win11_24h2]:DM occur YB ""Unknown USB Device(Device Descriptor Request Failed)"" and BT lost when Run Robotic 7369B_ColdDockQuick with Hendrixx.(Gfp2_AX211)",YB/Lost,BT,YB/Lost
"[HP][Deso & Esa][PTL]the Bluetooth driver displays ""yellow bang""",YB/Lost,BT,YB/Lost
[ASUS PCBU][TGL][UX435EG][AX201]BT yellow bang(code 37) while reboot aging,YB/Lost,BT,YB/Lost
[Samsung][GB6-Ultra16] [PTL][WhP2] WLAN YB issue - Request to analyze Debug log,YB/Lost,WiFi,YB/Lost
