ips_case_number,customer,ips_customer_name,ips_oem,ips_owner_name,ips_title,ips_created_date,jira_id
1010492,CLEVO,CLEVO CO.,Dynabook Inc,Brenton Wu,[CLEVO][V740TUT1][V740TUT1_AX201_HEADSET_NO-MIC_AFTER_S4],2026-04-30 07:32:00,NA
1010398,CLEVO,CLEVO CO.,Clevo,Brenton Wu,V7xxYU BE211 WCL BT YB,2026-04-29 12:33:56,NA
1008970,VAIO,QUANTA COMPUTER INC.,VAIO,Brenton Wu,[WHQL][25H2] [BIOS R0070WC][HLK 26100.7705]Bluetooth - Audio - Voice interrupt m,2026-04-21 07:24:05,NA
1008847,NEC,"NEC PERSONAL COMPUTERS,LTD.",NEC,CHU-PING LEE,WPA3 Security of AC9260/AC9560,2026-04-20 11:22:41,NA
1008671,CLEVO,CLEVO CO.,Clevo,CHU-PING LEE,[CLEVO][LNL][BE201] Ultra 7 258V with BE201 WLAN device miss,2026-04-17 10:55:40,NA
1008516,NEC,"NEC PERSONAL COMPUTERS,LTD.",NEC,CHU-PING LEE,WPA2/WPA3 Enterprise connection,2026-04-16 12:21:17,NA
1007000,VAIO,VAIO Corporation,VAIO,CHU-PING LEE,[VAIO][RPL][AX211]PC Disconnects from Wireless AP,2026-04-08 02:20:18,NA
1006386,NEC,"NEC PERSONAL COMPUTERS,LTD.",NEC,CHU-PING LEE,[AX211][Field issue] The connection is sometimes suddenly disconnected.,2026-04-01 09:11:02,NA
1004536,ASROCK,ASROCK INC.,Other - OEM,WCS - Unassigned,[Asrock][Nova Lake S] 2026 WW11 BKC BT driver(2297_24.35.0.3) YB after reboot,2026-03-19 09:27:24,NA
1004461,MSI,"MICRO-STAR INTERNATIONAL CO., LTD.",MSI,CHU-PING LEE,[MSI][13Q4][WiFi Sensing] Wi-Fi Sensing does not work as expected,2026-03-19 05:51:56,NA
1004180,VAIO,VAIO Corporation,VAIO,CHU-PING LEE,"[VAIO][MTL + AX211,RPL + AX203]Wi-Fi Network disconnect",2026-03-18 02:21:26,NA
1003737,WIKO,LONGCHEER,WIKO,Bingyue Sun,[WIKO][Longcheer][MarseilleJ][Win11][Intel-PTL][AX211][BT]It occured 0x9F BSOD which point to iBtPciBus\HCIH4 when delete bluetooth drivers.,2026-03-16 04:39:35,NA
1003693,WIKO,LONGCHEER,WIKO,Bingyue Sun,[WIKO][Longcheer][MarseilleJ][Win11][Intel-PTL][AX211][BT]BLE bluetooth mouse reconnection time after restart is double times than MarseilleI.,2026-03-14 09:45:26,NA
1003640,MSI,"COMPAL ELECTRONICS, INC.",MSI,CHU-PING LEE,[MSI] [Compal][MS-14U3/MS-26U3][Wildcat Lake] [AX211][Win11]2.4G/5G Air T-put Fail,2026-03-13 09:44:33,NA
1003411,WIKO,LONGCHEER,WIKO,Bingyue Sun,[WIKO][Longcheer][MarseilleJ][Win11][Intel-PTL][AX211][BT]Can not obtain wiko interface when multi-screen collaboration.,2026-03-12 06:48:15,NA
1002591,VAIO,VAIO Corporation,VAIO,CHU-PING LEE,Network disconnects intermittently when 802.11r is enabled,2026-03-09 01:07:08,NA
1002353,WIKO,LONGCHEER,WIKO,Zhiqiang Cai,[WIKO][Longcheer][MarseilleJ][Win11][Intel-PTL][AX211][WiFi]Connect 2.4G WiFi fail.,2026-03-05 08:59:04,NA
1001960,CLEVO,CLEVO CO.,Other - OEM,Steven ZY Chen,Clevo_ARL-HX&Refresh_TA_873917_Bluetooth Device is Lost in S4 Cycling Test,2026-03-04 01:47:42,NA
1001795,VAIO,QUANTA COMPUTER INC.,VAIO,WCS - Unassigned,[VAIO][Quanta][PTL][SPKZ][WHQL][BE211] BT connectivity test failed items,2026-03-03 09:31:05,NA
1000005,CLEVO,CLEVO CO.,Other - OEM,Steven ZY Chen,V740TU_AX101_BT_YB_CONTINUALLY,2026-02-11 08:37:42,NA
999686,MSI,"COMPAL ELECTRONICS, INC.",MSI,Wesley Kuo,[MSI][Compal][LMMIC_LMMID][WCL]HLK-Bluetooth - NonUsbUsesMicrosoftStack1,2026-02-10 08:48:49,NA
999632,RAZER,BYD COMPANY LIMITED,Other - OEM,Zhiqiang Cai,[Razer][BYD][PTL-H][Sonya12]Reboot BSOD 0x133,2026-02-10 05:48:32,NA
998474,WIKO,"SHENZHEN BITLAND INFORMATION TECHNOLOGYCO., LTD.",WIKO,Bingyue Sun,[Wiko][DumasHz][RPL-R][AX201][BT]Bluetooth transfer speed is slow,2026-02-02 09:34:57,NA
998397,WIKO,"SHENZHEN BITLAND INFORMATION TECHNOLOGYCO., LTD.",WIKO,Bingyue Sun,[Wiko][DumasHz][RPL-R][AX201][BT] Bluetooth mouse connection failed,2026-02-02 03:16:54,NA
997692,MSI,"MICRO-STAR INTERNATIONAL CO., LTD.",MSI,Wesley Kuo,[MSI_B211_PTL-4Xe_wifi 7] BT unstable issue,2026-01-28 02:38:48,NA
996722,RAZER,BYD COMPANY LIMITED,Other - OEM,Zhiqiang Cai,[Razer][BYD][S12][PTL-H][BE213][SAR]Sar cannot be set.,2026-01-21 05:55:56,NA
996591,VAIO,VAIO Corporation,VAIO,Leo Chiang,"[PTL+BE211]After the LE Audio device is disconnected once and then reconnected, the music does not play.",2026-01-20 10:12:09,NA
996529,RAZER,BYD COMPANY LIMITED,Other - OEM,WCS - Unassigned,[Razer][BYD][S12][PTL-H][BE213][Ubuntu][BT] How to install BT FW on Ubuntu?,2026-01-20 06:08:16,NA
995925,WIKO,LONGCHEER,WIKO,Zhiqiang Cai,[WIKO][LC][MarseilleJ][Win11][AX211][WiFi]Please help to check the log of WiFi Sensing function.,2026-01-15 06:14:06,NA
995670,VAIO,VAIO Corporation,VAIO,Leo Chiang,Dual BT does not work,2026-01-13 11:18:23,NA
995262,WIKO,LONGCHEER,WIKO,Bingyue Sun,[WIKO][LC][MarseilleJ][Win11][AX211][BT]Please help to check the log of ibtWikoCfaFeatureExt driver.,2026-01-09 07:25:29,NA
994719,MSI,"MICRO-STAR INTERNATIONAL CO., LTD.",MSI,WCS - Unassigned,[MSI][7E99][NVL] Inquiry on CNVIO3 Trace Length Specification and Validation App,2026-01-07 09:17:31,NA
992391,ASROCK,ASROCK INC.,Other - OEM,WCS - Unassigned,[Asrock][Arrow Lake S][Z890]  wifi performance degrade with WW47 BKC wifi driver,2025-12-19 04:05:33,NA
992209,WIKO,LONGCHEER,WIKO,Bingyue Sun,[WIKO][LC][MarseilleJ][Win11][AX211][BT]Please help to privide ibtXXXCfaFeatureE driver.,2025-12-18 03:33:06,NA
992206,MSI,"MICRO-STAR INTERNATIONAL CO., LTD.",MSI,Wesley Kuo,[MSI][ARL-R][MS-1841-R]Unnecessary BT LE Sideband device and YB,2025-12-18 03:19:57,NA
991694,CLEVO,CLEVO CO.,Clevo,CHU-PING LEE,NP50RW NB  playing MV lag during Wi-Fi WIDI,2025-12-15 06:57:28,NA
990470,VAIO,VAIO Corporation,VAIO,CHU-PING LEE,[VAIO][RPL-R][AX211] The result values in Wi-Fi PLDR verification of WRT are not as expected.,2025-12-04 07:36:41,NA
990016,CLEVO,CLEVO CO.,Clevo,CHU-PING LEE,Clevo_RPL-U_V830AU_RVP_AX211_Wi-Fi_PLDR_Failed,2025-12-02 03:29:16,NA
989771,CLEVO,CLEVO CO.,Other - OEM,CHU-PING LEE,V260TNxAPEXAX210WIFIYB,2025-12-01 10:00:43,NA
989272,CLEVO,CLEVO CO.,Clevo,Steven ZY Chen,Clevo_LNL_L2xxLU_HLK_CIS Establishment test error,2025-11-27 02:00:25,NA
989122,CLEVO,CLEVO CO.,Clevo,CHU-PING LEE,Clevo_RPL-U & Refresh_NJxxAW_RTC WAKE _AX201_Wi-Fi YB issue,2025-11-26 06:36:00,NA
987540,MSI,"MICRO-STAR INTERNATIONAL CO., LTD.",MSI,CHU-PING LEE,[MSI_PTL-H] BE211 & BE213 wifi device show yellow mark,2025-11-17 08:30:27,NA
986825,CLEVO,CLEVO CO.,Clevo,CHU-PING LEE,BE211 connect different AP MLO no internet,2025-11-12 08:09:14,NA
986402,CLEVO,CLEVO CO.,Clevo,WCS - Unassigned,PTL-H BT audio offload,2025-11-10 07:39:52,NA
986391,MSI,"MICRO-STAR INTERNATIONAL CO., LTD.",MSI,CHU-PING LEE,[Intel/Commercial][Internal][BE201] Help verify the correctness of the JSON file,2025-11-10 07:21:32,NA
986129,ASROCK,ASROCK INC.,Other - OEM,WCS - Unassigned,CNVi module BE211 yellow bang in device manager in NVL-S platform,2025-11-07 06:16:23,NA
986092,CLEVO,CLEVO CO.,Other - OEM,CHU-PING LEE,S3 WAKE ON WLAN,2025-11-07 02:45:56,NA
985673,MSI,"MICRO-STAR INTERNATIONAL CO., LTD.",MSI,WCS - Unassigned,How to set the UATS table settings? Are there any tools?,2025-11-05 06:27:16,NA
985643,MSI,"MICRO-STAR INTERNATIONAL CO., LTD.",MSI,WCS - Unassigned,[MSI][MS-2622] Use WRT tool to check BIOS Value show error.,2025-11-05 03:08:29,NA
984768,CLEVO,CLEVO CO.,Other - OEM,CHU-PING LEE,[CLEVO][AMD][AX210]V265KNN1_WLAN_YB_AFTER_PLAY_ONLINE-GAME_APEX-LEGAND,2025-11-01 04:05:01,NA
984223,MSI,"MICRO-STAR INTERNATIONAL CO., LTD.",MSI,Wesley Kuo,[MS-14T2] [24.0.0.2 with 24.10.0.1 DRTU tool BT and not turn on],2025-10-29 07:51:12,NA
983979,WIKO,"Huaqin Technology Co., Ltd",WIKO,WCS - Unassigned,[Wiko][NiceI][RPL][AX201]Problem of failed Miracast wireless connection from PC to smart TV(6/10).,2025-10-28 07:54:56,NA
983037,MSI,"MICRO-STAR INTERNATIONAL CO., LTD.",MSI,WCS - Unassigned,[MS-14T2] [DRTU show error],2025-10-22 01:16:24,NA
982304,VAIO,VAIO Corporation,VAIO,CHU-PING LEE,"[VAIO]When the Trend Micro software is installed, Wi-Fi PLDR event occurs during Mods, and the WLAN device disappears after resuming from Mods.",2025-10-17 08:43:21,NA
980796,VAIO,VAIO Corporation,VAIO,Jt Tsao,"[VAIO][MTL]When connecting to a 6GHz AP, UHB is being used for SPD.",2025-10-08 08:27:37,NA
980789,CLEVO,CLEVO CO.,Other - OEM,CHU-PING LEE,"AX211S3,Wake On Wirelan Random",2025-10-08 07:37:24,NA
979999,NEC,"NEC PERSONAL COMPUTERS,LTD.",NEC,WCS - Unassigned,Intel AX211 dimensions and tolerances,2025-10-01 10:07:12,NA
979478,MSI,"MICRO-STAR INTERNATIONAL CO., LTD.",MSI,Wesley Kuo,"[MS-14T2] Verify Bluetooth HID, A2DP, HFP, LE audio voice call work concurrently",2025-09-30 01:32:23,NA
979475,MSI,"MICRO-STAR INTERNATIONAL CO., LTD.",MSI,Wesley Kuo,[MS-14T2][WW38/39][verify Teams Video call with volume change],2025-09-30 01:24:31,NA
979474,MSI,"MICRO-STAR INTERNATIONAL CO., LTD.",MSI,Wesley Kuo,MS-14T2][WW38/39][BT LE Audio fail],2025-09-30 01:20:31,NA
978191,CLEVO,CLEVO CO.,Other - OEM,Steven ZY Chen,BTS4,2025-09-22 08:37:11,NA
973588,VAIO,VAIO Corporation,VAIO,CHU-PING LEE,about DRS is enable or not with JP VLP setting,2025-08-26 03:33:38,NA
970863,CLEVO,CLEVO CO.,Other - OEM,CHU-PING LEE,Clevo_RPL-HX_V3xxSNP_AX210 Wake on WLAN fails on 6 GHz band,2025-08-08 01:33:19,NA
970486,MSI,"MICRO-STAR INTERNATIONAL CO., LTD.",MSI,CHU-PING LEE,[MSI_B922] cannot connect to hotspot 6Ghz by Samsung S25,2025-08-06 06:56:04,NA
968887,GIGABYTE,"GIGA-BYTE TECHNOLOGY CO., LTD.",Gigabyte,Leo Chiang,Wireless Module AX210NGW Bluetooth Driver version issue,2025-07-29 02:14:08,NA
965464,MSI,"COMPAL ELECTRONICS, INC.",MSI,CHU-PING LEE,[Modern MS-13S1/14S1/15S1][RPL][24H2] Run stress Cold boot will wake up early,2025-07-10 01:41:56,NA
964871,MSI,"MICRO-STAR INTERNATIONAL CO., LTD.",MSI,Charles P Chu,[MSI][14T2][PTL]verify Teams Video call with volume change,2025-07-08 00:40:30,NA
958723,CLEVO,CLEVO CO.,Clevo,CHU-PING LEE,[CLEVO][X580WNT][ARL-HX][BE200] Device Lost issue - 0x152e,2025-06-02 09:40:14,NA
958101,WIKO,LONGCHEER,WIKO,Bingyue Sun,[WIKO][LC][MarseilleI][ARL-AX201][PVT][24H2]The BSOD (0x1e)cured whenBios flashing process,2025-05-28 09:57:10,NA
957783,WIKO,LONGCHEER,WIKO,Bingyue Sun,"[WIKO][LC][MarseilleI][ARL-AX201][DVT2][24H2]After connecting the Bluetooth headset, it cannot be reconnected by pulling and sawing",2025-05-27 02:08:39,NA
957451,CLEVO,CLEVO CO.,Other - OEM,WCS - Unassigned,[Clevo][ARL-H][BE200][V5xxTU] No Sound Output When BE200 Connects to Bluetooth H,2025-05-23 07:19:19,NA
956339,MSI,"MICRO-STAR INTERNATIONAL CO., LTD.",MSI,Wesley Kuo,[15M/15P4][Arrow Lake]Cannot record voice from Bluetooths Microphone,2025-05-19 06:29:15,NA
955065,WIKO,"Huaqin Technology Co., Ltd",WIKO,Zhiwei He,[WIKO][HUAQIN][LyonI][Intel RPL-R][Intel AX201][WiFi][Win11]Cannot setting country code via Intel ant tool.,2025-05-10 06:27:44,NA
955064,WIKO,"Huaqin Technology Co., Ltd",WIKO,Zhiwei He,[WIKO][HUAQIN][LyonI][Intel RPL-R][Intel AX201][WiFi][Win11]5G hotspots cannot be shared.,2025-05-10 06:25:55,NA
955063,WIKO,"Huaqin Technology Co., Ltd",WIKO,Zhiwei He,[WIKO][HUAQIN][LyonI][Intel RPL-R][Intel AX201][WiFi][Win11]System will disconnect when system occur 4003 error.,2025-05-10 06:23:52,NA
955062,WIKO,"Huaqin Technology Co., Ltd",WIKO,Zhiwei He,[WIKO][HUAQIN][LyonI][Intel RPL-R][Intel AX201][WiFi][Win11]Play video very lag via Miracast to XiaomiTV.,2025-05-10 06:21:40,NA
954988,VAIO,VAIO Corporation,VAIO,CHU-PING LEE,Low Throughput Issue with Driver ver.23.120.0.3 or later,2025-05-09 08:15:41,NA
954540,WIKO,LONGCHEER,WIKO,Bingyue Sun,"[WIKO][LC][MarseilleI][ARL-AX201][DVT2][24H2]The headset reconnected fail and show ""DUT indicates that this item does not work. Please make sure your Bluetooth device can still detect it and then try again""",2025-05-07 11:14:46,NA
954196,MSI,"MICRO-STAR INTERNATIONAL CO., LTD.",MSI,KJ Fang,[MSI CND][LNL][MS-B206] The system needs 1~2 minutes to be entered to Modern Sta,2025-05-06 06:15:42,NA
953226,WIKO,LONGCHEER,WIKO,Bingyue Sun,[WIKO][LC][MarseilleI][ARL-AX201][DVT1][24H2]The mouse status quickly switched after update OS KB,2025-04-29 02:24:54,NA
952986,WIKO,"Huaqin Technology Co., Ltd",WIKO,Zhiwei He,[WIKO][HUAQIN][NiceI][Intel RPL-R][Intel AX201][WiFi][Win11]Cannot setting country code via Intel ant tool.,2025-04-28 02:29:23,NA
952984,WIKO,"Huaqin Technology Co., Ltd",WIKO,Zhiwei He,[WIKO][HUAQIN][NiceI][Intel RPL-R][Intel AX201][WiFi][Win11]5G hotspots cannot be shared.,2025-04-28 02:27:24,NA
952981,WIKO,"Huaqin Technology Co., Ltd",WIKO,Zhiwei He,[WIKO][HUAQIN][NiceI][Intel RPL-R][Intel AX201][WiFi][Win11]System will disconnect when system occur 4003 error.,2025-04-28 02:22:40,NA
952979,WIKO,"Huaqin Technology Co., Ltd",WIKO,Zhiwei He,[WIKO][HUAQIN][NiceI][Intel RPL-R][Intel AX201][WiFi][Win11]Play video very lag via Miracast to XiaomiTV.,2025-04-28 02:19:50,NA
952792,WIKO,LONGCHEER,WIKO,Bingyue Sun,[WIKO][LC][MarseilleI][ARL-AX201][DVT1][24H2]The mouse quickly paired failed,2025-04-25 08:59:39,NA
951215,WIKO,LONGCHEER,WIKO,Bingyue Sun,[WIKO][LC][MarseilleI][ARL-AX201][DVT1][24H2]BT YB(code 10)  after turn off wifi,2025-04-17 11:43:05,NA
950714,WIKO,LONGCHEER,WIKO,Bingyue Sun,[WIKO][LC][MarseilleI][ARL-AX201][DVT1][24H2]BT will reset after connected BT headset,2025-04-15 09:07:04,NA
950708,WIKO,LONGCHEER,WIKO,WCS - Unassigned,[WIKO][LC][MarseilleI][ARL-AX201][DVT1][24H2]BT rest after connected BT headset,2025-04-15 09:00:21,NA
950516,WIKO,LONGCHEER,WIKO,Bingyue Sun,[WIKO][LC][MarseilleI][ARL-AX201][DVT1][24H2]No sound out put After connected  BT earphone (Airpods4),2025-04-14 12:34:29,NA
950508,WIKO,LONGCHEER,WIKO,Bingyue Sun,[WIKO][LC][MarseilleI][ARL-AX201][DVT1][24H2]FreeBuds Pro 3 Show the connected microphone and output music from the unit speaker.,2025-04-14 11:24:33,NA
950419,WIKO,LONGCHEER,WIKO,Bingyue Sun,[WIKO][LC][MarseilleI][ARL-AX201][DVT1][24H2]The BT earphone (Airpods4) sound lag 5s and then no sound output,2025-04-14 06:20:36,NA
949944,MSI,"MICRO-STAR INTERNATIONAL CO., LTD.",MSI,Charles P Chu,The system is connected to a Wireless Display TV and the video playback is stuck or Screen freezes,2025-04-10 07:00:05,NA
949759,CLEVO,CLEVO CO.,Other - OEM,WCS - Unassigned,Clevo_V3xxSNR_RPL-HX_Miracast Stuttering Issue,2025-04-09 09:01:55,NA
949661,WIKO,LONGCHEER,WIKO,Bingyue Sun,"[WIKO][LC][MarseilleI][DVT1] When the mouse or keyboard is paired with the units,  prompt ""Connection failed, please try to connect again""",2025-04-09 03:19:42,NA
949271,WIKO,LONGCHEER,WIKO,Bingyue Sun,The BT earphone (Airpods4) sound lag 5s and  then no sound output,2025-04-07 08:49:43,NA
947419,WIKO,LONGCHEER,WIKO,Bingyue Sun,[WIKO][LC][MarseilleI][DVT1] The BT earphone auto disconnected when play local music by media player,2025-04-02 10:05:42,NA
947318,WIKO,LONGCHEER,WIKO,Bingyue Sun,[WIKO][LC][MarseilleI][DVT1]The unit show BSOD when disconnected BT earphone,2025-04-02 03:57:58,NA
947313,WIKO,LONGCHEER,WIKO,WCS - Unassigned,[WIKO][LC][MarseilleI][DVT1]The unit show BSOD when disconnected BT earphone,2025-04-02 03:45:01,NA
947269,WIKO,LONGCHEER,WIKO,Zhiwei He,"[WIKO][LC][MarseilleI][DVT1]After the unit connect to monitor by  mircast,the sound will lag when play local video",2025-04-02 01:25:14,NA
944692,CLEVO,CLEVO CO.,Other - OEM,WCS - Unassigned,Clevo_X3xxSNx/WNx_RPL-HX_ BT Headset S4 Resume issue,2025-03-18 09:39:59,NA
944369,VAIO,VAIO Corporation,VAIO,Charles P Chu,"When 6GHz is enabled, the detection distance is sometimes extremely short (30-50cm) for a while after booting.",2025-03-17 06:44:28,NA
943042,CLEVO,CLEVO CO.,Acer,CHU-PING LEE,V270ENN_AX210_PING-LOSS_OVER_SPEC,2025-03-10 07:24:30,NA
941590,CLEVO,CLEVO CO.,Other - OEM,Bing Huan Chang,Clevo_X560WNx_ARL-HX_ Audio offload Sound issues,2025-03-03 03:55:04,NA
941253,CLEVO,CLEVO CO.,Other - OEM,CHU-PING LEE,NB cannot enter S3 mode,2025-02-27 07:41:27,NA
941196,CLEVO,CLEVO CO.,Other - OEM,Bing Huan Chang,Bluetooth headset is 3 meters away and the sound is lag,2025-02-27 03:40:31,NA
940923,CLEVO,CLEVO CO.,Other - OEM,Bing Huan Chang,Blue screen after connecting Bluetooth speaker to S3,2025-02-26 08:32:32,NA
940260,CLEVO,CLEVO CO.,Other - OEM,WCS - Unassigned,Clevo_X560WNx_ARL-HX_AX201 Bluetooth Icon Disappears from System Tray,2025-02-24 02:01:01,NA
939076,NEC,"NEC PERSONAL COMPUTERS,LTD.",NEC,CHU-PING LEE,[Intel AX211][Field issue] Sometimes the connection is disconnected during VDI,2025-02-17 06:10:52,NA
938755,CLEVO,CLEVO CO.,Other - OEM,WCS - Unassigned,Clevo_X560WNx_ARL-HX_AX201 WLAN Live Streaming Disconnection,2025-02-14 01:38:54,NA
938696,CLEVO,CLEVO CO.,Other - OEM,WCS - Unassigned,Clevo_X560WNx_ARL-HX_AX201 WiFi connect issues,2025-02-13 13:45:29,NA
938587,CLEVO,CLEVO CO.,Other - OEM,KJ Fang,Miracast abnormal,2025-02-13 07:31:20,NA
938467,VAIO,VAIO Corporation,VAIO,Charles P Chu,[VAIO][RPL]PC repeatedly sleeps and wakes up even if there is no movement around the PC.,2025-02-13 01:04:18,NA
938459,VAIO,VAIO Corporation,VAIO,CHU-PING LEE,Abnormal shutdown occurs during system idle (only on Wi-Fi sensing enabled SKUes),2025-02-13 00:46:54,NA
937471,CLEVO,CLEVO CO.,Other - OEM,WCS - Unassigned,Bluetooth headset does not find input device,2025-02-07 02:21:13,NA
936918,CLEVO,CLEVO CO.,Other - OEM,CHU-PING LEE,Killer Intelligence Center Smart AP issues,2025-02-05 12:26:37,NA
935353,CLEVO,CLEVO CO.,Other - OEM,YING-CHIH FAN,killer suit/killer center install fail,2025-01-23 08:49:46,NA
935344,CLEVO,CLEVO CO.,Other - OEM,CHU-PING LEE,Intel Wireless display (WIDI) flicker issue,2025-01-23 08:29:49,NA
935052,ASROCK,ASROCK INC.,Other - OEM,WCS - Unassigned,AX411 support on Arrow lake-U/H,2025-01-22 03:01:16,NA
934704,MSI,"MICRO-STAR INTERNATIONAL CO., LTD.",MSI,Charles P Chu,"After Burn in test*24H test, the Killer BE1750 & BE1750(x) WIFI device be YB",2025-01-20 07:40:23,NA
934517,CLEVO,CLEVO CO.,Other - OEM,Bing Huan Chang,ARL-HX _ BE200BE1750x Connect BT Headset no sound,2025-01-17 11:39:02,NA
934426,CLEVO,CLEVO CO.,Other - OEM,Bing Huan Chang,BT S4 Device Manage Bluetooth show yellow bang,2025-01-17 05:34:05,NA
934401,MSI,"MICRO-STAR INTERNATIONAL CO., LTD.",MSI,Charles P Chu,[MSI][7E07][Z790] Killer BE1750X disconnected when enters S3 then returns to S0,2025-01-17 02:52:16,NA
934388,WIKO,"Huaqin Technology Co., Ltd",WIKO,Bingyue Sun,[WIKO][HUAQIN][NiceI][Intel RPL-R][Intel AX201][BT][Win11 24H2]Bluetooth devices will disconnect automatically in ten seconds after connected.,2025-01-17 02:06:52,NA
934281,WIKO,"Huaqin Technology Co., Ltd",WIKO,Bingyue Sun,[WIKO][HUAQIN][NiceI][Intel RPL-R][Intel AX201][BT][Win11 24H2]The bluetooth headset can not reconnect automatically after reopen bluetooth switch.,2025-01-16 09:28:34,NA
933474,MSI,"MICRO-STAR INTERNATIONAL CO., LTD.",MSI,Charles P Chu,[MSI][7E07][Z790] Killer BE1750X disappears from Device Manager,2025-01-13 03:47:29,NA
933131,CLEVO,CLEVO CO.,Other - OEM,Bing Huan Chang,Bluetooth volume has no memory effect,2025-01-10 02:17:50,NA
932520,WIKO,"Huaqin Technology Co., Ltd",WIKO,Zhiwei He,[WIKO][Huaqin][NiceI][Win11][AX201]PPAG disable can not work.,2025-01-07 12:09:32,NA
931182,CLEVO,CLEVO CO.,Other - OEM,KJ Fang,NB WIFI mutual ping losted packets,2024-12-30 02:22:03,NA
928363,ASROCK,ASROCK INC.,Other - OEM,Ingrid Shih,"Cannot detect WiFi card ""BE200"" on AMD platform",2024-12-12 07:00:24,NA
927780,VAIO,QUANTA COMPUTER INC.,VAIO,Charles P Chu,"[Quanta][VAIO][RPL-U Refresh][TRB][Wi-Fi Sensing][Win11] During turn on the WAL function, the PC wake up even if there is no movement around the PC",2024-12-11 01:53:02,NA
925269,MSI,"MICRO-STAR INTERNATIONAL CO., LTD.",MSI,Zhiqiang Cai,"[MSI CND] Wi-Fi connection type of OS Task Manager shows ""802.11ax"" even we conn",2024-11-29 02:34:56,NA
924804,MSI,"MICRO-STAR INTERNATIONAL CO., LTD.",MSI,Wesley Kuo,[MS-1824_ARL-HX] BT SAR definition in CnvUefiConfigVariablesVer2.c,2024-11-27 07:52:32,NA
924783,MSI,"MICRO-STAR INTERNATIONAL CO., LTD.",MSI,WCS - Unassigned,[MS-1824_ARL-HX] BT SAR definition in CnvUefiConfigVariablesVer2.c,2024-11-27 06:59:20,NA
923096,CLEVO,CLEVO CO.,Other - OEM,Richard Yang,killer center can not install,2024-11-20 01:47:09,NA
922655,NEC,"NEC PERSONAL COMPUTERS,LTD.",NEC,WCS - Unassigned,Bluetooth Qualification,2024-11-18 09:44:59,NA
920521,WIKO,"Huaqin Technology Co., Ltd",Other - OEM,Zhiwei He,[WIKO][HUAQIN][MarseilleH][Intel MTL][Intel AX201][WiFi][Win11]Cannot setting country code via Intel ant tool.,2024-11-07 08:23:27,NA
920520,WIKO,"Huaqin Technology Co., Ltd",Other - OEM,Zhiwei He,[WIKO][HUAQIN][MarseilleH][Intel MTL][Intel AX201][WiFi][Win11]5G hotspots cannot be shared.,2024-11-07 08:21:39,NA
920518,WIKO,"Huaqin Technology Co., Ltd",Other - OEM,Zhiwei He,[WIKO][HUAQIN][MarseilleH][Intel MTL][Intel AX201][WiFi][Win11]System will disconnect when system occur 4003 error.,2024-11-07 08:19:44,NA
920516,WIKO,"Huaqin Technology Co., Ltd",Other - OEM,Zhiwei He,[WIKO][HUAQIN][MarseilleH][Intel MTL][Intel AX201][WiFi][Win11]Play video very lag via Miracast to XiaomiTV.,2024-11-07 08:17:51,NA
920205,VAIO,QUANTA COMPUTER INC.,VAIO,Bing Huan Chang,[VAIO][Quanta][TRB][RPL-R][ISST][BT] Audio stop playing from BT-LE audio support headset when switching between A2DP and HFP.,2024-11-06 11:08:42,NA
920201,VAIO,QUANTA COMPUTER INC.,VAIO,Bing Huan Chang,[VAIO][Quanta][TRB][RPL-R][ISST] No sound from some BT headsets with HFP.,2024-11-06 10:59:06,NA
919668,WIKO,"Huaqin Technology Co., Ltd",Other - OEM,Zhiwei He,"[WIKO][HUAQIN][MarseilleH][Intel MTL][Intel AX201][WiFi][Win11]The online music is stop and show ""No Internet"".",2024-11-04 13:33:36,NA
919667,WIKO,"Huaqin Technology Co., Ltd",Other - OEM,Zhiwei He,[WIKO][HUAQIN][MarseilleH][Intel MTL][Intel AX201][WiFi][Win11]Can not control the game character moving when playing online games.,2024-11-04 13:28:33,NA
919665,WIKO,"Huaqin Technology Co., Ltd",Other - OEM,Zhiwei He,[WIKO][HUAQIN][MarseilleH][Intel MTL][Intel AX201][WiFi][Win11]The online vedio occured kartun.,2024-11-04 13:17:47,NA
915947,ASROCK,ASROCK INC.,Other - OEM,WCS - Unassigned,AX211 support on ARL-H ES CPU,2024-10-16 10:50:58,NA
915556,CLEVO,CLEVO CO.,Acer,WCS - Unassigned,NL51NU 9260AC CANT USE WIDI,2024-10-16 02:54:51,NA
915324,CLEVO,CLEVO CO.,Other - OEM,Timdaway Lai,L260TU use AX211 cannot wake NB with Wake on WLAN,2024-10-15 06:11:42,NA
913678,CLEVO,CLEVO CO.,Other - OEM,WCS - Unassigned,V255RNB2_AX211_K375S+M590_CANT_CONNECT,2024-10-07 06:46:08,NA
913614,ASROCK,ASROCK INC.,Other - OEM,Timdaway Lai,B860 system cant be waken by AX210,2024-10-05 02:42:31,NA
913318,NEC,"NEC PERSONAL COMPUTERS,LTD.",NEC,WCS - Unassigned,Intel(R) Wi-Fi 6E AX211 may cause significant slowness in CSI Lawyer.,2024-10-04 07:59:15,NA
910884,WIKO,"Huaqin Technology Co., Ltd",Other - OEM,Zhiwei He,[WIKO][Huaqin][NiceG][RPL][Win11] WIKO PPAG upload,2024-09-23 06:11:03,NA
