row,technology,predicted,derived,override,decision_source,candidates,label,jira_title,ips_title,text_used
99,,Connectivity,YB/Lost,YB/Lost,override,"Connectivity, YB/Lost",,"Wi-Fi error 5002 and AP disconnect during Modern Standby on RUSH (TWL) with AX211, multiple drivers",Please help to check the log of ibtWikoCfaFeatureExt driver.,"Wi-Fi error 5002 and AP disconnect during Modern Standby on RUSH (TWL) with AX211, multiple drivers"
101,,Connectivity,Needs-Triage,,fallback,,,,File transfer via Quick Share failed,File transfer via Quick Share failed
102,,YB/Lost,OEM Tools,OEM Tools,override,"Connectivity, YB/Lost, OEM Tools",,,SIO2454268: Cant play music via media player after resume unit from S4 during music playback with BT LE headset connect.(AX211),SIO2454268: Cant play music via media player after resume unit from S4 during music playback with BT LE headset connect.(AX211)
105,,Connectivity,YB/Lost,,cue,"YB/Lost, BSOD",,"5002 error(Assert_0x20104007) occurred from event log during FastBoot Test (FR:1/30units, 1/9000 cycles)",Intel AX211 Wifi frequently disconnecting,"5002 error(Assert_0x20104007) occurred from event log during FastBoot Test (FR:1/30units, 1/9000 cycles)"
111,,Connectivity,Needs-Triage,,fallback,,,,MS365 sites fails w/IPV6,MS365 sites fails w/IPV6
116,,BSOD,Connectivity,,cue,Connectivity,,Sometimes there are continuous ping timeouts when connected with a specific WiFi4 AP at home (AP from Chinese ISP).,BSOD 0x133 when test Stress_MultiMedia_00700,Sometimes there are continuous ping timeouts when connected with a specific WiFi4 AP at home (AP from Chinese ISP).
120,,Connectivity,Needs-Triage,,fallback,,,,The sound is terrible after starting a PAS session,The sound is terrible after starting a PAS session
121,,Connectivity,BSOD,,cue,"BSOD, Connectivity",,0x9F BSOD during Bluetooth device wake from idle while streaming video on Windows 11 25H2,no a2dp profile when bluetooth headset connecting with a2dp offload off,0x9F BSOD during Bluetooth device wake from idle while streaming video on Windows 11 25H2
123,,Connectivity,Needs-Triage,,fallback,,,,#NAME?,#NAME?
127,,YB/Lost,OEM Tools,OEM Tools,override,"Connectivity, YB/Lost, OEM Tools",,,Bluetooth Yellow Bang (error 43) after reboot; fatal BT controller exception and PLDR failure on Panther Lake (AX211) - CNVI_AUX_A2A_EXCEPTION_IRQ,Bluetooth Yellow Bang (error 43) after reboot; fatal BT controller exception and PLDR failure on Panther Lake (AX211) - CNVI_AUX_A2A_EXCEPTION_IRQ
130,,Connectivity,OEM Tools,OEM Tools,override,"Connectivity, YB/Lost, OEM Tools",,Bluetooth Yellow Bang (error 43) after reboot; fatal BT controller exception and PLDR failure on Panther Lake (AX211) - CNVI_AUX_A2A_EXCEPTION_IRQ,There is no sound output after starting a PAS session during a Teams call.,Bluetooth Yellow Bang (error 43) after reboot; fatal BT controller exception and PLDR failure on Panther Lake (AX211) - CNVI_AUX_A2A_EXCEPTION_IRQ
137,,System Hang,Needs-Triage,,fallback,,,,"System show error and cannot recover PC after download OS/driver finished from Cloud. (F/R:2/2u,4/4c)","System show error and cannot recover PC after download OS/driver finished from Cloud. (F/R:2/2u,4/4c)"
139,,YB/Lost,BSOD,,cue,BSOD,,Black screen and BSOD 0x9F after resume from S4/MS with Intel Wi-Fi driver 23.150/23.170,"Assert happened , GO Beacon miss occurred",Black screen and BSOD 0x9F after resume from S4/MS with Intel Wi-Fi driver 23.150/23.170
140,,Connectivity,Needs-Triage,,fallback,,,,HP ABBA dock and monitor fail to wake when Quick Connect enabled and unit approaches within 3 meters,HP ABBA dock and monitor fail to wake when Quick Connect enabled and unit approaches within 3 meters
141,,Killer,Needs-Triage,,fallback,,,,The Wi-Fi Credential Prompter of IdeaPad build is dark mode by default,The Wi-Fi Credential Prompter of IdeaPad build is dark mode by default
142,,OEM Tools,YB/Lost,YB/Lost,override,YB/Lost,,"Assert happened , GO Beacon miss occurred",6G Tx power question on DRTU,"Assert happened , GO Beacon miss occurred"
143,,Connectivity,Needs-Triage,,fallback,,,,The TIS is abnormal when the OTA test is in Channel 149-165,The TIS is abnormal when the OTA test is in Channel 149-165
144,,BSOD,Needs-Triage,,fallback,,,HP ABBA dock and monitor fail to wake when Quick Connect enabled and unit approaches within 3 meters,0x9F BSOD during WinPVT11.16.0 S4 hibernation stress test on Wildcat Lake Wi-Fi,HP ABBA dock and monitor fail to wake when Quick Connect enabled and unit approaches within 3 meters
146,,YB/Lost,OEM Tools,OEM Tools,override,"Power Consumption, RF, OEM Tools",,6G Tx power question on DRTU,WIFI YB when running Heaven benchmark test and PTAT Tool -- Factory test.,6G Tx power question on DRTU
147,,Connectivity,Needs-Triage,,fallback,,,The TIS is abnormal when the OTA test is in Channel 149-165,"Noise and no sound after 1-2 hours of Bluetooth audio on Venus4-14 (Classic BT, Meteor Lake, AX211), 20%+ fail rate.",The TIS is abnormal when the OTA test is in Channel 149-165
148,,Connectivity,BSOD,,cue,BSOD,,0x9F BSOD during WinPVT11.16.0 S4 hibernation stress test on Wildcat Lake Wi-Fi,System can scan full 6GHz band at Mongolia MCC,0x9F BSOD during WinPVT11.16.0 S4 hibernation stress test on Wildcat Lake Wi-Fi
149,,BSOD,Connectivity,,cue,Connectivity,,BT Headset Fails to Auto-Reconnect After S4 Resume: No HCI_Connection_Complete Event (3/32),System will encounter BSOD 0x9f when rebooting.,BT Headset Fails to Auto-Reconnect After S4 Resume: No HCI_Connection_Complete Event (3/32)
150,,Performance,Needs-Triage,,fallback,,,,The streaming rates of STA and SoftAP are lower than competing products in Wi-Fi coexistence,The streaming rates of STA and SoftAP are lower than competing products in Wi-Fi coexistence
151,,ICPS,Connectivity,,cue,Connectivity,,"Noise and no sound after 1-2 hours of Bluetooth audio on Venus4-14 (Classic BT, Meteor Lake, AX211), 20%+ fail rate.",ICPS adds power ~900mw in Teams 3*3 test scenario in Kailash,"Noise and no sound after 1-2 hours of Bluetooth audio on Venus4-14 (Classic BT, Meteor Lake, AX211), 20%+ fail rate."
156,,Connectivity,YB/Lost,,cue,"YB/Lost, Connectivity",,Eiger2 BE201-LNL have YB because can not get OTP of Bluetooth,Failed to activate BT LE function test,Eiger2 BE201-LNL have YB because can not get OTP of Bluetooth
158,,Connectivity,Needs-Triage,,fallback,,,,It is unable to reconnect a single earbud during a PAS session.,It is unable to reconnect a single earbud during a PAS session.
159,,Connectivity,Needs-Triage,,fallback,,,,"After starting a new PAS session, the sound from Device 2 is quieter than tha","After starting a new PAS session, the sound from Device 2 is quieter than tha"
160,,Connectivity,Needs-Triage,,fallback,,,,The sound from Device #2 was much lower than that from Device #1 during Teams call,The sound from Device #2 was much lower than that from Device #1 during Teams call
161,,Power Consumption,Connectivity,,cue,Connectivity,,BE201 WLAN/BT disappear and reappear during S0 idle screen on,(Copy Of 00993290) Abnormal operation when measuring 802.11n Tx power,BE201 WLAN/BT disappear and reappear during S0 idle screen on
164,,Connectivity,OEM Tools,OEM Tools,override,"Connectivity, OEM Tools",,,Bluetooth connection interrupted during Nearby Sharing file transfer on Panther Lake (BE213),Bluetooth connection interrupted during Nearby Sharing file transfer on Panther Lake (BE213)
165,,Connectivity,OEM Tools,OEM Tools,override,"Connectivity, OEM Tools",,,The wifi disconnect and cant reconnect  until turn off/on wifi switch,The wifi disconnect and cant reconnect  until turn off/on wifi switch
166,,YB/Lost,ICPS,ICPS,override,"Connectivity, ICPS",,WLAN did not connect to previous AP after WIFI Radio off/on if checked switch to better WIFI  option on ICPS. (FR:2/2units; 4/8cycles),"DRTU show pop-up ""Visual C++ Runtime library assertion failed""",WLAN did not connect to previous AP after WIFI Radio off/on if checked switch to better WIFI  option on ICPS. (FR:2/2units; 4/8cycles)
167,,Connectivity,BSOD,,cue,"BSOD, Connectivity",,"BSOD 0x6E during factory build and reboot stress, dump points to Intel Bluetooth driver (ibtpci.sys)",bluetooth headset no sound after resume from S4,"BSOD 0x6E during factory build and reboot stress, dump points to Intel Bluetooth driver (ibtpci.sys)"
168,,Connectivity,OEM Tools,OEM Tools,override,"Connectivity, OEM Tools",,Bluetooth connection interrupted during Nearby Sharing file transfer on Panther Lake (BE213),There is a 15-20 secon,Bluetooth connection interrupted during Nearby Sharing file transfer on Panther Lake (BE213)
182,,Connectivity,BSOD,,cue,"BSOD, Killer, Power Consumption",,BSOD DRIVER_POWER_STATE_FAILURE (0x9F) during S4 stress on Arrow Lake-Hx with Killer 1750w Wi-Fi,"WIFI Tput drop when open ""Prime95"" tool",BSOD DRIVER_POWER_STATE_FAILURE (0x9F) during S4 stress on Arrow Lake-Hx with Killer 1750w Wi-Fi
184,,BSOD,Connectivity,,cue,Connectivity,,STA cannot detect 6 GHz Wi-Fi APs in Indonesia with UHB enabled and MCC set to ID,BSOD 0xE6 referencing ibtpci.sys during cold boot on Panther Lake with BT 24.10.1.4,STA cannot detect 6 GHz Wi-Fi APs in Indonesia with UHB enabled and MCC set to ID
185,,ICPS,Connectivity,,cue,Connectivity,,The AP will be disconnected after WiFi connected and idle for 5~8 minutes while CSR feature executing period in Intel BE211 SKU (QS silicon) SKU,Edited Mouse name and Keyboard name does not retain in ICPS,The AP will be disconnected after WiFi connected and idle for 5~8 minutes while CSR feature executing period in Intel BE211 SKU (QS silicon) SKU
187,,Killer,System Hang,,cue,"System Hang, Connectivity",,"WLAN show only 1 MLO link When change WIFI7 AP encryption mode from WPA2 to WPA3 (F/R:1/2units,1/10cycles)",AI Apps in Prioritization Still Display green Check Mark After Disabling from advanced settings,"WLAN show only 1 MLO link When change WIFI7 AP encryption mode from WPA2 to WPA3 (F/R:1/2units,1/10cycles)"
189,,Connectivity,Needs-Triage,,fallback,,,,[Xiaomi][Huaqin][P52][PTL][AX211],[Xiaomi][Huaqin][P52][PTL][AX211]
190,,Connectivity,BSOD,,cue,"BSOD, Connectivity, OEM Tools",,BSOD 0xE6 referencing ibtpci.sys during cold boot on Panther Lake with BT 24.10.1.4,Wifi connection with some APs are unstable,BSOD 0xE6 referencing ibtpci.sys during cold boot on Panther Lake with BT 24.10.1.4
191,,Connectivity,ICPS,ICPS,override,"YB/Lost, ICPS",,Edited Mouse name and Keyboard name does not retain in ICPS,"Failed to connect BT mouse (Thinkpad fuji2.0).(F/R:2/2units,4/20cycles)",Edited Mouse name and Keyboard name does not retain in ICPS
192,,UEFI,ICPS,ICPS,override,"Power Consumption, ICPS",,Mobile battery percentage fails to display in ICPS UI,VLP is working at Mexico (mexico is not enabled at UATS),Mobile battery percentage fails to display in ICPS UI
193,,Connectivity,Needs-Triage,,fallback,,,AI Apps in Prioritization Still Display green Check Mark After Disabling from advanced settings,"GB6-16 Cannot scan 6GHz at Macau, Oman , Trinidad & Tobago",AI Apps in Prioritization Still Display green Check Mark After Disabling from advanced settings
194,,Connectivity,Needs-Triage,,fallback,,,,PC is unable to detect the 5G 802.11ax only mode signal.,PC is unable to detect the 5G 802.11ax only mode signal.
199,,Connectivity,Needs-Triage,,fallback,,,,"The headphone volume button cannot adjust the computer volume via the Lenovo Wireless Stereo Headset.(FR:2/2 units,4/4times)","The headphone volume button cannot adjust the computer volume via the Lenovo Wireless Stereo Headset.(FR:2/2 units,4/4times)"
203,,Connectivity,Needs-Triage,,fallback,,,,Wi-Fi Direct Quick Share fails: Intel device does not complete P2P handshake with Qualcomm client,Wi-Fi Direct Quick Share fails: Intel device does not complete P2P handshake with Qualcomm client
209,,Connectivity,Needs-Triage,,fallback,,,,The TIS is abnormal when the OTA test is in Channel 149-165,The TIS is abnormal when the OTA test is in Channel 149-165
210,,YB/Lost,Needs-Triage,,fallback,,,Wi-Fi Direct Quick Share fails: Intel device does not complete P2P handshake with Qualcomm client,WIFI 5002 with PA daily test,Wi-Fi Direct Quick Share fails: Intel device does not complete P2P handshake with Qualcomm client
217,,Connectivity,Needs-Triage,,fallback,,,,The audio and video in the media,The audio and video in the media
218,,YB/Lost,Connectivity,,cue,Connectivity,,DHCP failure and APIPA address after roaming between Cisco APs in Flex-connect mode (Wi-Fi),The system will occur Wlan_YB (Error code:10) when running restart stress test.,DHCP failure and APIPA address after roaming between Cisco APs in Flex-connect mode (Wi-Fi)
219,,Connectivity,Needs-Triage,,fallback,,,,Failed to share folder by Samsung Quick share app from PC to Tab,Failed to share folder by Samsung Quick share app from PC to Tab
224,,Connectivity,Needs-Triage,,fallback,,,,"During test PC perform iperf download test occur reconnect 5G fail(F/R: 1/1u, 2/45C)","During test PC perform iperf download test occur reconnect 5G fail(F/R: 1/1u, 2/45C)"
228,,Connectivity,BSOD,,cue,"BSOD, Connectivity",,Connect  BT headset failed due to authentication failure (0x05),No EAPOL start during P2P pairing,Connect  BT headset failed due to authentication failure (0x05)
229,,Connectivity,Needs-Triage,,fallback,,,,Event log show ID:1820 with ibpci during S4 stress(F/R: 1/25 UUTs 1/75000 Cycles),Event log show ID:1820 with ibpci during S4 stress(F/R: 1/25 UUTs 1/75000 Cycles)
230,,Power Consumption,OEM Tools,OEM Tools,override,"Power Consumption, Connectivity, OEM Tools",,,"Cant adjust the volume via hotkey(F7/F8) after resume from S4/S5/Restart and then connect to ""Samsung-Galaxy Buds2 Pro BT LE audio headset  manually.","Cant adjust the volume via hotkey(F7/F8) after resume from S4/S5/Restart and then connect to ""Samsung-Galaxy Buds2 Pro BT LE audio headset  manually."
231,,Connectivity,OEM Tools,OEM Tools,override,"Connectivity, OEM Tools",,,"Cant connect to ""Samsung-Galaxy Buds2 Pro BT LE audio headset automatically after resume from S4/S5/restart.","Cant connect to ""Samsung-Galaxy Buds2 Pro BT LE audio headset automatically after resume from S4/S5/restart."
239,,BSOD,Connectivity,,cue,Connectivity,,"Unit occurred a failed (WIFI) when run full (unattended) test in Lenovo Diagnostics tool.(F/R:1/4u,8/8cycles)","The unit got ""0x9F"" BSOD during running WINPVT Wake-on-LAN Stress (S3S4S5+LAN_CHK_WOL.PVT) using LOM with IPV4/IPV6","Unit occurred a failed (WIFI) when run full (unattended) test in Lenovo Diagnostics tool.(F/R:1/4u,8/8cycles)"
242,,Connectivity,BSOD,,cue,BSOD,,Intermittent 0x7E BSOD during BitLocker activation on BE211 Wi-Fi with Win11 25H2,WLAN get disconnected,Intermittent 0x7E BSOD during BitLocker activation on BE211 Wi-Fi with Win11 25H2
245,,Connectivity,YB/Lost,,cue,"YB/Lost, BSOD",,Recoverable assert 0x85 occurred during customer daily work.,Bthmini showed error code 17 during S4 stress test (Tx timeout during init flow  + System Exception),Recoverable assert 0x85 occurred during customer daily work.
246,,Connectivity,BSOD,,cue,BSOD,,"The unit got ""0x9F"" BSOD during running WINPVT Wake-on-LAN Stress (S3S4S5+LAN_CHK_WOL.PVT) using LOM with IPV4/IPV6",BT control issue,"The unit got ""0x9F"" BSOD during running WINPVT Wake-on-LAN Stress (S3S4S5+LAN_CHK_WOL.PVT) using LOM with IPV4/IPV6"
248,,YB/Lost,OEM Tools,OEM Tools,override,"Connectivity, YB/Lost, OEM Tools",,,WLAN Yellow Bang and incorrect Bluetooth status persist after reboot on Panther Lake (BE211),WLAN Yellow Bang and incorrect Bluetooth status persist after reboot on Panther Lake (BE211)
250,,Connectivity,YB/Lost,,cue,"YB/Lost, BSOD",,Recoverable Assert 0x4433 occurred when doing Warm Boot stress test,No audio output from Bluetooth headset after S4 resume,Recoverable Assert 0x4433 occurred when doing Warm Boot stress test
252,,BSOD,Connectivity,,cue,Connectivity,,Bthmini showed error code 17 during S4 stress test (Tx timeout during init flow  + System Exception),0x9F_3_NDIS!ndisWaitForKernelObject with AX211,Bthmini showed error code 17 during S4 stress test (Tx timeout during init flow  + System Exception)
254,,Connectivity,Needs-Triage,,fallback,,,,DUT can be awakened when people is close to DUT,DUT can be awakened when people is close to DUT
255,,HLK,OEM Tools,OEM Tools,override,"Connectivity, YB/Lost, OEM Tools",,WLAN Yellow Bang and incorrect Bluetooth status persist after reboot on Panther Lake (BE211),WHQL BT test fail,WLAN Yellow Bang and incorrect Bluetooth status persist after reboot on Panther Lake (BE211)
257,,BSOD,Connectivity,,cue,Connectivity,,No audio output from Bluetooth headset after S4 resume,BSoD 0x9f (0x9F_3_Netwaw18_IMAGE_pci.sys) during stress Cold Boot Test,No audio output from Bluetooth headset after S4 resume
260,,BSOD,Connectivity,,cue,Connectivity,,BT will have device lost during S4 long run.,"Intel WLAN is fail (BSoD IRQL_NOT_LESS_OR_EQUAL) during run cycle preload test. failure_bucket_id ""AV_Netwtw14!prvAmtWimaAgentJoinNicCompleteCb""",BT will have device lost during S4 long run.
264,,Connectivity,BSOD,,cue,BSOD,,BSoD 0x9f (0x9F_3_Netwaw18_IMAGE_pci.sys) during stress Cold Boot Test,BT headset speaker not work(100%),BSoD 0x9f (0x9F_3_Netwaw18_IMAGE_pci.sys) during stress Cold Boot Test
265,,YB/Lost,System Hang,System Hang,override,"Connectivity, System Hang",,wifi icon lost and the system hang when ESD test,"Event log shows 5002/5005/5007/5010 error during MS stress test(Fail rate 9/40units, 125cycles each unit)",wifi icon lost and the system hang when ESD test
267,,Killer,BSOD,,cue,"BSOD, Connectivity",,"Intel WLAN is fail (BSoD IRQL_NOT_LESS_OR_EQUAL) during run cycle preload test. failure_bucket_id ""AV_Netwtw14!prvAmtWimaAgentJoinNicCompleteCb""","Turn off Enabled Smart Access Point Selection then click reset all setting to default, the item still is off.","Intel WLAN is fail (BSoD IRQL_NOT_LESS_OR_EQUAL) during run cycle preload test. failure_bucket_id ""AV_Netwtw14!prvAmtWimaAgentJoinNicCompleteCb"""
274,,OEM Tools,Needs-Triage,,fallback,,,"Turn off Enabled Smart Access Point Selection then click reset all setting to default, the item still is off.",Game controller S4/Resume cant automatically connect,"Turn off Enabled Smart Access Point Selection then click reset all setting to default, the item still is off."
276,,Killer,Needs-Triage,,fallback,,,,The Wi-Fi Credential Prompter appears in the lower right corner of the screen,The Wi-Fi Credential Prompter appears in the lower right corner of the screen
277,,Connectivity,BSOD,,cue,"BSOD, OEM Tools",,Rare BSOD 0x9F referencing NDIS/Netadapter during Stress_WB on Panther Lake Wi-Fi (driver 24.0.2.1),BT headset mic not work(100%),Rare BSOD 0x9F referencing NDIS/Netadapter during Stress_WB on Panther Lake Wi-Fi (driver 24.0.2.1)
282,,YB/Lost,ICPS,ICPS,override,ICPS,,ICPS can recognize non-Intel WWAN (Snapdragon X12 4G WWAN),Event log show WHEA warning BT will be YB after booting OS,ICPS can recognize non-Intel WWAN (Snapdragon X12 4G WWAN)
284,,Killer,Needs-Triage,,fallback,,,,Connecting AP information is not displayed on settings.,Connecting AP information is not displayed on settings.
286,,Connectivity,Needs-Triage,,fallback,,,,System fails to wake via WoA when Turn off my screen when I leave is disabled on Wi-Fi,System fails to wake via WoA when Turn off my screen when I leave is disabled on Wi-Fi
289,,Connectivity,OEM Tools,OEM Tools,override,"Connectivity, OEM Tools",,,Wi-Fi and Bluetooth disconnect or disappear after WRT Tool install on Panther Lake AX211,Wi-Fi and Bluetooth disconnect or disappear after WRT Tool install on Panther Lake AX211
291,,Connectivity,Needs-Triage,,fallback,,,Connecting AP information is not displayed on settings.,Can not play file MP3 after link loss with Galaxy Buds3Pro,Connecting AP information is not displayed on settings.
294,,Connectivity,Needs-Triage,,fallback,,,System fails to wake via WoA when Turn off my screen when I leave is disabled on Wi-Fi,The system will automatically wake up after entering S4. FR:100%,System fails to wake via WoA when Turn off my screen when I leave is disabled on Wi-Fi
295,,Connectivity,Needs-Triage,,fallback,,,,Intel_PIE_SDK_Connon.dll multithreading causes NFC to be unusable,Intel_PIE_SDK_Connon.dll multithreading causes NFC to be unusable
297,,Connectivity,OEM Tools,OEM Tools,override,"Connectivity, OEM Tools",,Wi-Fi and Bluetooth disconnect or disappear after WRT Tool install on Panther Lake AX211,Wireless drops and disconnections,Wi-Fi and Bluetooth disconnect or disappear after WRT Tool install on Panther Lake AX211
302,,Connectivity,Needs-Triage,,fallback,,,,P2P  Quick share failed during transmission,P2P  Quick share failed during transmission
305,,Connectivity,Needs-Triage,,fallback,,,,CSLP AX211 6E connect AP(BE900) cannot research 6Ghz only 5Ghz,CSLP AX211 6E connect AP(BE900) cannot research 6Ghz only 5Ghz
306,,Connectivity,OEM Tools,OEM Tools,override,"Connectivity, OEM Tools",,Cannot connect to AP when using ANT tool,BE200 Wi-Fi wakes from legacy S3 when server WEB UI remote control is clicked; AX211 does not,Cannot connect to AP when using ANT tool
307,,Killer,System Hang,,cue,System Hang,,,"Open Settings -> Accessibility -> Text size and switch to 200%. The text, icons, and other elements on various pages within the Intel Connectivity Performance Suite app do not change.","Open Settings -> Accessibility -> Text size and switch to 200%. The text, icons, and other elements on various pages within the Intel Connectivity Performance Suite app do not change."
308,,Connectivity,Needs-Triage,,fallback,,,,"Set the Dark and Light theme, enable the Auto detect contrast ratio setting in the Color Contrast Analyzer tool, and multiple areas in the Intel Connectivity Performance Suite app are judged as fail.","Set the Dark and Light theme, enable the Auto detect contrast ratio setting in the Color Contrast Analyzer tool, and multiple areas in the Intel Connectivity Performance Suite app are judged as fail."
309,,Killer,Needs-Triage,,fallback,,,,"Launch the Intel Connectivity Performance Suite app and minimize the window width to the smallest size. On the Usage Detail page, some characters are truncated without horizontal scrolling.","Launch the Intel Connectivity Performance Suite app and minimize the window width to the smallest size. On the Usage Detail page, some characters are truncated without horizontal scrolling."
310,,Connectivity,Needs-Triage,,fallback,,,,"System boot , the Wireless LAN is lost","System boot , the Wireless LAN is lost"
312,,ICPS,Connectivity,,cue,"Connectivity, Performance",,WiFi Linkspeed will fluctuate even tested in the shielding room.,ICPS 5.0-username and password entry window has been positioned at bottom right,WiFi Linkspeed will fluctuate even tested in the shielding room.
314,,Performance,Needs-Triage,,fallback,,,BE200 Wi-Fi wakes from legacy S3 when server WEB UI remote control is clicked; AX211 does not,RFCOMM transmission latency is relatively low.,BE200 Wi-Fi wakes from legacy S3 when server WEB UI remote control is clicked; AX211 does not
315,,OEM Tools,System Hang,,cue,System Hang,,"Open Settings -> Accessibility -> Text size and switch to 200%. The text, icons, and other elements on various pages within the Intel Connectivity Performance Suite app do not change.",UNII-4 dont show in DRTU,"Open Settings -> Accessibility -> Text size and switch to 200%. The text, icons, and other elements on various pages within the Intel Connectivity Performance Suite app do not change."
317,,Connectivity,Needs-Triage,,fallback,,,"Launch the Intel Connectivity Performance Suite app and minimize the window width to the smallest size. On the Usage Detail page, some characters are truncated without horizontal scrolling.",P2P Pairing Failure,"Launch the Intel Connectivity Performance Suite app and minimize the window width to the smallest size. On the Usage Detail page, some characters are truncated without horizontal scrolling."
320,,YB/Lost,ICPS,ICPS,override,ICPS,,ICPS 5.0-username and password entry window has been positioned at bottom right,"When the test device establishes a Miracast connection and plays a video while using Bluetooth to receive or send files, the video playback stutters.",ICPS 5.0-username and password entry window has been positioned at bottom right
321,,BSOD,HLK,,cue,HLK,,HLK DirectedFxSystemTest test fail,"0x28af/0x10028af and AP disconnect when ""MS<--->Resume"" stress test",HLK DirectedFxSystemTest test fail
327,,YB/Lost,BSOD,,cue,"BSOD, Connectivity",,Merino13x PV BSOD 0x7e point to WLAN,Merino16W PV report WLAN YB code 10,Merino13x PV BSOD 0x7e point to WLAN
329,,Connectivity,BSOD,,cue,"BSOD, Connectivity",,"0x28af/0x10028af and AP disconnect when ""MS<--->Resume"" stress test",BE211 BT device lost during ACPI Reboot stress test(F/R: 1/200Cycles),"0x28af/0x10028af and AP disconnect when ""MS<--->Resume"" stress test"
331,,Connectivity,BSOD,,cue,BSOD,,"0x28af/0x32d occurred when doing ""MS<-->Resume"" stress test",BT Error recovery failed,"0x28af/0x32d occurred when doing ""MS<-->Resume"" stress test"
332,,Connectivity,Needs-Triage,,fallback,,,,"The sound will delay about 10s switch from the first TWS headset to the second after connect the second other brand headset (Samsung/Sony).(F/R:2/2units,4/4cycles)","The sound will delay about 10s switch from the first TWS headset to the second after connect the second other brand headset (Samsung/Sony).(F/R:2/2units,4/4cycles)"
333,,YB/Lost,Performance,,cue,Performance,,EUC-CE Laggy and blurry display when casting to 8K smart TV,AX211/BE211 BT YB (PV phase factory),EUC-CE Laggy and blurry display when casting to 8K smart TV
335,,HLK,YB/Lost,,cue,"YB/Lost, Connectivity",,Merino16W PV report WLAN YB code 10,HLK test fail: OnOffStateControllableViaSoftware2,Merino16W PV report WLAN YB code 10
338,,RF,Needs-Triage,,fallback,,,,T-put HL TX issue,T-put HL TX issue
