Issue key,project,year,category,Custom field (Root Cause)
WIFI-849226,WIFI,2026,Connectivity,"AP behavior:
After STA G3, the AP retains the old session state and has an SA Query in progress. As a result, it correctly rejects the STA Association Request with status 30 (comeback). The STA waits for the comeback interval and then retries the association. At this point, since the interval has elapsed, the AP should accept the request. Instead, the AP sends a Deauthentication frame with reason code 6 (CLASS2_FRAME_FROM_NONAUTH_STA), which is non-compliant behavior.

Why the reconnect fails:
The driver correctly treats reason code 6 as recoverable and initiates a fresh connection attempt. However, a race condition in the driver can cause this retry to fail, leading to “No suitable network found” / “No enabled networks,” and don't try to do actual connection.
In addition, when we retrigger a connection, we are not preserving the connect token, so even if we'll be able to connect the driver will eventually fail. Fix both issues."
WIFI-846914,WIFI,2026,Connectivity,dup rc
WIFI-845280,WIFI,2026,Connectivity,not properly configure smPowerSave field in HE Extended Capabilities IE
WIFI-843819,WIFI,2026,Connectivity,missing nullity check to the content of the pointer
WIFI-837812,WIFI,2026,Connectivity,"It is possible that between the time a channel was verified to
be valid for scanning and between the time the channel is
actually scanned, an MCC change has occurred and the channel
is no longer valid for scanning.

To handle such a race, check the regulatory DB before actually
starting to scan the channel and if the channel is no longer
valid do not scan it."
WIFI-829330,WIFI,2026,BSOD,"When encountering 0xa5a5a5af we were unable to read or write from CSR.
Before the change we would trigger PRODUCT reset only if encountered 0xFFFFFFFF.
The updated handling would trigger PRODUCT reset on inability to write to CSRs, which in also the case for 0xa5a5a5af.
This would allow us to recover the 0xa5a5a5af (unlike CORE reset) and on next enable we'd be able to operate, where as with CORE the issue didn't resolve and we would fail init being unable to detect HW properly."
WIFI-828131,WIFI,2026,Connectivity,"In the scenario where SAR is changing, GMPD will request paging. But when TAS is enabled, GMPD doesn't care about SAR limit since TAS can decide to ignore SAR limit, so GMPD must calibrate without SAR consideration. So when SAR has changed, GMPD requested paging. But if TAS is enabled, GMPD won't build a new plan. The bug is that if a plan is not built, GMPD won't relinquish the paging request - creating a never ending paging request (low LTR). To fix it, we won't request paging if TAS is enabled. Just save the SAR limit in GMPD manager for when TAS will be disabled."
WIFI-824640,WIFI,2026,Connectivity,"not an actual driver bug, but a bypass given by us.
Due to SMPS we sometimes don't have any energy on ANT B.
This feature causes some tests in GNNR to fail, so an OID can be used to turn SMPS mode."
WIFI-822445,WIFI,2026,BSOD,"During halt, when we call DPTF unregistration CB it took DPTF almost 10 sec to complete.
But since the timeout was short, we stopped waiting, released the memory
and when they did complete, then the WI resource release operation
operated on already freed memory and caused a BSOD"
WIFI-821675,WIFI,2026,Connectivity,"due to a workaround for MSFT bug we rejected any p2p client task connect with bRoamRequest

As MSFT should be ok now, we shall allow it again"
WIFI-817117,WIFI,2026,Connectivity,"TOP-18062 
In the move to disable flow for both CNVI and CNVR (for all directions I2I, I2R, R2R, R2I) after these instructions:           
1. INPUTS_OVRD<r2d2_step_tx_allow_dis[1:0]> 
2. INPUTS_OVRD<r2d2_step_tx_clk_req[1:0]>
3. Wait 1us
add a loop for 5 iterations to check the TX PMU state and break as soon it is found == 0x1(DISABLE) and then continue the rest of the flow. If after 5 iterations the loop doesn't break then let the assert happen.
"
WIFI-817045,WIFI,2026,Connectivity,too much weight for channel load and too big penalty for 11v request by AP
WIFI-817026,WIFI,2026,Connectivity,"'
When in native UI we turn off WAL option it can happen during we are
in spd / algo 1 and we are in proxmity, this will make us stuck in
proxmity and we will not report the status to ISH correctly, causing
the screen not to turn on.
"
WIFI-814700,WIFI,2026,Connectivity,
WIFI-812019,WIFI,2025,Connectivity,"In case we are aborting PAPD from PHY remove command,
we must restore the calibration enablement status since it won't be restored otherwise."
WIFI-811762,WIFI,2025,Connectivity,"https://gerritwcs.ir.intel.com/c/wcd_fw-dev/+/252821
It is a WA for the case that before association is completed, the FW stays in mimo mode and does not go to DSMPS. So, the 2 ants are active. It solves the problem of authentication rx frame receive error."
WIFI-810631,WIFI,2025,BSOD,"wdfSetDeviceFailed (trigger PLDR) was called during resume while driver still hold kmdf power thread, this led to OS bug which they didn't send surprise remove to us, which leads to a 9f BSOD"
WIFI-810250,WIFI,2025,Connectivity,"Change in requirement to increase the length of the P2P TBTT event in case of 3207.
"
WIFI-807667,WIFI,2025,Connectivity,"MLD requires WPA3 security.
MLD links with WPA2 are misbehaving, thus they are marked as such and they are no longer associated with each other in under the MLD AP.
Toggling between WPA2/3 caused the database which holds this information to go out of sync, so when the links became WPA3 we connected as MLD but without being aware of the other links in the same MLD."
WIFI-807648,WIFI,2025,Connectivity,using ref bssid before it was assigned
WIFI-805746,WIFI,2025,Connectivity,"couldn't hear the beacon - requirement changed

NDP after 4
driver disconnect after 6"
WIFI-804612,WIFI,2025,Connectivity,"We had bug in c101 (already fixed in c102)

That NOA that come from scan can be parsed when we handle our beacon

This use case we didn't see before

Seems one of the AP there, turn on oppPS

When we handle our beacon after got this beacon with oppPS=1 it will cause queues suspend

and we will not resume the queues as the oppPS enabled will clear right in next beacon 

++++++++++++++++++++++++++++++++++++++++==
This bug is a DUP of WIFI-754031"
WIFI-801012,WIFI,2025,BSOD,"wdfSetDeviceFailed (trigger PLDR) was called during resume while driver still hold kmdf power thread, this led to OS bug which they didn't send surprise remove to us, which leads to a 9f BSOD"
WIFI-800210,WIFI,2025,Connectivity,PHY remove's PAPD abort flow complete didn't restore PAPD calibration event trigger
WIFI-800123,WIFI,2025,Connectivity,"Description: The race is as follows
Start conditions: tid T for peer P has a valid back aggrement with drv baid DB and fw baid FB
Delba is received for T over P.
delba sync cmd is sent to FW
FW removed FB
core X and core Y handle the delba sync notification at the same time
both getting to rxAggMgrInvalidateStateForBaidApi at the same time.
each stores pAggMgrContext->rxAggMgrBaidIndexTable[baidIndex].delbaStatePerQueueBitmap in a local memory region before the second core reset the bit.
(so in this scenario, both holding the value 3)
each of them is seeing the he is not the last queue, and assumes that the another sync notif will arrive soon and will invalidate the baid entry.
leading to a scenario where the ent"
WIFI-796164,WIFI,2025,Connectivity,"We disconnect from APs that don't send beacons unless we still have
traffic. In case there is no traffic, we'll disconnect after 4 missed
beacons, In order to create traffic, send an NDP (using the keep alive infra) to
clear the consecMissedBconsSinceLastRxFromAP counter in case the NDP is
ACK'ed."
WIFI-795954,WIFI,2025,Connectivity,retry of PLL lock
WIFI-795918,WIFI,2025,Connectivity,retry of pll lock
WIFI-794048,WIFI,2025,Connectivity,
WIFI-794045,WIFI,2025,BSOD,"During halt, when we call DPTF unregistration CB it took DPTF almost 10 sec to complete.
But since the timeout was short, we stopped waiting, released the memory
and when they did complete, then the WI resource release operation
operated on already freed memory and caused a BSOD"
WIFI-793434,WIFI,2025,BSOD,"Removed 0x20101920 Debug assert from Core 97,"
WIFI-792801,WIFI,2025,Connectivity,"when sleep button is hit, OS takes a few second to trigger D3 and it is triggered during SPD.
When we abort spd we abort the last sample due to a historic bug.
during the spd sample abort we did not free SDFX buffer, causing SDFX not to accept any new adc SDFX buffer requesrts, causing sensing dead scenario."
WIFI-790843,WIFI,2025,Connectivity,"In this scenario we went to suspend when user hits the button.
it can happen during Sensing 1, Sensing 1--> SPD and middle of spd, or end of SPD.
in all those scenarios we would go to suspend with proximity 1, opposed to normal flow when during walk away we will always turn proximity to 0.
Additionally we did not update ISH correctly when this happens.
in this fix we have a 20 sec timer from the moment of suspend, after which we will evaluate sensing metric and will force no_proximity if smoothout< th_low and report ish that proximity is 0.
"
WIFI-790172,WIFI,2025,Connectivity,"no mcc update when getting back from hibernate.
introduced new flow in driver and fw to intimate scan upon this conidtion."
WIFI-789469,WIFI,2025,Connectivity,"Relevant INF changes weren't implemented for State Of Separation supporting drivers.
Also, WEV .rc file compilation wasn't enabled for NetAdapter based Drivers (e.g. Netwaw18.sys)"
WIFI-788884,WIFI,2025,Connectivity,changed bad sample logic upon 1 spd window 
WIFI-785633,WIFI,2025,BSOD,"wdfSetDeviceFailed (trigger PLDR) was called during resume while driver still hold kmdf power thread, this led to OS bug which they didn't send surprise remove to us, which leads to a 9f BSOD"
WIFI-781567,WIFI,2025,Connectivity,couldn't hear the beacon - requirement changed
WIFI-781521,WIFI,2025,Connectivity,UNII6 PP1 Regulatory tables in PNVM changed from LPI to AFC
WIFI-781121,WIFI,2025,Connectivity,Regulatory limit in PNVM changed from LPI to AFC.
WIFI-780520,WIFI,2025,Connectivity,"Product reset when WIMA isn't available on vPro platforms was ignored.
but if nic isn't vPro, we can do PLDR without waiting for WIMA.
so we are taking DcR-2960 which was introduced on master, to solve the issue by checking vPro nic before checking if need WIMA approval"
WIFI-779727,WIFI,2025,Connectivity,thresholds change - explained in bug
WIFI-779419,WIFI,2025,Connectivity,"Add missing Firmware Version field on device capabilities (WinA).
We reported for WinT but not for WinA/U"
WIFI-778106,WIFI,2025,Connectivity,"The logic controlling the fatal/non-fatal behavior is governed by the register CNVR_IRI_STEP_PRIM_CSR_PHY_INT_MASK.
When this register is set to its default value of 0x0, all interrupt sources are treated as fatal.
As a result, Assert 508 is observed in Data 1: cnvr_step_csr_phy_interrupt_status."
WIFI-777206,WIFI,2025,Connectivity,thresholds chage
WIFI-776970,WIFI,2025,Connectivity,Race between counter update and algo completion
WIFI-776963,WIFI,2025,Connectivity,DPLL lock problem
WIFI-776762,WIFI,2025,Connectivity,"Removed debug assert since more than 3 LE ADV connections is a valid case.
Fix was merged on https://gerritwcs.ir.intel.com/c/wcd_fw-dev/+/234423."
WIFI-774807,WIFI,2025,Connectivity,"during back from hibernate in case we have an mcc update and adc sample was sent before the update, we abort adc sample and need to resend after new mcc set.
during abort we did not release SDFX buffer, causing SDFX not to respect out next requests for buffer - causing sensing dead issue."
WIFI-772660,WIFI,2025,Connectivity,"with LPI enabled , if mcc change happens from vlp enabled country to disabled , FW as not able to turn off vlp"
WIFI-769938,WIFI,2025,Connectivity,DRTU continuous tx mode should not work together with sensing.
WIFI-769102,WIFI,2025,Connectivity,FW assertion triggered due to sending a command which is unsupported by the HW.
WIFI-768995,WIFI,2025,Connectivity,"MLD IE should not be inherited...

As we search for IEs to inherit from MBSS IEs, we keep the offset to the relevant IE.

So we go through the first MBSS IE, to the relevant profile, and saved the offset to MLD IE.

But we then proceed to the second MBSS IE,  wrongly zero the previous offset (as MLD is ""non inherited""), don't find the MLD IE in the MBSS IE and thus we don't copy it at all."
WIFI-768436,WIFI,2025,Connectivity,Need to adjust the calibration point parameters to avoid signal compression in case of high VSWR in low band
WIFI-762233,WIFI,2025,Connectivity,"Channel load impact is too high, causing too many roamings in customer's environment.
"
WIFI-760886,WIFI,2025,Connectivity,SW will set by default CNViO3 frequency to 9.6 GHz
WIFI-759476,WIFI,2025,Connectivity,"Root Cause:  TOP-15910
The logic controlling the fatal/non-fatal behavior is governed by the register CNVR_IRI_STEP_PRIM_CSR_PHY_INT_MASK.
When this register is set to its default value of 0x0, all interrupt sources are treated as fatal.
As a result, Assert 508 is observed in Data 1: cnvr_step_csr_phy_interrupt_status."
WIFI-758619,WIFI,2025,Connectivity,"we open DSMPS by default in assoc request on 6G (unlike 5G), 
so we got into situation where FW which is resposible to open and close DSMPS (since the RLC offload) wasn't sync that we are in DSMPS Mode.
"
WIFI-755355,WIFI,2025,BSOD,"WiAMT loads its WiFi FW very early (before BIOS runs),
WiFi FW runs FSEQ. As part of FSEQ it sets FINE locks (in particular AUX_HW_LOCK_2)
There is a logic in the top that prevent HW to write to registers when AUX_HW_LOCK_2 is set and relevant func_state is LOW
Relevant logic preventing BT OTP Reader (usee BT UMAC master) writing to Aux while BT func_state is LOW:
bt_umac_aux_connect_we_func_lock    = (~scu_aux_hw_lock_2 || bt_scu_func_state) && bt_umac_aux_connect_we;
When BIOS switches BT I/F to IOSF, BT HW kicks BT OTP Reader
OTP Reader tries writing to Aux register to enable OTP, but fails due to the early lock (BT func_state is LOW on this HW stage)
All next reads from OTP are failed since OTP is not enabled
BT config space remains with default values. In specific Sub_System_ID = 0x0000
OS doesn't load BT driver due to Sub_System_ID missmatch

solution: TOP-14807: Don't set AUX_HW_LOCK_2."
WIFI-755323,WIFI,2025,Connectivity,Need to adjust the calibration point parameters to avoid signal compression in case of high VSWR in low band
WIFI-753874,WIFI,2025,Connectivity,PHY: Attempt to calibrate LB channels using directional loopback in case of multiple failures
WIFI-750602,WIFI,2025,Connectivity,same as WIFI-751329
WIFI-750032,WIFI,2025,Connectivity,typo in formula
WIFI-746160,WIFI,2025,Connectivity,"Due to AP misbehavior of reporting Wifi7 IEs while being set as Wifi6 mode, we marked it as misbehaving and connected in HE mode.
"
WIFI-742498,WIFI,2025,Connectivity,"One of the CNVI HSIF timeout timers was not configured correctly to support worst case Channel/Package propagation time.
"
WIFI-741414,WIFI,2025,Connectivity,"not an actual driver bug, but a bypass given by us.
Due to SMPS we sometimes don't have any energy on ANT B.
This feature causes some tests in GNNR to fail, so an OID can be used to turn SMPS mode."
WIFI-740892,WIFI,2025,Connectivity,"DCR-3341
"
WIFI-739243,WIFI,2025,BSOD,"The CNVio3 interface transitions from full power to low power and back might cause PHY errors, mainly in low temp, triggering Assert 0x505
Fix:
Eliminate transitions of CNVio3 to low power during S0i3 (included in FSEQ 0.0.4.201)"
WIFI-739113,WIFI,2025,BSOD,"SW will set by default CNViO3 frequency to 9.6 GHz
Assert 0x505 is treated as non-fatal"
WIFI-736954,WIFI,2025,Connectivity,SW will set by default CNViO3 frequency to 9.6 GHz
WIFI-730512,WIFI,2025,Connectivity,"with LPI enabled , if mcc change happens from vlp enabled country to disabled , FW as not able to turn off vlp"
WIFI-724493,WIFI,2025,Connectivity,DCR-3341
WIFI-723912,WIFI,2025,Connectivity,Update of statistics datapoint ccaDefers
WIFI-719076,WIFI,2025,Connectivity,"One of the CNVI HSIF timeout timers was not configured correctly to support worst case Channel/Package propagation time.
"
WIFI-718655,WIFI,2025,Connectivity,Wrong PIE recommendation for 23.165.
WIFI-715726,WIFI,2025,Connectivity,DCR-3341
WIFI-714655,WIFI,2025,Connectivity,DCR-3341
WIFI-704190,WIFI,2025,Connectivity,DCR-3341
WIFI-697194,WIFI,2025,Connectivity,"same as WIFI-605715:
unicast action frame received on AUX PHY,
there was a bug on parsing the mac type of the RX packet.

When we receive packet on AUX Phy without specific address, we will FWD the packet to all the VIFs and the VIFs will parse the packet if needed.

due to the bug in RX parsing, the action frame was indicate twice to the OS."
WIFI-691994,WIFI,2025,Connectivity,"The hidden UHB AP discovery API with FW uses the short SSID index to find which
SSID to use.
As we only allow 1 short SSID per channel to be scanned, it has to be the hidden
one.
Otherwise FW won't know how to scan it (the short SSID won't be set in the short
SSID bitmap of the channel)

in this case, the single short SSID slot was taken by another AP, so we didn't set the hidden AP short SSID"
WIFI-691867,WIFI,2025,Connectivity,described in bug
WIFI-691354,WIFI,2025,Connectivity,"We didn't prioritize the PEER_PREFERRED_CHANNEL during the best channel selection.  Additionally, we haven't identified whether we are in INV/GON flows or in an AUTO GO scenario."
WIFI-687889,WIFI,2025,Connectivity,Race between rxTxFsm and the ImmBg task
WIFI-682006,WIFI,2025,BSOD,"Remove the sysassert 0x13d and exit the rcm agg loop in case of timeout.
The problem is many small RX frames in AGG and the decoder feedback in HrP/GfP makes big delays.
https://gerritwcs.ir.intel.com/c/wcd_fw-dev/+/202312"
WIFI-677488,WIFI,2025,Connectivity,drips issue was fixed with HW WA in last canary and 23.150.0 pc spin.
WIFI-676654,WIFI,2025,Connectivity,
WIFI-671650,WIFI,2025,BSOD,"memalloc failures cause our ieMap to return NULL when searching for an IE.
in this case, we just accessed the IE right after getting it, without a null check, thus a BSOD occurred."
WIFI-665615,WIFI,2025,BSOD,"In getting while losing flow, we first deschedule the timepoint
then call _mvmSchedTerminateLosingPrepareEvent() that should end the
event.
But because the timepoint already descheduled,
_mvmSchedTerminateLosingPrepareEvent() does nothing and
the event left in running state.

Later this cause persistentLosing as we see the prepare losing
still running.

If we are in link deactivate flow, driver removes the phy
context right after deactivate. If we don't run immediately
context switch, driver will remove the context while
context is active. This cause assert 0x970."
WIFI-663175,WIFI,2025,Connectivity,Stall upscale in case previous SR was above 95 and current is less than 70
WIFI-657509,WIFI,2025,Connectivity,"the power sensor is initialized only after FW init
if no FW init, than all SAR manager with the driver would fail because the power sensor is uninitialized"
WIFI-648590,WIFI,2025,Connectivity,"The issue root cause is “refactoring in MVM on link losing flow The problem was when driver deactivate link, MVM not deactivate the phy then when driver remove Phy it raise this assert”"
WIFI-645737,WIFI,2025,Connectivity,"2 Issues resolved:

1. Authentication Failure:
Handle scenarios where the SAE commit message is retransmitted (either STA→AP or AP→STA) in a more robust manner. The fix ensures that the second (duplicated) commit message from the AP is silently ignored, allowing the authentication process to continue.

2. Deauth frame is not sent to air when disconnecting:
Improve the deauth flow making sure the frame is transmitted to air."
WIFI-638770,WIFI,2025,Connectivity,Feature was disabled
WIFI-636094,WIFI,2025,Connectivity,DCR-2975 has caused SAR module to receive profileId > 31
WIFI-635251,WIFI,2025,Connectivity,"Bug root cause:
 - There are 2 active macs - BSS client and P2P client.
 - UMAC send 2 protection windows to LMAC - one for each mac.
 - LMAC start the first protection window.
 - Beacon is received, and LMAC remove the first protection window.
 - LMAC send NTF to UMAC that beacon is received.
 - LMAC allow PS.
 - PHY move to PS mode.
 - UMAC update 1 of the protection windows timing, and send it to LMAC.
   Since the current beacon event wasn't not removed yet, the UMAC send
   its window as well.
 - LMAC received hiscorical protection window, and set protection.
 - To configure the chain ant req, LMAC need to access the PHY.
   Since the PHY is in PS mode, we get assert when trying to access the PHY.

Fix:
If phy is not exist, coex status is off.
Check if coex status is not off before starting coex protection.

RC is the same as bug WIFI-527459. Fixed on: https://gerritwcs.ir.intel.com/c/wcd_fw-dev/+/177112"
WIFI-628009,WIFI,2025,Connectivity,Fix along with https://jira.idoc.intel.com/browse/DCR-3171
WIFI-626295,WIFI,2025,Connectivity,"2 sec delay in entering SX due to synchronization with CSME, which is unnecessary when its policy is not enabled.

"
WIFI-623947,WIFI,2025,Connectivity,"It is a dup of WIFI-410816
I could not reject it as dup."
WIFI-618492,WIFI,2025,Connectivity,
WIFI-616461,WIFI,2025,Connectivity,"When an older installer is already installed, the new installer looked for iProData.ini in the old installer original location instead of the currently running installer. If the old installer was removed, the new installer won't find iProData.ini and will fail."
WIFI-607289,WIFI,2025,Connectivity,wrong configuration sets 5 / 7
WIFI-594472,WIFI,2025,Connectivity,Fixing inconsistency of suspend command not being sent for certain tid's
WIFI-582252,WIFI,2025,Connectivity,"Disable DCDC modes for FmP / GaP. Which means we are not allowing transitions between PWM to PFM.
We suspect that those transition interfere the STEP."
WIFI-578697,WIFI,2025,Connectivity,UEFI fix cipher reset behavior after a failed SAE connection
WIFI-578536,WIFI,2025,Connectivity,"Changed the BA/CTS/ACK ant selection to be 1st based on RSSI and then on the preferred ant that is also controlled by the TLC.
Next fix was due to incorrect energy array index usage, so the energy compare was wrong."
WIFI-576597,WIFI,2025,Connectivity,"Assert was removed, found to be not properly set"
WIFI-576414,WIFI,2025,Connectivity,"LQ value should be updated upon receiving a beacon, it is
checked if the beacon is from our associated APs BSSID (which fails, as the
BSSID is different between VAP and actual beacon in air)"
WIFI-574875,WIFI,2025,Connectivity,"Fix Sar activation via addition of callback after tx end
"
WIFI-573979,WIFI,2025,Connectivity,fixed on core92
WIFI-564738,WIFI,2024,Connectivity,Improved platform stability by adding timeout for HW events which are not sent on time
WIFI-562968,WIFI,2024,Connectivity,explained by or
WIFI-560195,WIFI,2024,Connectivity,Addition of HW timeout during platform reset.
WIFI-558281,WIFI,2024,Connectivity,"LQ value should be updated upon receiving a beacon, it is
checked if the beacon is from our associated APs BSSID (which fails, as the
BSSID is different between VAP and actual beacon in air)"
WIFI-551095,WIFI,2024,Connectivity,"Improve behavior during multi-link probe response during rejection of a link.
"
WIFI-548045,WIFI,2024,Connectivity,Fix a race during back-to-back RFI commands that are being sent.
WIFI-546978,WIFI,2024,Connectivity,SAP fixes from Meir on WHQL WiMan version 2449.91.92
WIFI-546162,WIFI,2024,Connectivity,Miscalculation of pointers refcount when MLD AP changes from legacy to MLD mode
WIFI-544301,WIFI,2024,Performance,"DSP latency in 160MHz on HrP (long delay between rx_on_air drop to rx_frame drop) can cause false wpal error (move_to_tx) when responding with BA to Rx.
This NMI is now disabled in HrP when working on 160MHz"
WIFI-541811,WIFI,2024,Connectivity,"Fix STEP noise issues by removing DCDC modes.
"
WIFI-540995,WIFI,2024,Connectivity,Fixed Sensing installation issue due to invalid extension INF.
WIFI-538541,WIFI,2024,Connectivity,"In case the AP is sending in RRM request 2 different channels but on
different IEs, we will answer and scan only to the second.
the fix is to initiate the number of channel at before starting to parse the RRM
action frame so we will not override it"
WIFI-532614,WIFI,2024,Connectivity,"Addition of WPA3 Enterprise publication as part of supported OS security capabilities. 
"
WIFI-528912,WIFI,2024,Connectivity,Improvements of Scan efficiency during p2p scan discovery
WIFI-527235,WIFI,2024,Connectivity,Added optimizations to save time -  if we recently heard the ssid no need to trigger another scan.
WIFI-525518,WIFI,2024,Performance,Fixed initialization parameters of Windows performance counters
WIFI-524086,WIFI,2024,Connectivity,Improved error handling of WIFI-WIAMT communication in case WIFI driver is disabled and communication API is closed. 
WIFI-521571,WIFI,2024,Connectivity,Fix for MLD AP record keeping in the BSS table data base.
WIFI-520916,WIFI,2024,Connectivity,"Duplicate root cause as WIFI-503974, but can't set as duplicate as this is a different customer"
WIFI-520712,WIFI,2024,Connectivity,"In LSO flow, the TCP headers had to set the PSH flag only for the last fragment.
For that, driver reset this bit for all the fragments and tried to restore TCP headers back to original in the last fragment.
But the ""original"" was overwritten by the last used header, thus we never really set the PSH bit again."
WIFI-519220,WIFI,2024,Connectivity,Change in requirements
WIFI-517107,WIFI,2024,Connectivity,missing support HrP1 in HW list file
WIFI-515364,WIFI,2024,Connectivity,
WIFI-512869,WIFI,2024,Connectivity,rebuild with renewed certificate
WIFI-511534,WIFI,2024,Connectivity,the driver notified to the OS that it supported WPA3 ENT + TKIP (which is not a valid combination) 
WIFI-511524,WIFI,2024,Connectivity,issue was already implemented in newer build.
WIFI-509791,WIFI,2024,Connectivity,display error in netsh wlan show driver
WIFI-506182,WIFI,2024,Connectivity,"packets was not set to done if OS tried to send them and the queue was closed.
we are not 100% sure this is the root cause, but this should fix the issue anyway"
WIFI-504849,WIFI,2024,Connectivity,The requirement changed and the code was not updated accordingly.
WIFI-499116,WIFI,2024,Connectivity,instead of sizeof(SMBIOSHEADER) there is sizeof(PSMBIOSHEADER)
WIFI-496624,WIFI,2024,Connectivity,"FSEQ fix, FW: 2a9c8cc7c66f5f7441c8e1679214b76059a6aca1
STEP URM vs high speed changes."
WIFI-496617,WIFI,2024,Connectivity,"FSEQ fix, FW: 2a9c8cc7c66f5f7441c8e1679214b76059a6aca1
STEP URM vs high speed changes."
WIFI-495550,WIFI,2024,Connectivity,"Even though the original logs showed another issue, customer claims the fix for https://jira.idoc.intel.com/browse/WIFI-445053 resolved this issue.
Setting to implemented as requested.

If indeed it is the same issue, we can use the same root cause.
Otherwise, no real root cause can be filled :)"
WIFI-492962,WIFI,2024,Connectivity,
WIFI-490254,WIFI,2024,Connectivity,Got an Oid with discovery filter hint with channel 0
WIFI-479724,WIFI,2024,Connectivity,full URM solution implemented
WIFI-477517,WIFI,2024,Performance,Forcing STEP low latency from I -> R
WIFI-474818,WIFI,2024,Connectivity,"txScdSendFragReleaseCb is used from several locations(both tx complete and
from flush cmd cb)
when called from flush CB, it is called with status abort.
on this case, we released the SGL without locking the scheduler,
so tx complete flow might use released memory.
"
WIFI-474281,WIFI,2024,Connectivity,DCR-2966 was missing
WIFI-473507,WIFI,2024,BSOD,Seems that storm of 0x22ce caused the issue
WIFI-470924,WIFI,2024,Connectivity,"The FW DP marked log duration from > 18ms as error while this AP sends us frames of ~25ms.
Change the FW error limit to 32ms."
WIFI-470213,WIFI,2024,Connectivity,"RC for internal usage only:
PLL Power Up + Lock failure due to race between LMAC/WRCTRL Sequencer and the TCM."
WIFI-469496,WIFI,2024,Connectivity,"memAlloc failure, due to stressing with prime95"
WIFI-468811,WIFI,2024,Connectivity,implemented full URM solution
WIFI-468802,WIFI,2024,Connectivity,missing clear rxInProgress upon assert in rfdQueueProcessFragments
