issue_year,jira_id,ips_title,technology,platform,jira_platform,ips_platform,ips_priority,deduced_issue_category,category_confidence,jira_exposure
2022,WIFI-196810,[Lenovo_Thinkpad JP][Griffin][Win11][ADL][GfP2][FW Assert:0x1F0C] L860R+ mobile hot-spot clients disconnect after playing video for 1-2 minutes,WiFi,Alder Lake,Alder Lake,,,P2P,0.1525,2-High
2022,WIFI-196777,[Lenovo Thinkpad JP][Alderlake][Jaguar2/Panther2][GarfieldPeak2][FW Assert: 0x91]Yellow Bang encountered when machine is left idle for few hours while connected to Wi-Fi network,WiFi,Alder Lake,Alder Lake,,,YB/Lost,0.1199,2-High
2022,CIE-1934,"[Lenovo-ThinkPad][Phoenix-Serval2][AlderLake][AX211][21H2][100%]""Gaming"" category still show on the vPro SKUs",Other,Alder Lake,Alder Lake,,,Connectivity,0.1509,2-High
2022,CIE-1953,"[Lenovo-ThinkPad][Golem_Talos][AlderLake][AX211][21H2][100%]:Error id 16 ""Intel Connectivity Network service loading config file error"" after reset system",Other,Alder Lake,Alder Lake,,,Connectivity,0.1204,3-Medium
2022,CIE-1954,"[Lenovo-ThinkPad][Triones][AlderLake][AX211][21H2][100%]:Event ID 7023 The Intel Connectivity Service service terminated"" happensduring Restart test",Other,Alder Lake,Alder Lake,,,Connectivity,0.1251,3-Medium
2022,CIE-1955,"[Lenovo-ThinkPad][Jaguar/Panther-2][AlderLake][AX211][21H2][100%]: ICPS UWP not automatically uninstalled and not work when ICPS entitlement bit is ""disabled""",Other,Alder Lake,Alder Lake,,,ICPS,0.1911,1-Critical
2022,CIE-1998,[Lenovo-IdeaPad][S770-13IAP][AlderLake][AX211][21H2][IntcCo11X64.sys]BSOD 0X1E happen during music playback longrun,Other,Alder Lake,Alder Lake,,,BSOD,0.1878,2-High
2022,CIE-2000,"[Lenovo-ThinkPad][Jaguar-Panther2][AlderLake][AX211][21H2][100%]:The images in the ""Type"" column of Network Health are generically labeled as ""image""",Other,Alder Lake,Alder Lake,,,Connectivity,0.1374,3-Medium
2022,BT-66763,[Lenovo-IdeaPad][S970/ADL/GfP][win11][SIT] DUT can not transfer file immediately after S4 resume.,BT,Alder Lake,Alder Lake,,,Connectivity,0.2058,1-Critical
2022,BT-67047,[Lenovo-IdeaPad][S770-14/ADL/GfP/HrP][win11] DUT can not transfer files to unpaired pc,BT,Alder Lake,Alder Lake,,,Connectivity,0.1969,1-Critical
2022,WIFI-206159,[Lenovo LCFC][Griffin/Roc]Restart stress test happen BSOD point to Netwtw10.sys (BUGCODE_NDIS_DRIVER_LIVE_DUMP (15e)) on Factory Build(F/R:1/300 units) - ndis!ndisMReenumerateFailedAdapterInternal,WiFi,Alder Lake,Alder Lake,,,BSOD,0.2322,1-Critical
2022,BT-70178,[Lenovo ThinkPad JP][jaguar_2_panther_2][ADL-P][[Tile Ring] Tile Ring pulse irregularity,BT,Alder Lake,Alder Lake,,,Connectivity,0.2233,2-High
2022,BT-70918,[Accessories_Certification][Lenovo Go][4.3.3.3.1] A2DP profile version is not v1.3.1,BT,Alder Lake,Alder Lake,,,Connectivity,0.204,2-High
2022,BT-70919,[Accessories_Certification][Lenovo Go][4.3.3.4.1] AVRCP profile version is not 1.6.2,BT,Alder Lake,Alder Lake,,,Connectivity,0.204,2-High
2022,CIE-2105,"[Lenovo-ThinkPad][Jaguar/Panther-2][AlderLake][AX211][21H2][100%]: Advance Settings of ""Pop up notification for better access points"" UI not synchronously",Other,Alder Lake,Alder Lake,,,Connectivity,0.1265,2-High
2022,BT-70921,[Accessories_Certification][Lenovo Go][4.3.3.5.1] DID profile 1.3 version is not available,BT,Alder Lake,Alder Lake,,,Connectivity,0.1978,2-High
2022,BT-70922,[Accessories_Certification][Lenovo Go][4.3.4.4] Generation of non-resolvable private address is not used by HDUT,BT,Alder Lake,Alder Lake,,,Connectivity,0.1905,2-High
2022,WIFI-212070,<Never Crash PR80514>[Lenovo ThinkPad CN][LCFC][E490E590E14E15]0x9F_3_SETPOWER_IMAGE_Netwtw10.sys --Wdf01000!FxPkgFdo::_PowerPassDown+0x79,WiFi,Whiskey Lake,Whiskey Lake,,,BSOD,0.1047,2-High
2022,CIE-2137,[Lenovo-IdeaPad][Thinkbook plus G3 IAP][AlderLake][AX211][21H2][100%]: ICPS window becomes black screen after 2nd time openning in All Apps,Other,Alder Lake,Alder Lake,,,ICPS,0.1545,2-High
2022,CIE-2150,"[Lenovo-ThinkPad][Libra-1][AlderLake][AX211][21H2][<5%]:Error ID 1000(IDBWM.exe) was found during S4 stress test(F/R:1/13 units,1/1950 total trials) -- IDBWM+0xb4019",Other,Alder Lake,Alder Lake,,,YB/Lost,0.1108,2-High
2022,BT-79480,[Accessories_Certification][4.3.3.5.1] DID Profile Version - Lenovo Go does not have DID profile version,BT,Alder Lake,Alder Lake,,,Connectivity,0.1813,2-High
2022,WIFI-228473,[Lenovo IdeaPad][Y770 SV2][ADL][AX211]scan list is empty after resume from MS,WiFi,Alder Lake,Alder Lake,,,P2P,0.1176,2-High
2022,BT-81178,[Lenovo ThinkPad JP][NDA-V/Valkyrie-1/ADLP/GfP2][V-Keyboard][21H2/22H2] NDA-V KBD BLE Pre-pairing Reconnect Failure,BT,Alder Lake,Alder Lake,,,Connectivity,0.1929,1-Critical
2022,WIFI-231499,"[Lenovo-Ideapad][C770][AX201][TGL][Field Issue]Lenovo PM found WLAN frequently YB during daily work(F/R: 2-3 times one day) FW assert 0x310, 0xA5A5A5A2",WiFi,Alder Lake,Alder Lake,,,YB/Lost,0.1652,2-High
2022,WIFI-234899,[Lenovo-Desktop][CITU][Foxconn][Falcon][Sapphire Rapids CPU][AX211][10 Pro][100%]CITU not work when running testing.,WiFi,Alder Lake,Alder Lake,,,Sensing,0.1096,2-High
2022,WOT-20325,[CLONE][Lenovo-Desktop][CITU][Foxconn][Falcon][Sapphire Rapids CPU][AX211][10 Pro][100%]CITU not work when running testing.,Other,Alder Lake,Alder Lake,,,Connectivity,0.1143,2-High
2022,CIE-2417,"[Lenovo][S770 14 ProX][i5 12450H][AX411][Win11 21H2][100%]BSoD 0x13a and point to ""IntcCo11X64!Redir_PerformRedirectionOOB"" During AX411 Double Connect Testing",Other,Alder Lake,Alder Lake,,,BSOD,0.1894,2-High
2022,WIFI-236751,[Lenovo-DT][M90q-3][ADL][9560][SV2][ECR611026] Intel9560 WiFi(2.4G 802.11n)WiFi data rate in OS not meet with spec,WiFi,Alder Lake,Alder Lake,,,Performance,0.1707,2-High
2022,CIE-2444,[Lenovo-ThinkPad][T16][AlderLake][AX211][21H2][100%]:ethernet not removed from the Network Health list if unplug the ethernet cable,Other,Alder Lake,Alder Lake,,,Connectivity,0.148,2-High
2022,CIE-2445,[Lenovo-ThinkPad][T16][AlderLake][AX211][21H2][100%]:WWAN not listed in Network Health page,Other,Alder Lake,Alder Lake,,,Connectivity,0.1313,2-High
2022,WIFI-242638,[Lenovo-IdeaPad][ADL][SV2][S770-14pro][win11][SVT][HrP]0XD1 BSOD when codeboot,WiFi,Alder Lake,Alder Lake,,,BSOD,0.245,2-High
2022,CIE-2466,"[Lenovo-ThinkPad][T16][AlderLake][AX211][21H2][100%]:""Advanced Connection Manager"" tab is missing even WIFI and WWAN both are connected",Other,Alder Lake,Alder Lake,,,Connectivity,0.1418,2-High
2022,CIE-2471,[Lenovo-IdeaPad][LCFC][C980][RaptorLake][AX211][22H2][100%][ICPS2.0]:Fail to connect to better network by clicking Connect button from System Notification.,Other,Raptor Lake Client Platforms,Raptor Lake Client Platforms,,,Connectivity,0.1129,2-High
2022,BT-92658,[Lenovo-IdeaPad][S770-14pro/ADL RVP/HrP2][SV2][22H2] Bluetooth headset no sound after DUT reboot,BT,Alder Lake,Alder Lake,,,Connectivity,0.2348,2-High
2022,CIE-2476,[Lenovo][T16][AlderLake][AX211][22H2][100%][ICPS2.0]:ACM doesnt work when WWAN and another network are connected,Other,Alder Lake,Alder Lake,,,Connectivity,0.113,2-High
2022,CIE-2479,[Lenovo][S970][AlderLake][AX211][40%][ICPS1.0]: ICPS cannot launch after OOBE due to ICPS drivers uninstalled automatically.,Other,Alder Lake,Alder Lake,,,ICPS,0.2255,2-High
2022,WIFI-248472,"[Lenovo][ThinkPad T14][HrP2, AX201] Client WiFi fails to locate 6 GHz APs.",WiFi,Whiskey Lake,Whiskey Lake,,,Sensing,0.1654,2-High
2022,CIE-2503,"[Lenovo-ThinkPad][T16][AlderLake][AX211][21H2][100%]:""Advanced Connection Manager"" tab Show Up While the very first time UWP lauch without any Connected Interface",Other,Alder Lake,Alder Lake,,,Connectivity,0.1561,2-High
2022,WIFI-251545,[LENOVO][S770] Wi-Fi sensing WOA&WAL distance and WAL time not confirm to Intel KPI,WiFi,Alder Lake,Alder Lake,,,Sensing,0.1709,2-High
2022,BT-99362,[Lenovo ThinkPad JP/LCFC][Project V/ADL/GfP2][SV2] BT headset is disconnected when attend Teams meeting with connecting VK1 BT option KBD.,BT,Alder Lake,Alder Lake,,,Connectivity,0.1984,1-Critical
2022,CIE-2526,[Lenovo IdeaPad][Y780P-IRX][FVT][RPL-X][LCFC][HF][Win11]Killer(R) Wi-Fi 6E AX1675i (AX411)-Settings&General Information still show 5G band when switch connection to a 2.4G band,Other,Raptor Lake Client Platforms,Raptor Lake Client Platforms,,,Connectivity,0.1154,2-High
2022,WIFI-255786,[LENOVO][X1 Carbon] Wi-Fi sensing - WoA distance doesnt meet the KPI,WiFi,Alder Lake,Alder Lake,,,Performance,0.1331,2-High
2022,BT-102137,"[Lenovo_IdeaPad/LCFC][C980/RPL|ADL RVP/GfP2][22H2][A2dp offload] BT headset cant be removed while BT headset is playing video and music simultaneously(F/R: 2/2units, 4/4cycles)",BT,Raptor Lake Client Platforms,Raptor Lake Client Platforms,,,Connectivity,0.2027,1-Critical
2022,WIFI-257942,[Lenovo-IdeaPad][KYG90[SIT][RPL-P][LCFC][HF][Win11][Netwtw10!_scanAgentCompleteRequest]BSOD 0x7E happened which related with Intel WLAN when system reboot,WiFi,Raptor Lake Client Platforms,Raptor Lake Client Platforms,,,BSOD,0.2206,2-High
2022,WIFI-258690,[Lenovo-IdeaPad][WT][D580][RPL-P][AX211][22H1][100%]UHB CH213 HE160Mhz conductive throughput can not meet Lenovo criteria at high attenuation,WiFi,Raptor Lake Client Platforms,Raptor Lake Client Platforms,,,Performance,0.18,1-Critical
2022,WIFI-260543,[Lenovo-Thinkpad][Fenrir2][RPL][AX211][YB][FW_Assert: 0x91] WIfi YB happened randomly,WiFi,Raptor Lake Client Platforms,Raptor Lake Client Platforms,,,YB/Lost,0.2265,2-High
2022,BT-105979,[Input_Accessories_Certification][Lenovo][VK1][3.4.4.4] KDUT does Not support 6-digit number for PCDUT,BT,Alder Lake,Alder Lake,,,Connectivity,0.2,2-High
2022,BT-105960,[Input_Accessories_Certification][Lenovo][VK1][3.4.4.3] KDUT does Not support 6-digit number for PCDUT,BT,Alder Lake,Alder Lake,,,Connectivity,0.2,2-High
2022,BT-105959,"[Input_Accessories_Certification][Lenovo][VK1][3.3.3.1]KDUT doenst support LE Security Mode 1, Level 4",BT,Alder Lake,Alder Lake,,,Connectivity,0.1953,1-Critical
2022,BT-106892,[Input_Accessories_Certification][Lenovo][VK1][3.3.4.8] KDUT does not support 2nd button for ref Client.,BT,Alder Lake,Alder Lake,,,Connectivity,0.19,2-High
2022,CIE-2602,[Lenovo-IdeaPad][LCFC][C980][RaptorLake][AX211][22H2][100%][ICPS2.0]:Max Throughput Mode doesnt work,Other,Raptor Lake Client Platforms,Raptor Lake Client Platforms,,,Performance,0.1245,1-Critical
2022,BT-108392,[Input_Accessories_Certification][Lenovo][VK1][3.3.10] Device Information Service only includes PnPID and Manufacture name,BT,Alder Lake,Alder Lake,,,Connectivity,0.1763,2-High
2022,CIE-2641,[Lenovo][C980][RaptorLake][AX211][22H2][100%][ICPS2.0]:Vulnerability on SQLITE3 v3.36.0,Other,Raptor Lake Client Platforms,Raptor Lake Client Platforms,,,Connectivity,0.1216,2-High
2022,BT-109001,[Lenovo ThinkPad JP/LCFC][Thor-P 3/GfP2][BM62] HLK Bluetooth A2DP test item failure with Model 2435 BM62 and Model 2411 Traduci on Win11 21H2,BT,Alder Lake,Alder Lake,,,HLK,0.3177,1-Critical
2022,BT-109427,[Input_Accessories_Certification][Lenovo][Professional Rechargeable Mouse][3.5.3.1] MDUT Swift Pair Connection - PCDUT does not report ADV to Host for several seconds.,BT,Alder Lake,Alder Lake,,,Connectivity,0.2124,2-High
2022,BT-109428,[Input_Accessories_Certification][Lenovo][Professional Rechargeable Mouse][3.5.5.1] MDUT Reconnection - HCI_Encription_Change increases the reconnection time.,BT,Alder Lake,Alder Lake,,,Connectivity,0.2175,2-High
2022,WIFI-267943,"[Lenovo IdeaPad][Ax411][Y770S-IAH PCR_V57 Preload]Unit occur BSOD(0*009F) point to Netwaw10 when record play the record file.(F/R: 1/2units,1/20cycles)",WiFi,Alder Lake,Alder Lake,,,BSOD,0.1991,2-High
2022,CIE-2661,CLONE - [Lenovo][T16][AlderLake][AX211][WIN10 22H2][100%][ICPS2.0]:ACM doesnt work when WWAN and another network are connected,Other,Alder Lake,Alder Lake,,,Connectivity,0.113,2-High
2022,WIFI-269634,"[Lenovo-Thinkpad][lenovo][Golem2 Talos2 Inte][Raptor][AX201/AX211][22H2][100%] 22H2 FVT2.0: The video show garbage twice a minute when projecting PC/smartphone to PC.(FR:2/2 units, 4/4 times)",WiFi,Raptor Lake Client Platforms,Raptor Lake Client Platforms,,,P2P,0.1592,2-High
2022,WIFI-270139,[Lenovo-IdeaPad][ADL][SV2][Yogabook9][win11][RPL][GfP2]can not get SAR table from P-Sensor HID,WiFi,Raptor Lake Client Platforms,Raptor Lake Client Platforms,,,Connectivity,0.1077,1-Critical
2022,BT-113558,[Input_Accessories_Certification][Lenovo][Professional Wireless Rechargeable Combo][3.3.10] Device Information Service - MDUT NOT found FW version and Serial Number Characteristics in ATT,BT,Alder Lake,Alder Lake,,,Connectivity,0.1669,2-High
2022,BT-114166,"[Lenovo-IdeaPad/Inhouse][S980-16pro/RPL RVP/GfP2][win11][A2dp offload disabled] BT headset occurs ""zizi"" noise when clicking the volume via ""action center"". (FR:2/2units,18/20cycles)",BT,Raptor Lake Client Platforms,Raptor Lake Client Platforms,,,Connectivity,0.1976,1-Critical
2022,BT-114200,[Input_Accessories_Certification][Lenovo][Professional Wireless Rechargeable Combo][3.3.10] Device Information Service - KDUT NOT found FW version and Serial Number Characteristics in ATT,BT,Alder Lake,Alder Lake,,,Connectivity,0.1652,2-High
2022,BT-114738,[Input_Accessories_Certification][Lenovo][Professional Wireless Rechargeable Combo Mouse][3.5.3.1] MDUT Swift Pair Connection - connection time does not meet the spec,BT,Alder Lake,Alder Lake,,,Connectivity,0.2258,2-High
2022,WOT-26656,[Lenovo-IdeaPad][RPL][SV2][S980-16pro][win11][FVT][GFP][ANT Tool]ANT cannot display bit9-11 settings of DSM function 3,Other,Raptor Lake Client Platforms,Raptor Lake Client Platforms,,,Connectivity,0.1057,3-Medium
2023,CIE-2763,[Lenovo][RaptorLake][AX211][22H2][100%][ICPS2.0]: SSID shows &amp; instead of & if connect AP in ICPS,Other,Raptor Lake Client Platforms,Raptor Lake Client Platforms,,,ICPS,0.1231,4-Low
2023,CIE-2767,[Lenovo][RaptorLake][AX211][22H2][100%][ICPS2.0]: It will delay over 30 seconds to refresh AP info in ICPS,Other,Raptor Lake Client Platforms,Raptor Lake Client Platforms,,,ICPS,0.144,3-Medium
2023,BT-116401,[Lenovo Thinkpad JP/Wistron][Thinkbook13s/RPL-P/GfP2][HLK/iSST][BM62] Bluetooth - Audio - Source radio disabled and re-enabled while playing music tone with A2DP offload fail,BT,Raptor Lake Client Platforms,Raptor Lake Client Platforms,,,HLK,0.1813,2-High
2023,WIFI-278015,[ICS 774186][Travelers Insurance][Lenovo] IP self name resolution behavior with Cisco VPN,WiFi,Agnostic,Agnostic,,,Performance,0.1201,3-Medium
2023,BT-118035,[Input_Accessories_Certification][Lenovo][[VK1 KBD] [3.3.4.4]Connection interval doesnt meet the spec,BT,Alder Lake,Alder Lake,,,Connectivity,0.2095,2-High
2023,CIE-2938,[Lenovo][RaptorLake][AX211][22H2][100%][ICPS2.0]: Passcode incorrect will be shown when connect Wifi with correct passcode,Other,Raptor Lake Client Platforms,Raptor Lake Client Platforms,,,Connectivity,0.1118,2-High
2023,,[Lenovo-IdeaPad][MTL][SV2][S580-16pro][win11][GFP] AX211 YB after resume from S4 (Connected with AP then go to S4),WiFi,(missing),,,Medium,YB/Lost,0.1377,3-Medium
2023,,[Jaguar-3][GarfieldPeak2][Raptorlake] Yellow Bang encountered on WLAN device,WiFi,Raptor Lake Client Platforms,,Raptor Lake Client Platforms,Critical,YB/Lost,0.1948,1-Critical
2023,,[Lenovo_Valkyrie][SVT][BT]Headset Mic(Jabra Evolve 75) Mute mutes speakers as w,BT,Alder Lake,,Alder Lake,High,Connectivity,0.2303,2-High
2023,WIFI-287055,"[MTL-P][CSLP][Lenovo_Thames][22H2][WW1.4GC][HSD 14018641332] Observed YB : Intel(R) Wi-Fi 6E AX211 160MHz during S4 cycling-- FATAL_ERROR: uCode ASSERT(UMAC, rtStatus = 0x21101326",WiFi,Meteor Lake,Meteor Lake,,,YB/Lost,0.1894,2-High
2023,,[Lenovo ThinkPad JP][LCFC][Sideswipe intel][AX200] Wifi Intel driver issue causing the Wifi to disappear,WiFi,Whiskey Lake,,Whiskey Lake,Critical,Sensing,0.1175,1-Critical
2023,BT-125967,[Input_Accessories_Certification][Lenovo][Legion Wireless Gaming Mouse][3.5.4.1][3.5.5.1][3.5.6.1] MDUT Reconnection does not meet the spec,BT,Alder Lake,Alder Lake,,,Connectivity,0.2131,2-High
2023,WIFI-287880,[Lenovo][Field Issue][TB 13s G4 IAP][ADL-P][AX201][Assert_0x91]WiFi YB when plug in a USB wireless mouse dongle(Fail Rate: 100%),WiFi,Alder Lake,Alder Lake,,,YB/Lost,0.147,2-High
2023,WIFI-287970,[MTL-P][CSLP][Lenovo_Thames][22H2][GalePeak2][Internal] BSOD9f encountered on Thames-1 system and is pointing to WLAN -- 0x9F_3_Netwaw12_IMAGE_pci.sys,WiFi,Meteor Lake,Meteor Lake,,,System Hang,0.1466,1-Critical
2023,WOT-27909,[Lenovo ThinkPad JP][ThamesMersey1][MTL]CITU tool not working on MTL platform UMAC Assert : 0x20100505,Other,Meteor Lake,Meteor Lake,,,Connectivity,0.1155,3-Medium
2023,,[Lenovo-ThinkPad][Zeus-3][RPL]  System shows internet connection error during OOB,WiFi,Raptor Lake Client Platforms,,Raptor Lake Client Platforms,High,System Hang,0.1052,2-High
2023,,T14s Gen1a with Intel AX201 -  WiFi disconnects when roaming from 40 to 80MHz AP,WiFi,Comet Lake,,Comet Lake,Medium,Sensing,0.1465,3-Medium
2023,WIFI-290075,[LCFC_IdeaPad][S380IRU][RPL][AX203][SV2][SIT]The EUT occur BSOD 0xC2 during Fast Startup stress test FR<5%,WiFi,Raptor Lake Client Platforms,Raptor Lake Client Platforms,,,BSOD,0.2219,2-High
2023,,[Lenovo IdeaPad][Inhouse][Y980][RPL][Win11][FVT]  swift pair BT mouse connect fail,BT,Raptor Lake Client Platforms,,Raptor Lake Client Platforms,Medium,Connectivity,0.1934,3-Medium
2023,,[LCFC_ThinkPad][Griffin2_Roc2_AMD]L860R+ WWAN Cellular lost or modem core dump generated during MS test,Other,AMD Renoir,,AMD Renoir,High,YB/Lost,0.1367,2-High
2023,,[Lenovo IdeaPad][Inhouse][Y980][RPL][Win11][FVT]  Killer APP DOTO2 prority not right with LAN & WIFI,Other,Raptor Lake Client Platforms,,Raptor Lake Client Platforms,Medium,Performance,0.1213,3-Medium
2023,WOT-28348,[Lenovo ThinkPad JP][ThamesMersey1][MTL-P]CITU Basic Test Failure,Other,Meteor Lake,Meteor Lake,,,Connectivity,0.128,2-High
2023,WIFI-290882,"[Lenovo ThinkPad JP][ThamesMersey1][MTL-P]CITU Marginal Test Failure -- 7074 0000007074    01:47:04:977    [NIC_DEBUG    ][14] [E] FATAL_ERROR: uCode ASSERT(UMAC, rtStatus = 0x20100505, log is  valid. data1 = 0x2, data2 = 0x1)",WiFi,Meteor Lake,Meteor Lake,,,YB/Lost,0.1363,2-High
2023,WIFI-292530,"[MTL-P][CSLP][Lenovo_Thames][22H2][WW1.4GC][HSD 14018641332] Observed YB : Intel(R) Wi-Fi 6E AX211 160MHz during S4 cycling-- FATAL_ERROR: uCode ASSERT(UMAC, rtStatus = 0x21101326 -- waking up without sys_clk and pwr_req",WiFi,Meteor Lake,Meteor Lake,,,YB/Lost,0.1782,2-High
2023,,[Thames/Mersey-1][Meteorlake][Windows11][GalePeak2] BSOD0x9f on GaP2 card,WiFi,Meteor Lake,,Meteor Lake,High,P2P,0.1112,2-High
2023,,[LCFC_IdeaPad][KS682 MTL][EVT]Windows 11:system cant enter MS which HW trips is 0% blocked by CNVi,WiFi,Meteor Lake,,Meteor Lake,High,Power Consumption,0.1196,2-High
2023,,[Lenovo_ThinkPad_JP][ThamesMersey1][MTL] Bluetooth device YB during S4 Run-in Test,BT,Meteor Lake,,Meteor Lake,Medium,YB/Lost,0.2656,3-Medium
2023,BT-130954,[Lenovo Thinkpad JP][Thames/Mersey1/MTL/GaP2][SV3] Enable Bluetooth audio offload on I2S1 instead of I2S2,BT,Meteor Lake,Meteor Lake,,,Connectivity,0.1993,2-High
2023,,[Lenovo ThinkPad JP][LCFC][Tiger serval][AX210]] WIFI AX210 auto disconnect and then cannot detect access point from HK,WiFi,Tiger Lake,,Tiger Lake,Critical,BIOS,0.1111,1-Critical
2023,,"[Lenovo IdeaPad][Inhouse][Y980][RPL][Win11][SIT]  BT always PLDR , cant work",BT,Raptor Lake Client Platforms,,Raptor Lake Client Platforms,Critical,Connectivity,0.1804,1-Critical
2023,,[Lenovo ThinkPad JP][LCFC][Mercury3Mars3Intel][AX201]E15 Gen 4:Intel AX201 connectivity issue at Neyagawa Sanatorium,WiFi,Alder Lake,,Alder Lake,Critical,Performance,0.1403,1-Critical
2023,,[Lenovo_ThinkPad_JP][ThamesMersey1][MTL] Bluetooth HP (GaP2) is connected and working but not offloaded,BT,Meteor Lake,,Meteor Lake,High,Connectivity,0.2177,2-High
2023,,[Lenovo-IdeaPad][ThinkBook Twist KB240][IRP][SIT][LCFC-HF]Intel AX211 cant connect to this network,WiFi,Raptor Lake Client Platforms,,Raptor Lake Client Platforms,High,Connectivity,0.1212,2-High
2023,,"[Lenovo-IdeaPad][RPL][SV2][Yogabook9][win11][SIT][GFP]DM show YB(Intel Wireless Bluetooth) after sleep overnight by close lid.(FR:1/6units,1/12times).",BT,Raptor Lake Client Platforms,,Raptor Lake Client Platforms,High,Connectivity,0.1849,2-High
2023,WOT-29248,"[Clone][Lenovo ThinkPad JP][ThamesMersey1][MTL-P]CITU Marginal Test Failure -- 7074 0000007074    01:47:04:977    [NIC_DEBUG    ][14] [E] FATAL_ERROR: uCode ASSERT(UMAC, rtStatus = 0x20100505, log is  valid. data1 = 0x2, data2 = 0x1)",Other,Meteor Lake,Meteor Lake,,,YB/Lost,0.1302,2-High
2023,WIFI-297198,"[IPS 00790102][CSME][PWC][Lenovo Thinkpad][X13 Gen 3][CML]WiFi disconnects, scan list empty",WiFi,Comet Lake,Comet Lake,,,Performance,0.1429,2-High
2023,WIFI-297918,[PWC][PWC Germany][Lenovo Thinkpad][AX201] Loss of connectivity after 0x8FE assert,WiFi,Comet Lake,Comet Lake,,,Performance,0.1473,2-High
2023,WIFI-298004,[IPS 00787273][Hugo Boss][Lenovo Thinkpad] Connectivity failure. 0x8FE assert seen in corporate environment. Customer suspects roaming from 40MHz to 80MHz network,WiFi,Comet Lake,Comet Lake,,,Connectivity,0.1409,3-Medium
2023,,"[Lenovo IdeaPad][Inhouse][Y980][RPL][Win11][SIT]  cant connect with MTK PC , reboot recover",BT,Raptor Lake Client Platforms,,Raptor Lake Client Platforms,Critical,Connectivity,0.1593,1-Critical
2023,WIFI-299483,[Lenovo ThinkPad JP][ThamesMersey1][MTL-P]CITU tool WiFi connection Failure when using G-layout driver,WiFi,Meteor Lake,Meteor Lake,,,Connectivity,0.1132,2-High
2023,,[Lenovo LCFC][Missouri\Rhone]It happens power management error for network then BSOD 0x133,WiFi,Raptor Lake Client Platforms,,Raptor Lake Client Platforms,Critical,BSOD,0.179,1-Critical
2023,,[RPL/TGL/MTL] No MAC address shown when using BIOS with 3.2.20 UEFI FW,WiFi,Raptor Lake Client Platforms,,Raptor Lake Client Platforms,High,UEFI,0.1783,2-High
2023,,[Lenovo ThinkPad CN][LCFC][E14E15Gen2Intel][Intel AX201]Intel WLAN AX201 Intermittent slow WLAN connection speeds,WiFi,Tiger Lake,,Tiger Lake,High,Performance,0.1159,2-High
2023,,Y760S ACH Intel AX200 WLAN show yellow bang(code 10) after UX full reboot,WiFi,AMD Ryzen,,AMD Ryzen,High,YB/Lost,0.149,2-High
2023,,T14 Gen 3 Intel - Not able to power on (Pin reset needed)/No WiFi  network avail,WiFi,Alder Lake,,Alder Lake,Critical,Sensing,0.1153,1-Critical
2023,,[wistron][lenovo][TB_1416_G6_IRL_FVT_Win11]:SUT encounter BSOD(Stop code: HYPERV,BT,Raptor Lake Client Platforms,,Raptor Lake Client Platforms,High,BSOD,0.2695,2-High
