issue_year,jira_id,jira_is_sw_change,ips_title,technology,platform,jira_platform,ips_platform,ips_created_date,ips_closed_date,ips_priority,deduced_issue_category,category_confidence,jira_exposure
2023,,false,[Lenovo][FXN][ThinkStation PX Tomcat][EGS][AX210][Win10 22H2][100%]The speed can not reach standard SPEC,WiFi,Unassigned,,Unassigned,2023-04-26 01:24:00,2023-06-10 00:00:00,High,Connectivity,0.1322,2-High
2023,,false,[Tigerlake][AX201] UNII1&2 Wifi undetected on Indonesia after 10minutes,WiFi,Tiger Lake,,Tiger Lake,2023-05-08 20:31:00,2023-06-12 00:00:00,High,Performance,0.1344,2-High
2023,WIFI-308133,true,[MTL] No AP scanned when using BIOS with 3.2.22 UEFI FW intermittently,WiFi,Meteor Lake,Meteor Lake,Meteor Lake,2023-05-08 20:55:00,2023-10-08 00:00:00,High,UEFI,0.1776,2-High
2023,,false,"[Y560A+A AMD]Unit disconnect AP without choose ""connect automatically"" overnight",WiFi,AMD Ryzen,,AMD Ryzen,2023-05-12 01:44:43,2024-07-19 07:19:36,High,P2P,0.1282,2-High
2023,,false,[Thames/Mersey-1][Meteorlake][Windows11][GalePeak2] WLAN device is not visible even if driver is installed,WiFi,Meteor Lake,,Meteor Lake,2023-05-16 00:07:00,2023-05-28 00:00:00,High,YB/Lost,0.1082,2-High
2023,WOT-31738,false,[Lenovo-Ideapad][RPL][DRTU][AX211] no power output under SineWave testing (100%),Other,Raptor Lake Client Platforms,Raptor Lake Client Platforms,Raptor Lake Client Platforms,2023-05-18 21:36:00,2023-07-08 00:00:00,High,Connectivity,0.1307,2-High
2023,,false,[YG 9 14IRP8]WiFi TX/RX speed slow using iperf tool.,WiFi,Raptor Lake Client Platforms,,Raptor Lake Client Platforms,2023-05-19 10:50:44,2024-07-19 07:19:06,High,Performance,0.1464,2-High
2023,,false,[RPL] No MAC address shown when using BIOS with 3.2.22 UEFI FW,WiFi,Raptor Lake Client Platforms,,Raptor Lake Client Platforms,2023-05-23 16:00:00,2023-06-19 00:00:00,High,UEFI,0.2244,2-High
2023,WOT-31991,true,[Lenovo][MarinaBay][MTL-H][Win11][EVT][EE] CNVi CITU tool can not run normally.,Other,Meteor Lake,Meteor Lake,Meteor Lake,2023-05-24 01:43:00,2023-08-22 00:00:00,High,Connectivity,0.1424,2-High
2023,,false,"[Lenovo ThinkPad JP][LCFC][ Libra][AX211]]The 5GHz band wifi will auto disconnected and disappeared in LowPwrRange which Roaming Aggressiveness:Medium,Preferred Band:Perfer 5GHz band",WiFi,Alder Lake,,Alder Lake,2023-05-25 00:45:00,2023-07-23 00:00:00,High,Connectivity,0.1319,2-High
2023,WIFI-317378,true,[MTL][AX211] Event Error ID 17 for IPF on systems after Hibernate / Resume test,WiFi,Meteor Lake,Meteor Lake,Meteor Lake,2023-05-28 23:28:00,2023-08-27 00:00:00,High,YB/Lost,0.1259,3-Medium
2023,WIFI-312496,true,[Lenovo][Wistron][Thinkbook 13X Gen2][GfP2]Intel AX211 show low Wifi connection speed under small amount of data transfer.,WiFi,Alder Lake,Alder Lake,Alder Lake,2023-05-28 22:21:00,2023-08-09 00:00:00,High,Connectivity,0.1293,1-Critical
2023,,false,"[Lenovo][Compal][Titan3.0] Stress_ CB, Intel AX201 BT lost (2/3000 cycles)",BT,Alder Lake,,Alder Lake,2023-05-28 20:36:00,2023-08-19 00:00:00,Medium,Connectivity,0.17,3-Medium
2023,,false,[MTL][GaP2] CITU Tool error on v22.235.0.4 WLAN Driver,Other,Meteor Lake,,Meteor Lake,2023-05-30 19:35:00,2023-08-27 00:00:00,High,OEM Tools,0.1435,2-High
2023,,false,[S570 IAL/S170 IAU]BT device lost during stress test(FR:2/20units;1/5799cycles),BT,Alder Lake,,Alder Lake,2023-06-06 18:51:00,2023-08-26 00:00:00,High,YB/Lost,0.2936,2-High
2023,,false,"[MTL][AX211] SW/HW Drips are lower than 90% criteria (FR:3/5 trials, 2/2 units)",WiFi,Meteor Lake,,Meteor Lake,2023-06-12 23:13:00,2023-07-19 00:00:00,High,Power Consumption,0.3817,2-High
2023,,false,"[Lenovo ThinkPad JP][LCFC][ Griffin,Roc intel][AX211]BSOD(0x9f) occurred  while running Hibernationx600(ACx300DCx300).",BT,Alder Lake,,Alder Lake,2023-06-12 00:55:00,2023-09-03 00:00:00,Critical,BSOD,0.2966,1-Critical
2023,,false,[MTL] BSOD encountered after installing PHM 4.19.2 on MTL platform,WiFi,Meteor Lake,,Meteor Lake,2023-06-13 00:20:00,2023-06-27 00:00:00,Medium,BSOD,0.1954,3-Medium
2023,,false,[Lenovo][Compal][L390][RPL-HX][AX203][Win11 22621.1778] Intel AX203 WLAN sometime show yellow bang in device manager while system idle or function testing.,WiFi,Raptor Lake Client Platforms,,Raptor Lake Client Platforms,2023-06-15 19:20:00,2023-09-03 00:00:00,High,YB/Lost,0.1437,2-High
2023,,false,[Lenovo_ThinkPad_JP][JAGUAR3][RPL][LE AUDIO] Samsung Buds 2 Pro only connects 1 earbud,BT,Raptor Lake Client Platforms,,Raptor Lake Client Platforms,2023-06-18 17:55:00,2023-07-12 00:00:00,Medium,Connectivity,0.2211,3-Medium
2023,,false,[Lenovo_ThinkPad_JP][JAGUAR3][RPL][LE AUDIO] DUT can not receive Buds Swift Pair frequently,BT,Raptor Lake Client Platforms,,Raptor Lake Client Platforms,2023-06-18 18:13:00,2023-07-12 00:00:00,Medium,Connectivity,0.2755,3-Medium
2023,WIFI-318975,true,[MTL][BE200] GaP2 TX tput unstable or disconnection during tput test.,WiFi,Meteor Lake,Meteor Lake,Meteor Lake,2023-06-22 01:10:00,2023-08-08 00:00:00,High,P2P,0.1045,2-High
2023,BT-160158,false,[S170IGL-9560]Bluetooth-LEExtendedAdvertising (Development and Integration) fail,BT,Gemini Lake,Gemini Lake,Gemini Lake,2023-06-24 23:22:00,2023-09-24 00:00:00,High,HLK,0.159,2-High
2023,WOT-33345,true,"[Lenovo][Shangri-La][MTL-H][Win11][Pre-EVT][CITU][AX211,AX203] Marginal testing of CITU only runs 1 minute with High&Full setting.",Other,Meteor Lake,Meteor Lake,Meteor Lake,2023-06-26 03:01:00,2023-08-22 00:00:00,Medium,Connectivity,0.1212,3-Medium
2023,WOT-33346,true,[Lenovo][MTL][Win11][CITU][AX203] CITU tool does not work with AX203 on MTL,Other,Meteor Lake,Meteor Lake,Meteor Lake,2023-06-26 17:46:00,2023-08-22 00:00:00,High,OEM Tools,0.1242,2-High
2023,,false,[WW27-28WS][Lenovo][MarinaBay][MTL-H][Win11][FVT][Wifi] CNVi CITU tool can not run normally.,Other,Meteor Lake,,Meteor Lake,2023-06-27 19:03:00,2023-09-05 00:00:00,High,OEM Tools,0.1361,2-High
2023,WIFI-319051,false,"[May CI][Common OS]Intel AX201&AX211 Security type show ""WPA3-Enterprise"" when connect the WPA2-Enterprise network (only happen on routers that supported 802.11ax protocol).(F/R:4/4units, 32/32cycles)",WiFi,Raptor Lake Client Platforms,Raptor Lake Client Platforms,Alder Lake,2023-06-27 02:46:00,2023-08-08 00:00:00,High,Performance,0.1321,2-High
2023,WIFI-320383,false,"[Lenovo][TB 13s][ADL][WirelessDock][AX211]PC enter MS then wake up,  connect to Dock, 10s later disconnected",WiFi,Alder Lake,Alder Lake,Alder Lake,2023-07-03 01:56:00,2023-08-16 00:00:00,High,P2P,0.1866,2-High
2023,,false,"[Lenovo Thinkbook][Lenovo][TB 13X G4][Intel AX211] BT devices will auto disconnect when play music (FR:2/2units,7/10times))",BT,Meteor Lake,,Meteor Lake,2023-07-03 20:08:00,2023-09-05 00:00:00,High,Connectivity,0.1869,2-High
2023,,false,"[Lenovo Thinkbook][Lenovo][TB 13X G4][Intel AX211]The unit Intel(R) Wireless Bluetooth(R) show yellow bang in Device Manager when play online video.(FR:1/2 units,1/6 times)",WiFi,Meteor Lake,,Meteor Lake,2023-07-03 21:44:00,2023-08-15 00:00:00,High,Connectivity,0.1481,2-High
2023,,false,"[Lenovo Thinkbook][Lenovo][TB 13X G4][Intel AX211]The unit ""Intel(R) Wi-Fi 6E AX211 160MHz"" show yellow bang in Device Manager after connect internet.(FR:1/2 units,1/8 times)",WiFi,Meteor Lake,,Meteor Lake,2023-07-03 21:50:00,2023-08-15 00:00:00,High,Connectivity,0.1496,2-High
2023,,false,"[Lenovo ThinkPad JP][LCFC][ Griffin,Roc intel][AX211]No sound output from the client unit when disconnect/remove BT headset and connect it again during video call by skype/Webex/zoom",BT,Alder Lake,,Alder Lake,2023-07-04 23:33:00,2023-08-01 00:00:00,Critical,Connectivity,0.2367,1-Critical
2023,,false,[RPL][AX211]Machine hangs after boot from S4 and Event logs shows multiple NDIS errors,WiFi,Raptor Lake Client Platforms,,Raptor Lake Client Platforms,2023-07-05 00:09:00,2023-08-14 00:00:00,High,YB/Lost,0.1095,2-High
2023,,false,"[Lenovo][S790-14Pro][MTL-H][Win11]Intel WLAN &BT show YB in DM,error code 43 during coldboot stress test.FR:1/14UUTs.1/4200cycles.",WiFi,Meteor Lake,,Meteor Lake,2023-07-06 22:59:00,2023-10-01 00:00:00,Medium,YB/Lost,0.2052,3-Medium
2023,BT-162869,true,"[Lenovo Thinkbook][Lenovo][TB 13X G4][Intel AX211]  The unit show BSOD (stop code:PAGE_FAULT_IN_NONPAGED_AREA,with memory dump) when running stress_CB. (FR:1/22 units; 1/5190 cycles)",BT,Meteor Lake,Meteor Lake,Meteor Lake,2023-07-06 00:13:00,2023-09-05 00:00:00,High,BSOD,0.2028,2-High
2023,,false,[Lenovo_ThinkPad_JP][JAGUAR3][RPL][W11_MAYCI] No Audio output after disconnect then reconnect Bluetooth Headset during Skype/Zoom video call,BT,Raptor Lake Client Platforms,,Raptor Lake Client Platforms,2023-07-10 00:54:00,2023-07-17 00:00:00,Medium,Connectivity,0.2329,3-Medium
2023,,false,[Lenovo][Compal][Titan4.0][RPL]Unit cannot search 6GHz AP when setup MCC to JP,WiFi,Raptor Lake Client Platforms,,Raptor Lake Client Platforms,2023-07-10 21:00:00,2023-10-12 00:00:00,High,Sensing,0.1506,2-High
2023,,false,conductive T-put AX211 performance fail,WiFi,Raptor Lake Client Platforms,,Raptor Lake Client Platforms,2023-07-10 22:45:00,2023-10-01 00:00:00,High,Performance,0.2867,2-High
2023,,false,[Lenovo Thinkbook][Lenovo][TB 13X G4][Intel AX211] Mobile hotspot has no function when choose 5GHz under Network band,WiFi,Meteor Lake,,Meteor Lake,2023-07-11 19:05:00,2023-08-09 00:00:00,High,Connectivity,0.1524,2-High
2023,,false,"[Lenovo][S790-14Pro][MTL-H][Win11][AX211][AX203]Intel Bluetooth show YB in DM(code 54) during coldboot stress test.(FR:2/4UUTs,2/1200Cycles)",BT,Meteor Lake,,Meteor Lake,2023-07-11 19:50:00,2023-10-08 00:00:00,High,YB/Lost,0.1945,2-High
2023,,false,"[Lenovo] [May CI][S570 IAL FFRT]Intel 9560 HWID changed to ""SUBSYS_00008086""  and show YB in device manager after Fast boot stress.(F/R:1/20units;1/5825cycles)",WiFi,(missing),,,2023-07-11 18:29:00,2023-12-16 00:00:00,High,YB/Lost,0.1855,2-High
2023,WIFI-323551,false,[TGL][AX201][Never Crash] BSOD 0x9f encountered on Panther-1 unit,WiFi,Tiger Lake,Tiger Lake,Tiger Lake,2023-07-18 18:19:00,2023-07-21 00:00:00,High,BSOD,0.2279,1-Critical
2023,,false,"[Lenovo ThinkPad JP][LCFC][ Griffin,Roc intel][AX211]BSOD( Stop code:SYSTEM_THREAD_EXCEPTION_NOT_HANDLED)  occurred  during Restart(AC) stress test by LongRunATS_AOAC_v5.2 tool.",BT,Alder Lake,,Alder Lake,2023-07-19 02:36:25,2023-07-25 09:41:30,Critical,BSOD,0.2321,1-Critical
2023,WOT-34361,false,[Lenovo/Compal][Lenovo Legion Slim 7i][RPL-HX] [AX211][22H2]CITU tool test fail,Other,Raptor Lake Client Platforms,Raptor Lake Client Platforms,Raptor Lake Client Platforms,2023-07-19 01:39:00,2023-08-22 00:00:00,High,Connectivity,0.1005,2-High
2023,,false,[MTL][BE200] WLAN device goes missing after enabling WWAN device,WiFi,Meteor Lake,,Meteor Lake,2023-07-19 19:17:00,2023-08-03 00:00:00,Critical,YB/Lost,0.1559,1-Critical
2023,,false,[Lenovo_ThinkPad_JP][THAMES][MTL][GfP2] BT audio device YB after connect multiple devices while playing music,BT,Meteor Lake,,Meteor Lake,2023-07-20 01:56:00,2023-10-08 00:00:00,Medium,Connectivity,0.1896,3-Medium
2023,,false,[Lenovo_Legion][Compal][Slim7 16IRX9][RPL-HX][AX211]Conductive T-put test failed,WiFi,Raptor Lake Client Platforms,,Raptor Lake Client Platforms,2023-07-21 03:29:00,2023-10-22 00:00:00,High,P2P,0.1199,2-High
2023,,false,[Lenovo_Legion][Compal][Slim5 16IRX9][RPL-HX][AX211]Conductive T-put test failed,WiFi,Raptor Lake Client Platforms,,Raptor Lake Client Platforms,2023-07-21 03:29:00,2023-10-22 00:00:00,High,P2P,0.1199,2-High
2023,,false,[Lenovo IdeaPad][Inhouse][Y980][RPL][Win11][SVT]  WIFI YB with HDMI monitor working,WiFi,Raptor Lake Client Platforms,,Raptor Lake Client Platforms,2023-07-23 19:51:00,2023-08-14 00:00:00,Critical,YB/Lost,0.1507,1-Critical
2023,,false,"[Lenovo Thinkbook][Lenovo][TB 13X G4][Intel AX211]The unit ""Intel(R) Wi-Fi 6E AX211 160MHz"" show yellow bang in Device Manager after connect  to AP",WiFi,Meteor Lake,,Meteor Lake,2023-07-23 20:01:00,2023-08-15 00:00:00,High,Connectivity,0.1252,2-High
2023,,false,[Lenovo Thinkbook][Lenovo][TB 13X G4][Intel AX211]Wifi will be on after trun on airplane mode by taskbar,WiFi,Meteor Lake,,Meteor Lake,2023-07-24 20:34:00,2023-09-05 00:00:00,High,Connectivity,0.1364,2-High
2023,,false,[Lenovo ThinkPad CN][LCFC][Drift3 AMD][AX200]happend BSOD when test Longrun AC-S4,WiFi,AMD Cezanne,,AMD Cezanne,2023-07-24 01:32:00,2023-09-05 00:00:00,Critical,BSOD,0.2322,1-Critical
2023,,false,"[Lenovo Thinkbook][Lenovo][TB 13X G4][Intel AX211] The unit show BSOD(stop code:DRIVER_UNLOADED_WITHOUT_CANCELLING_PENDING_OPERATIONS,bugcheck:0xCE,have dump) after switch ITS mode to EPM by Fn+Q under AC mode. (FR1/2 units; 2/4cycles)",WiFi,Meteor Lake,,Meteor Lake,2023-07-25 22:56:00,2023-09-05 00:00:00,High,BSOD,0.1484,2-High
2023,,false,"[Lenovo Thinkbook][Lenovo][TB 13X G4][Intel AX211]  The unit show BSOD (stop code:PAGE_FAULT_IN_NONPAGED_AREA,bugcheck:0x50,with dump) when unit idle.(FR:1/2units; 1/10 cycles)",BT,Meteor Lake,,Meteor Lake,2023-07-27 19:54:00,2023-09-05 00:00:00,High,BSOD,0.1748,2-High
2023,,false,[Lenovo LCFC][Griffin2/Roc2]Units takes more than 10 seconds resume from Sleep via Bluetooth mouse waking.(F/R:100%),BT,Raptor Lake Client Platforms,,Raptor Lake Client Platforms,2023-07-28 00:07:00,2023-10-08 00:00:00,Critical,Performance,0.1718,1-Critical
2023,,false,[MTL][BE200] WLAN device intermittently shows YB and BT device goes missing too,WiFi,Meteor Lake,,Meteor Lake,2023-07-28 00:32:00,2023-08-03 00:00:00,High,YB/Lost,0.2534,2-High
