issue_year,jira_id,jira_is_sw_change,ips_title,technology,platform,jira_platform,ips_platform,ips_priority,deduced_issue_category,category_confidence,jira_exposure
2021,,,"[Lenovo-ThinkPad][Wistron][L13 Gen 2][CZN][AX200][20H2][100%]Ares2-AMD_Pro_W10:UMA:20H2:HLK:Wlan Test - Wlan Device Reset Check failed due to crash with exception code 0xC0000005 occurred in module ""unknown"" and driver will be yellow bang after",WiFi,(missing),,,,YB/Lost,0.1521,(missing)
2021,,,"[Lenovo-ideaPad][Compal][L360][AX200][20H2][L360-15ACH_E3 FVT] Stress_Manual_WB, Unit show bluescreen on AC (BSOD:0xd1).",WiFi,(missing),,,,BSOD,0.1672,(missing)
2021,,,"[Lenovo-ThinkPad][Wistron][L13 Gen 2][CZN][AX200][20H2][65%][LR][Ares2_AMD] FVT2.0: SUT show Bluetooth error message during Restrat longrun(FR: 18/28 units, 130/3550 cycles)",BT,(missing),,,,Connectivity,0.2005,(missing)
2021,,,"[Lenovo-ThinkPad][Wistron][L13 Gen 2][CZN][AX200][20H2][15%][LR][Ares2_AMD] FVT2.0: SUT show Bluetooth error message during S4 longrun(FR: 4/28 units, 108/3550 cycles)",BT,(missing),,,,Connectivity,0.1797,(missing)
2021,,,[Lenovo IdeaPad][Gaming]  BOSD while WIFI download,WiFi,(missing),,,,Performance,0.1108,(missing)
2021,,,"[lenovo-IdeaPad][S750-13ACN][AMD-Cezanne][20H2][AX200]UUT occer BSOD(code:0xD1) when play 1080P movies.(F/R:1/2 UUTs, 1/2 cycles)",WiFi,(missing),,,,BSOD,0.2341,(missing)
2021,CIE-363,true,[Lenovo IdeaPad][Gaming]  NBA2kol2 not auto set to priority 1 in Killer,Other,Tiger Lake,Tiger Lake,,,Connectivity,0.1144,2-High
2021,WIFI-104520,false,[Lenovo-ideaPad][LCFC][Y550][intel CML-H][Intel ax201][20H1] 11N 20MHz conductive throughput 95db attenuation fail,WiFi,Comet Lake,Comet Lake,,,Performance,0.1803,2-High
2021,WIFI-108511,true,[Lenovo][Bitland-SZ][Y760s][AMD Cezanne H][R5/R7/R9][SIT_20H2_manual stress][F/R 2/10Unnits  2/2500]The DUT couldn't find the network during resume from manual S3,WiFi,AMD Cezanne,AMD Cezanne,,,Connectivity,0.119,2-High
2021,,,"[Lenovo-IdeaPad][HUAQIN][ThinkBook Plus G2][TGL][AX201] [20H2][100%][SIT]The mouse pointer frozen 1~2 sec when the BT mouse is idle for several minutes. (F/R: 2/2 uuts, 10/10 cycles)",BT,Tiger Lake,,Tiger Lake,,Connectivity,0.1858,(missing)
2021,BT-33670,false,[Lenovo] Audio lag during file transfer via Bluetooth on Fedora 33 OS,BT,Tiger Lake,Tiger Lake,,,Connectivity,0.172,2-High
2021,,,[Lenovo-IdeaPad][HUAQIN][ThinkBook Plus G2][TGL][AX201][20H2][1%][SIT] BSOD 0xd1 happened when connect internet. (F/R: 1%),WiFi,Tiger Lake,,Tiger Lake,,BSOD,0.1578,(missing)
2021,,,[Lenovo ThinkPad JP][Jaguar][AX201] Machine does not recognize WLAN device using the combined Jfp2/Hrp2 .bin file generated from UEFI package 1.2.3-2141 PV,WiFi,(missing),,,,UEFI,0.1146,(missing)
2021,,,"[Lenovo Thinkpad China][LCFC][L14/L15 Gen2 AMD SIT][AMD-Cezanne][CcP][20H2]HLK test - Wlan Test - Wlan Device Reset Check test fail_YB10.(FR:1/1 units, 5 / 10 cycles)",WiFi,(missing),,,,HLK,0.2379,(missing)
2021,,,"[Lenovo-IdeaPad][LCFC][S540-ARE/S550-ARE]Intel AX200 BT WU fail(driver:22.10.0.2) (FR:3/4u,88/1152cycles on fail unit)",BT,(missing),,,,Connectivity,0.1793,(missing)
2021,WIFI-106889,false,"[Lenovo Thinkpad China][LCFC][L14/L15 Gen2 AMD SIT][AMD-Cezanne][CcP][20H2]HLK test - Wlan Test - Wlan Device Reset Check test fail_YB10.(FR:1/1 units, 5 / 10 cycles)",WiFi,AMD Cezanne,AMD Cezanne,,,HLK,0.2379,2-High
2021,WIFI-107974,false,"[Lenovo ThinkPad China][LCFC][E14E15 TGL][AX201](Security Type:WPA2-Enterprise) cannot auto connect after restart.(F/R:2/2 Units,17/40 Total Trials)",WiFi,Tiger Lake,Tiger Lake,,,Connectivity,0.1209,2-High
2021,,,[Lenovo-ideaPad][Compal][L360][TGL][AX201][20H2]Intel AX201:Network adapters show yellow bang after copy and Compare overnight.,WiFi,Tiger Lake,,Tiger Lake,,YB/Lost,0.1198,(missing)
2021,,,[Lenovo-ThinkPad][LCFC][E14][AMD Cezanne][Intel ax200][20H2] ax160Mhz Tx conductive tput fail,WiFi,(missing),,,,Performance,0.1073,(missing)
2021,,,"[Lenovo-IdeaPad][Compal][C640-13[AMDLucienne][AX200][20H2] Stress _S4,Unit show 'Intel(R) Wireless Bluetooth(R)' lost and 'Unknown USB Device(Device Descriptor Request Failed)' show yellow mark.(F/R:1/10,294/3000)",BT,(missing),,,,YB/Lost,0.1917,(missing)
2021,,,[Lenovo-Ideapad][Huaqin][Lenovo S560-16ITL][Tiger Lake][AX201][20H2][0.2%]System blackscreen hang (0x9F bugcheck)when run S4 Stress(1 /500 units),WiFi,Tiger Lake,,Tiger Lake,,System Hang,0.1077,(missing)
2021,WIFI-108711,false,[Raising Canes][Lenovo TP X1 Yoga Gen5][HrP2/AX201][Win10 20H2] WiFi adapter disabled after system completes Windows Restart.,WiFi,Comet Lake,Comet Lake,,,Performance,0.1263,2-High
2021,,,[Lenovo IdeaPad][inhouse]  S750 BSOD while burnin test (3/27),WiFi,(missing),,,,BSOD,0.2622,(missing)
2021,,,[Lenovo IdeaPad][inhouse ]  S760- AMD BT keyboard auto disconnect after pair FR 4/10,BT,(missing),,,,Connectivity,0.2207,(missing)
2021,,,[Lenovo-IdeaPad][LCFC][Common][20H2]AX200 WLAN can't search Realtek 8852AE 5G hotspot,WiFi,(missing),,,,Connectivity,0.1268,(missing)
2021,,,[Lenovo IdeaPad][inhouse ]  S750-14  WIFI ping fail while MS stress ping test,WiFi,(missing),,,,System Hang,0.0965,(missing)
2021,,,"[Lenovo-IdeaPad][LCFC][Y550-IMH_Legion6][20H2]units occur 0xD1 BSOD with fast boot stress test(FR:2/40units, 2/10000total cycles)",WiFi,(missing),,,,BSOD,0.1939,(missing)
2021,,,"[Lenovo-ThinkPad][wistron][L13 Gen 2][AMD][AX200][20H2][100%]20H2:HLK:Wlan Test - Wlan Device Reset Check failed due to crash with exception code 0xC0000005 occurred in module ""unknown"" and driver will be yellow bang after test.",WiFi,(missing),,,,YB/Lost,0.1504,(missing)
2021,,,[Lenovo-IdeaPad][LCFC][Yx60-AMD][20H2]HLK Wlan Device Reset check item test fail.(fail rate :9/10),WiFi,(missing),,,,HLK,0.3079,(missing)
2021,WIFI-110627,false,"[Lenovo-ideaPad][C950][TGL-U][AX201][20H1]Connection type show 11ac if Project/Miracast, while it show11ax if hotspot/SoftAP",WiFi,Tiger Lake,Tiger Lake,,,P2P,0.1242,2-High
2021,,,[Lenovo_DT][ECS][ADL-S][CSLP][Legion T7][WW15-16WS] AX201 will be yellow mark after resume from S3 or Reboot,WiFi,Alder Lake,,Alder Lake,,Connectivity,0.1062,(missing)
2021,,,[Lenovo_DT][LCFC][Tiny7][RKL-S][AX201/9560][Win10 20H2][100%][CSLP]SLP_S0# can not keep low when enter modern standby with wifi connected under os,WiFi,(missing),,,,Performance,0.1861,(missing)
2021,WIFI-111111,false,[Lenovo-ideaPad][C950][TGL-U][AX201][20H1]wlan BW can not expand to 80Mhz though Phones capability support 80Mhz via MIUI+ APP,WiFi,Tiger Lake,Tiger Lake,,,Connectivity,0.1264,2-High
2021,,,[Lenovo-IdeaPad][LCFC][YogaS750-ACH][20H2]Unit show can't connect to AP.(Fail rate: 1/40cycles),WiFi,(missing),,,,Connectivity,0.1111,(missing)
2021,,,[Lenovo-AIO][Comapl][A360][TGL-U][9560_AX201]Sometimes Intel 9560 & AX201 wlan card cannot connect Mobile hotspot or disconnect automatically.,WiFi,Tiger Lake,,Tiger Lake,,Connectivity,0.14,(missing)
2021,,,[Lenovo-ThinkBook][Compal][V350][TGL-U refresh][9560][20H2][0.02%]Intel 9560 BT shows YB during stress CB,BT,Tiger Lake,,Tiger Lake,,YB/Lost,0.1664,(missing)
2021,WIFI-114425,true,[Lenovo-Thinkpad][LCFC][Tx-AMD][20H2]0x9f BSOD happened in restart stress test.,WiFi,AMD Cezanne,AMD Cezanne,,,BSOD,0.2314,2-High
2021,,,<Never CrashPR80482>[Lenovo ThinkPad CN][LCFC][E14 E15 T14 Gen1][CML][AX201] BSOD:0x9F_3_SETPOWER_Netwtw10!_vector_destructor_iterator___PERF__(Netwtw10+0x0),WiFi,Comet Lake,,Comet Lake,,BSOD,0.2188,(missing)
2021,,,<Never Crash PR80477>[Lenovo ThinkPad JP][LCFC][T490s X390 AX200 9560 20H1 20H2]BSOD:0x9F_3_POWER_DOWN_WDF_WAIT_TIMEOUT_ibtusb!AbortAndResetUsbPipe__PERF__(ibtusb+0x0),Other,(missing),,,,BSOD,0.2119,(missing)
2021,,,<Never CrashPR80484/PR80483>[Lenovo ThinkPad JP/CN][LCFC][E14 /E15/X1 Carbon G8/X1 Yoga G5][CML][AX201] BSOD:AV_Netwtw10!dclReturnRxBufferApi,WiFi,Comet Lake,,Comet Lake,,BSOD,0.2188,(missing)
2021,WIFI-114877,false,[Knockout-2] Never Crash issue: 0x9F_3_SETPOWER_Netwtw10!_vector_destructor_iterator___PERF__(Netwtw10+0x0),WiFi,Comet Lake,Comet Lake,,,BSOD,0.0994,3-Medium
2021,WIFI-115075,true,[Knockout-2/Ratchet-2] Never Crash issue: AV_Netwtw10!dclReturnRxBufferApi,WiFi,Comet Lake,Comet Lake,,,BSOD,0.0994,3-Medium
2021,WIFI-114876,true,[Padme-1/Knockout-1] Never Crash Issue: AV_Netwtw08!dclReturnRxBufferApi,WiFi,Whiskey Lake,Whiskey Lake,,,BSOD,0.0994,1-Critical
2021,,,[Lenovo ThinkPad JP][LCFC][T14 T15 AX201 21H1]The sound output from BT headset will be interrupted when using smartphone,Other,(missing),,,,Connectivity,0.1795,(missing)
2021,,,[Lenovo ThinkPad JP][Jaguar-1][Jabra Evolve 75] [TGL][AX201]BT Audio Distortion/Breakage and Noise observed while setting Audio endpoint as HFP,Other,Tiger Lake,,Tiger Lake,,Connectivity,0.1452,(missing)
2021,,,<Never Crash PR80480>[Lenovo ThinkPad CN][LCFC][T490 E490 E590 9560 9260 AX201 20H1 20H2]BSOD?0x9F_3_SETPOWER_Netwtw08!_WDI_P2P_DISCOVERED_SERVICE_ENTRY_CONTAINER::__WDI_P2P_DISCOVERED_SERVICE_ENTRY_CONTAINER__PERF__(Netwtw08+0x0),BT,(missing),,,,BSOD,0.2114,(missing)
2021,,,[Lenovo-IdeaPad][LCFC][Yoga Slim 7 ARH][20H2]0x7f BSOD happened after system auto restart,WiFi,(missing),,,,BSOD,0.1719,(missing)
2021,,,[Lenovo-Ideapad][Compal][V350][AX201/AX200][20H2]WiFi-6 function for Ukraine,Other,(missing),,,,Performance,0.1234,(missing)
2021,,,"[Lenovo-ThinkPad][Wistron][L13 Gen 2][AMD][AX200][20H2][100%][Ares2_AMD] SIT1.0: Wlan disconnected after enter into ModS.(FR:2/2 units,4/2*2 cycles)",WiFi,(missing),,,,Connectivity,0.1359,(missing)
2021,,,[Lenovo-Thinkpad][LCFC][Raptor][AX210 2230 22.40.0.7][Win10][100%] WiFi option cannot be enabled in the DRTU tool,Other,(missing),,,,Connectivity,0.1255,(missing)
2021,,,[Lenovo IdeaPad][S760-14 AMD]  BOSD while stress S4 test with AX200,WiFi,(missing),,,,YB/Lost,0.102,(missing)
2021,,,[Lenovo ThinkPad CN][LCFC][T14s][21H1]BSOD 0x9F happened with Intel WLAN driver 22.40.0.7 during restart longrun test.,Other,Comet Lake,,Comet Lake,,BSOD,0.2237,(missing)
2021,,,[Lenovo-Thinkpad][Wistron][L13 Yoga][Cezanne][AX200][20H2][100%]WiFi throughput test fail at 802.11b mode.,WiFi,(missing),,,,Performance,0.2106,(missing)
2021,,,[Lenovo-ideaPad][Compal][L360][TGL][AX200][20H2]Intel AX200:267706-Sound output from BT headphone [QCY(QY7)] show lag when turn on Sound Sharing of Nahimic app.,BT,Tiger Lake,,Tiger Lake,,Connectivity,0.2065,(missing)
2021,,,[Lenovo-ThinkPad][Wistron][L13 Gen 2][TGL][AX201][9560][20H2][80%]0x9F_3_SETPOWER_Netwtw10!_vector_destructor_iterator___PERF__(Netwtw10+0x0),WiFi,Tiger Lake,,Tiger Lake,,Performance,0.1298,(missing)
2021,,,[Lenovo-ThinkPad][Wistron][L13 Gen 2][TGL][AX201][9560][20H2][80%]AV_Netwtw10!dclReturnRxBufferApi,WiFi,Tiger Lake,,Tiger Lake,,Performance,0.1298,(missing)
2021,WIFI-116224,true,[Lenovo ThinkPad CN][LCFC][T14s AMD][21H1]BSOD 0x9F happened with Intel WLAN driver 22.40.0.7 during restart longrun test.,WiFi,AMD Renoir,AMD Renoir,,,BSOD,0.2419,2-High
2021,,,[Wifi6E] '6Ghz' does not display in the Network band after connecting to 6ghz network broadcasted from SoftAP,WiFi,(missing),,,,Sensing,0.1654,(missing)
