review_priority,pair_count,pair_error_rate_within_true,human_category_current,model_predicted,ips_title,technology,predicted_category_hint,source_folder,source_file,model_confidence,loss_score,action,review_notes,new_human_category,keep_current_label,reviewer,decision_notes
3162,2,1.0000,MSFT,YB/Lost,[ASUS-Gaming][GA503/GX551][AMD Cezanne][][AX200 22.0.0.6] Microsoft WiFi Direct driver YB issue on AMD Cezanne platform during aging test Frequent (20% - 90%),,,CFE_input,weekly_labels_20260530_145717.csv,0.1581,0.316242,review_human_category,,,,,
2990,4,0.0121,Connectivity,Roaming,[Lenovo][wistron][GEN4_AX201][ADL]Intel AX201 WiFi Roaming Issue with Windows Cu,,,CFE_input,weekly_labels_20260529_170002.csv,0.2955,0.299033,review_human_category,,,,,
2990,4,0.0121,Connectivity,Roaming,[Lenovo][wistron][GEN4_AX201][ADL]Intel AX201 WiFi Roaming Issue with Windows Cu,,,CFE_input,weekly_labels_20260530_145717.csv,0.2955,0.299033,review_human_category,,,,,
2752,2,0.0118,YB/Lost,OEM Tools,WLAN card AX201 test CITU tool would have 0x31B Assert,,,CFE_reviewed_issue,wifi_tools_piece_03_of_07_FrankLee.csv,0.2720,0.275184,review_human_category,,,,,
2663,1,0.0196,OEM Tools,Killer,WRT can not function for Killer Module,,,CFE_reviewed_issue,wifi_tools_piece_03_of_07_FrankLee.csv,0.2612,0.266347,review_human_category,,,,,
2659,1,0.0083,Performance,Killer,Dell Smartbyte APP impact T-put,,,CFE_reviewed_issue,bt_software_piece_05_of_07_Leo.csv,0.2638,0.265936,review_human_category,,,,,
2601,3,0.0091,Connectivity,P2P,[Samsung][RPL][AX211] This pairing drops because the system suddenly stops sending RTP packets to the sink device while pairing with this device for Miracast.,,,CFE_input,weekly_labels_20260529_170002.csv,0.2577,0.260085,review_human_category,,,,,
2601,3,0.0091,Connectivity,P2P,[Samsung][RPL][AX211] This pairing drops because the system suddenly stops sending RTP packets to the sink device while pairing with this device for Miracast.,,,CFE_input,weekly_labels_20260530_145717.csv,0.2577,0.260085,review_human_category,,,,,
2494,2,0.0165,Performance,Connectivity,"Unplugged AC adapter, found the sound will obviously lag about 2~4s.",,,CFE_reviewed_issue,bt_software_piece_02_of_07_Juan.csv,0.2454,0.249421,review_human_category,,,,,
2307,4,0.0121,Connectivity,Performance,DUT OPP received picture will show abnormal if transferring files with BT headset music playing,,,CFE_reviewed_issue,bt_software_piece_06_of_07_Matt.csv,0.2279,0.230658,review_human_category,,,,,
2293,2,0.0183,P2P,Connectivity,"Mobile hotspot channel changed, the system reconnect failed",,,CFE_reviewed_issue,wifi_tools_piece_02_of_07_Frankyang (2).csv,0.2252,0.229297,review_human_category,,,,,
2230,1,0.3333,Layout,Connectivity,[Lenovo/SMB][Wistron][PTL-U] [BE213] [2230] [TB1416_G9_PTL][EVT] [Layout][#1],,,CFE_input,wifi_tools_piece_07_of_07_Brenton.csv,0.1672,0.222950,review_human_category,,,,,
2135,1,0.3333,Layout,Killer,Sonya12 WIFI layout check,,,CFE_input,wifi_tools_piece_07_of_07_Brenton.csv,0.1601,0.213501,review_human_category,,,,,
2102,1,0.5000,Schematic,Connectivity,[Lenovo/Consumer][LCFC][PTL484][BE211][1216][C911][EVT][Schematic][575882review],,,CFE_reviewed_issue,wifi_tools_piece_02_of_07_Frankyang (2).csv,0.1401,0.210223,review_human_category,,,,,
2054,1,0.0556,BIOS,Performance,[Lenovo ideapad ][LCFC][V gen 7 WCL][be213] BIOS WGDS shetting invalid,,,CFE_input,weekly_labels_20260501_170001.csv,0.1946,0.205430,review_human_category,,,,,
2041,1,0.0227,HLK,YB/Lost,"[HP][Quanta]-[Trekker][LNL/ARL/RPL/PTL][Win11 25H2] ""Declarative Driver Check"" show fail after running Declarative Driver Check test with MSFTAuditHub_PS_1.00_A3",,,CFE_input,weekly_labels_20260501_170001.csv,0.1996,0.204141,review_human_category,,,,,
2034,1,0.5000,Schematic,BSOD,[Honor][Luxshare][RPL-HX][AX201 1216][Nvwa][EVT][Schematic][#1],,,CFE_reviewed_issue,wifi_tools_piece_02_of_07_Frankyang (2).csv,0.1356,0.203383,review_human_category,,,,,
2033,3,0.0091,Connectivity,P2P,P2P pairing - GO finding failure.,,,CFE_reviewed_issue,wifi_tools_piece_03_of_07_FrankLee.csv,0.2014,0.203256,review_human_category,,,,,
2020,2,0.0118,YB/Lost,Connectivity,"Frequent assert 0x4446 when host is sharing the 5G hotspot, 3/3Units, 3/3cycles in noisy environment",,,CFE_reviewed_issue,wifi_tools_piece_03_of_07_FrankLee.csv,0.1997,0.202022,review_human_category,,,,,
